Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-45.632637	67.06839	20.757914	-364.2766	55.932945	265.45868	375.9676	-502.6267	130.93333	714.4	3999	5.9034495	5.189071	38.84887	-6.376773	5.902728	5.188779	39.11619	-5.757966	-3.4954684	2.2961264	12.001201	-14.144373	-7.2895627	1.7181362	157.51537251472473
2	-29.142015	34.644253	15.640696	-183.59772	-15.896541	17.399614	5.1684885	-53.31248	86.15909	31.6	7999	28.266253	12.095123	75.18491	-8.466729	28.264734	12.096585	78.97682	-8.356517	0.39402136	3.6647406	28.877827	-15.787375	-30.87564	10.174313	342.93263030052185
3	-129.6155	253.10207	16.554174	-891.3046	-119.81124	131.57118	-12.937211	-327.0469	213.6	348.0	11999	68.1406	16.207144	118.499374	-28.1069	68.13897	16.216215	118.33872	-27.228277	2.862491	4.682254	39.569492	-15.171288	-71.62761	24.823637	534.4739129543304
4	-61.239815	130.79402	17.813591	-563.44836	147.0531	95.25072	282.36023	9.14998	190.80952	527.3	15999	77.79166	14.790716	121.01807	-38.936012	77.79211	14.787472	124.11396	-54.281258	-0.34624684	3.195914	27.964836	-16.23357	-79.20324	26.29036	732.7485117912292
5	-128.63759	120.90535	19.366491	-259.1863	325.44586	191.33827	604.88275	28.921766	539.0	624.1	19999	68.29418	14.793374	115.49809	-35.832397	68.29577	14.777568	120.80085	-59.147255	-1.3116125	2.672201	24.536098	-15.469955	-69.260864	18.752514	932.8581519126892
6	-39.303783	95.594795	55.84984	-221.67302	659.8485	47.463165	725.4072	533.18896	405.9	1000.0	23999	57.646584	14.145551	104.57585	-33.754726	57.646416	14.134817	105.98393	-36.055496	-1.85954	2.3989394	23.955524	-16.730675	-58.451313	14.0704565	1136.692185163498
7	21.959866	55.609818	87.92882	-109.392845	547.7795	78.890076	708.499	464.37268	480.8889	1000.0	27999	50.26187	13.250622	95.05859	-38.306934	50.262375	13.242616	96.769485	-36.082203	-2.2395825	2.2216713	22.433462	-14.497074	-50.975376	11.524376	1339.1947779655457
8	59.616028	36.237247	113.28784	-12.376854	755.3755	55.946564	866.0235	679.54645	462.8889	1000.0	31999	45.15124	12.4081745	84.191055	-41.15758	45.15158	12.403352	83.80937	-43.628174	-2.5115223	2.0925562	19.880077	-14.656109	-45.83358	9.53874	1540.419461965561
9	59.982346	45.343506	120.90802	-13.75459	806.5265	54.754322	904.9045	705.2164	635.3333	1000.0	35999	41.905056	11.935625	80.68037	-33.626266	41.905273	11.933364	80.82262	-62.668633	-2.7105923	2.0199122	23.715443	-15.279136	-42.5663	8.175691	1747.9444801807404
10	137.42322	124.7014	417.35815	4.17012	750.819	56.988976	845.80176	655.2539	493.125	1000.0	39999	40.505363	11.696525	82.2623	-35.0912	40.505535	11.694389	84.31542	-35.00928	-2.8480334	1.9746311	18.603722	-15.464375	-41.15866	7.641923	1955.5339703559875
11	139.62814	129.57098	358.30716	-14.114381	769.0892	232.78128	872.9676	73.205696	520.625	906.1	43999	40.217484	11.312934	82.145004	-30.67722	40.218155	11.307931	81.693825	-37.598583	-2.9193323	1.9489659	20.742641	-15.002394	-40.888412	7.0333652	2159.5792319774628
12	138.90543	92.98843	304.06625	3.092042	784.6671	80.38536	918.8198	693.2346	705.5	1000.0	47999	40.958813	10.874384	82.01671	-25.904335	40.95886	10.875585	80.64278	-39.657948	-2.9796	1.9406655	22.654978	-15.562817	-41.62738	6.653519	2366.134392976761
13	130.649	112.97161	367.86093	6.7531343	818.8375	75.95428	922.7825	732.00354	436.44446	1000.0	51999	42.266327	10.558751	79.83839	-28.610003	42.267006	10.562658	81.15425	-33.669525	-2.971885	1.9645157	22.348778	-14.576382	-42.95182	6.2708898	2572.2210500240326
14	220.82993	77.2199	327.4047	126.438385	699.9564	336.40125	939.8627	28.979786	807.75	806.7	55999	44.140854	10.512718	82.69237	-37.428448	44.14186	10.514124	82.50094	-36.504562	-2.9948363	1.9897647	23.553375	-14.71965	-44.826702	6.2195783	2773.8370819091797
15	143.68723	109.42589	321.1528	4.265196	889.859	137.665	996.766	520.92017	394.7	1000.0	59999	46.151516	10.471264	84.458	-45.53024	46.15222	10.469353	84.24069	-33.350574	-2.9851475	2.0102065	21.721468	-16.412247	-46.836952	6.260294	2996.5653414726257
16	135.49393	104.481766	344.60602	19.60731	804.51135	192.35281	1077.3419	358.29315	475.33334	1000.0	63999	48.20517	10.213357	87.14333	-26.449955	48.20559	10.212616	87.56142	-25.794134	-3.0104382	1.9949157	25.700302	-14.338543	-48.892593	6.492542	3212.936339378357
17	173.6086	146.75346	511.77844	32.729774	785.85504	248.65309	986.9245	65.77852	407.3	905.3	67999	50.26902	9.887618	88.49596	-33.975533	50.26947	9.886915	88.134514	-34.98651	-3.059191	2.0105884	24.62067	-15.838174	-50.954296	6.153541	3426.3611121177673
18	459.29028	92.36724	618.4526	393.95508	965.14813	185.54385	1264.8804	737.95856	1000.0	1000.0	71999	52.68875	9.812415	90.44746	-37.069153	52.68909	9.810787	88.817825	-34.841724	-3.0494466	2.048031	28.318474	-15.567988	-53.366634	6.3846397	3632.7295241355896
19	373.92398	195.67218	774.88947	204.41249	701.11365	340.45175	1219.3075	50.815388	604.3333	650.5	75999	55.009365	9.738977	92.15999	-34.34453	55.009785	9.738229	90.27021	-33.813442	-3.0571032	2.046446	31.492239	-15.07443	-55.675526	6.1610184	3838.736610889435
20	256.57272	146.95174	461.77008	15.777939	895.86523	21.728441	929.21173	872.7798	628.1429	1000.0	79999	57.17318	9.675512	97.754234	-28.895662	57.173386	9.6795225	99.80243	-62.33572	-3.0663302	2.0734074	27.423523	-15.203578	-57.840977	6.2308598	4067.8620653152466
21	381.99365	230.46478	755.3119	122.95845	809.4998	38.714355	840.73065	701.78705	598.1667	1000.0	83999	59.415195	9.774676	100.06003	-34.867928	59.415474	9.774625	102.62059	-41.74523	-3.0665326	2.0819814	26.38711	-14.816937	-60.07413	6.460963	4334.004790067673
22	611.20557	341.3484	1028.8483	44.60632	1064.341	403.68912	1680.2705	551.30896	825.5	763.4	87999	61.654755	9.915531	104.86343	-33.906654	61.654964	9.918433	103.64791	-48.32652	-3.0251622	2.0934706	29.218634	-15.032682	-62.300007	6.7729406	4591.674651384354
23	237.47182	126.46682	472.98343	46.998188	944.50214	394.07196	1738.7817	49.872475	506.2857	904.4	91999	63.591465	10.303951	100.74817	-36.76027	63.59144	10.305179	103.457886	-36.10671	-2.9748816	2.1394584	28.793427	-16.884544	-64.25056	6.734958	4821.309051513672
24	400.99985	176.63913	656.091	132.05142	1302.7877	244.29185	1710.6062	998.2683	820.6	990.4	95999	65.44628	10.491065	103.80521	-40.044422	65.44634	10.4906645	103.23125	-54.470936	-2.979442	2.1675408	60.951603	-14.167737	-66.09855	6.7953663	5051.562716245651
