Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-73.02181	43.836895	-20.73155	-158.74348	-346.07806	45.364525	-285.83337	-406.562	-361.49506	24.16105	-330.97278	-397.44345	-287.1008	47.248325	-233.9932	-335.62198	-2690.3599	114.85535	-2532.8909	-2854.8228	-1774.3691	157.17516	-1522.598	-2075.576	1000.0	1000.0	3999	-24.499779	20.89236	8.358295	-88.70038	-24.522068	20.872494	6.1663632	-89.18321	-4.511937	5.1165967	28.360554	-17.29495	-11.788632	16.675774	99.25011944770813
2	436.8917	50.85229	496.49426	327.7425	-299.18524	54.258957	-246.1327	-372.2691	-220.75891	11.43142	-194.15417	-231.66278	-214.20076	72.882835	-144.30733	-326.49454	-2659.9412	134.09518	-2481.2473	-2811.3064	-505.01215	25.248625	-465.5803	-543.8888	1000.0	1000.0	7999	-47.799614	37.239506	10.56611	-131.83476	-47.816036	37.22707	7.756177	-129.96675	0.056695804	5.2371306	35.31975	-16.592999	-23.678905	35.722805	225.18699049949646
3	628.0504	8.112935	645.11755	614.80927	-305.1415	105.87052	-152.53798	-451.84882	-55.053627	5.2077413	-47.353973	-64.455	-367.3755	57.092644	-294.06076	-435.32358	-2652.9773	444.4186	-2090.253	-3331.377	-124.653885	14.099241	-99.65959	-155.47447	1000.0	1000.0	11999	-73.58702	55.66858	2.5026152	-180.56493	-73.60423	55.660557	4.847011	-178.8836	-1.3878119	4.737674	45.081764	-15.900297	-38.34612	45.015533	353.8249638080597
4	682.58356	12.697648	709.3992	668.36237	-98.562706	89.64795	11.462315	-224.76341	-119.833145	4.385782	-111.314064	-127.741875	-242.39719	27.361326	-208.34317	-284.2821	-1765.409	325.16727	-1383.6073	-2181.4253	-241.23276	10.195532	-222.62813	-259.73642	1000.0	1000.0	15999	-135.53294	99.82656	-15.584621	-243.2078	-135.5551	99.830345	-11.3055315	-241.98596	-4.1554346	4.4683685	29.077919	-15.39184	-73.082886	59.557804	484.98023653030396
5	410.7041	22.1203	475.6314	395.95868	-4.5541344	33.848267	37.618137	-55.89327	-181.82207	6.574587	-167.00018	-192.85658	-319.50928	87.658745	-227.60599	-414.0276	-1608.1407	182.90894	-1342.4904	-1817.5879	-365.59204	12.9613905	-335.064	-385.71317	1000.0	1000.0	19999	-198.67168	143.62444	-43.003815	-284.17462	-198.69006	143.62704	-39.72114	-286.06134	-3.9938896	4.198833	27.503403	-15.68947	-107.335365	64.0364	617.076358795166
6	328.20874	5.9406843	338.69656	319.24384	43.00913	23.873184	81.701515	19.439163	-202.46332	6.048226	-192.11469	-213.90404	-273.39465	18.651402	-250.20186	-301.1717	-1265.1407	100.66482	-1173.0752	-1427.0183	-409.6517	10.434826	-391.4067	-429.124	1000.0	1000.0	23999	-247.56012	177.8167	-65.179436	-306.6076	-247.57732	177.8189	-64.43625	-303.5664	-3.9602275	4.0364943	28.28034	-15.878898	-133.81003	65.29039	763.2421760559082
7	307.0184	14.831439	323.7924	278.91412	24.049385	66.572624	102.32412	-71.56335	-218.73557	5.9047894	-210.50204	-231.32446	-326.74548	18.633986	-296.14325	-346.16162	-1468.0784	335.27158	-1151.2045	-2016.4325	-439.00482	11.751706	-422.0755	-462.75262	1000.0	1000.0	27999	-283.23575	202.62514	-89.59652	-320.68234	-283.248	202.62633	-86.7598	-319.11322	-3.9550397	3.9622107	20.37761	-15.448339	-153.05731	62.51514	977.5760109424591
8	410.67535	7.561336	425.08698	398.5747	16.854282	45.641083	62.99581	-58.933765	-209.346	7.83402	-195.82738	-219.09833	-217.78262	34.82675	-174.61572	-271.07025	-1495.5358	275.90167	-1242.6986	-1960.3225	-419.25153	15.994201	-391.65475	-438.19666	1000.0	1000.0	31999	-313.92844	224.24893	-105.37115	-330.10342	-313.93774	224.24896	-104.341194	-332.13257	-3.7919438	3.9028516	22.72812	-15.096743	-169.63335	64.28245	1189.2419629096985
9	308.8355	5.767032	321.89066	300.43076	33.807766	47.12184	97.41755	-33.170273	-214.49492	4.338215	-207.22034	-223.08519	-201.83966	19.752775	-183.07251	-235.06546	-1386.4082	201.88364	-1119.556	-1592.4006	-430.0957	8.348863	-414.49576	-446.17038	1000.0	1000.0	35999	-338.08908	241.48508	-114.001434	-340.4247	-338.09177	241.48161	-116.40699	-343.16168	-3.4808462	3.7977178	29.569698	-16.212698	-182.66266	64.0363	1400.1471633911133
10	272.98956	6.6726108	281.34567	264.1236	15.178474	16.03705	28.299242	-11.143012	-199.19064	4.2459416	-193.21747	-207.83272	-179.07208	45.776108	-107.453766	-227.00882	-1272.5369	97.20201	-1197.276	-1436.7963	-398.85654	8.697645	-386.43494	-416.494	1000.0	1000.0	39999	-355.1881	253.7622	-117.945076	-341.53958	-355.19293	253.76193	-120.74081	-342.61856	-3.369702	3.742556	36.159393	-16.149036	-191.81793	59.95247	1582.0992827415466
