Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	304.87177	89.624405	460.7035	165.70847	-343.16736	25.83591	-304.0533	-372.98947	-131.12431	32.789436	-48.909943	-170.80896	-316.46234	41.352062	-257.76825	-368.8053	-659.6297	38.128437	-595.3948	-695.45685	173.7474	114.71424	411.79355	-5.100501	1000.0	1000.0	3999	8.544527	5.8969035	37.783684	-4.081506	8.546024	5.892978	37.739822	-3.5660698	-7.724946	2.2649763	9.624948	-17.501785	8.140183	1.5244467	167.58031606674194
2	-544.0434	166.73247	-117.004845	-713.01404	-369.54477	54.71951	-296.39194	-439.8076	-89.765976	103.01843	83.4832	-236.63232	-291.87775	123.27008	-101.702576	-409.21002	-661.42255	144.36101	-443.6706	-849.0176	-633.8093	141.93431	-317.12704	-820.3857	1000.0	1000.0	7999	33.00984	14.340612	92.51883	1.4084648	33.010876	14.336814	93.34165	1.3686771	-2.1949952	5.412403	29.125235	-21.850063	27.290586	6.892129	384.77980184555054
3	-489.42578	308.17902	428.17285	-655.8722	-756.9674	419.33295	-277.17444	-1174.4012	-273.95215	83.59172	-149.16881	-400.74597	-308.30026	46.946426	-241.104	-359.03247	-1065.2676	464.62027	-518.27844	-1532.513	-763.3779	353.4855	279.00403	-986.9222	1000.0	1000.0	11999	96.72205	33.301376	199.17007	21.297722	96.72406	33.293182	195.2594	21.46835	5.366488	7.220131	59.265648	-18.033594	76.877205	28.663273	603.0148012638092
4	142.5892	74.8738	277.23425	51.871853	-865.70233	145.2089	-737.7374	-1111.983	-65.16709	62.434853	49.5358	-147.11203	-205.37871	127.9995	-77.58776	-374.46265	-1071.081	130.59506	-879.3417	-1193.5363	77.422104	75.12682	169.0539	-56.00036	1000.0	1000.0	15999	124.2287	40.564743	232.65833	34.822968	124.22623	40.566357	224.09537	34.65647	-2.5397236	6.0903277	42.16906	-20.795494	95.01924	27.236422	824.0578200817108
5	627.4447	21.6735	688.1454	607.91797	-624.03033	73.12127	-521.84424	-695.04095	54.40043	30.657639	107.15745	9.6197195	-222.95013	69.19592	-136.64647	-294.2502	-846.98047	116.91156	-658.4907	-979.153	681.84515	23.46056	717.44763	655.914	1000.0	1000.0	19999	115.83546	33.166622	201.02423	32.947853	115.83432	33.16522	198.43556	35.495853	-6.6385016	3.162038	22.477592	-19.082592	86.82422	14.30916	1045.575894832611
6	790.42413	12.011003	807.83484	772.6096	-359.1746	30.258413	-329.187	-409.67163	-46.93473	36.30116	10.708867	-97.753784	-141.23015	91.83401	-51.28198	-293.77524	-500.40472	121.87416	-380.469	-703.44684	743.4894	39.82156	792.7862	680.7442	1000.0	1000.0	23999	100.62241	23.405298	150.47731	33.903515	100.62162	23.403564	152.12335	34.83852	-7.9520683	2.033427	9.941977	-18.316765	76.70988	9.283609	1296.6131970882416
7	821.7046	6.806199	835.4316	808.7182	-288.01053	52.836365	-231.3515	-371.05295	-66.766525	1.5939767	-65.13139	-69.271095	-115.84456	64.2511	-41.244286	-207.71106	-403.8551	69.91909	-304.21835	-501.40305	754.9381	6.91139	769.6487	743.1647	1000.0	1000.0	27999	91.09442	16.668718	126.265915	36.75072	91.09431	16.66563	126.79859	36.607265	-8.115163	1.7889506	5.877493	-17.388672	69.48077	7.64975	1519.8828678131104
8	618.3695	4.9496493	628.4519	608.623	-188.18497	35.6666	-139.99767	-238.71188	-91.23215	3.0393827	-83.91044	-95.83198	-51.62489	68.32526	33.12343	-150.1685	-239.80988	90.65309	-143.62766	-388.8804	527.1373	7.2562675	539.48724	512.791	1000.0	1000.0	31999	85.26783	13.39315	118.27448	39.40887	85.26771	13.388716	115.62557	40.403553	-7.9439673	1.8584934	7.0587444	-19.20861	64.9186	6.979599	1741.9420626163483
9	716.40784	22.0838	766.78156	685.65247	-149.28967	38.6375	-107.68147	-196.47667	-46.948997	1.4000978	-44.659863	-48.899315	-105.70607	22.433392	-67.61124	-123.9561	-254.99576	56.20412	-182.50449	-320.43277	669.45886	22.868399	721.3417	638.3529	1000.0	1000.0	35999	82.88657	11.105759	113.979866	41.08609	82.88626	11.10004	112.51791	40.389446	-7.7829604	1.9039925	11.03421	-19.195953	63.009705	6.739927	1983.6270763874054
10	732.10535	24.437727	764.4699	686.6191	-129.9612	18.567019	-99.100914	-148.09975	-25.723377	4.2510543	-17.464418	-30.611786	-18.428707	51.3633	49.4687	-95.035614	-148.38991	63.915436	-49.63221	-228.4723	706.38196	21.510906	737.01245	669.15466	1000.0	1000.0	39999	81.91907	9.680401	111.073	36.550446	81.91911	9.675472	109.33822	38.57362	-7.8026314	1.8558543	10.672988	-18.274685	62.656364	6.5026593	2301.3896651268005
