Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-280.28882	124.5414	-111.00025	-461.25543	147.37454	13.442842	171.71857	128.459	1000.0	1000.0	3999	3.5955038	2.9276834	16.47558	-4.8042765	3.5959246	2.9270716	17.09913	-5.174946	-3.0678203	1.5250477	10.325556	-11.787444	-4.510862	0.7254206	127.73574161529541
2	-256.73236	55.328373	-173.56514	-310.9958	-168.42542	27.32507	-136.25545	-242.21126	1000.0	1000.0	7999	15.837301	6.282495	40.721325	-5.3925295	15.837016	6.280638	41.04261	-5.8220105	-1.117947	2.6726863	13.984137	-14.569753	-17.145824	1.9599924	294.57744574546814
3	-265.91354	54.459385	-210.0976	-352.08112	72.82266	17.280828	107.85675	46.69991	1000.0	1000.0	11999	31.827097	8.177159	59.831474	10.517882	31.8269	8.173546	60.508553	10.494702	-0.91575587	2.7991831	17.851704	-12.699771	-33.06736	3.0232403	457.3267979621887
4	260.27222	203.39809	483.96304	13.774473	1292.7908	49.769062	1360.1447	1162.4506	1000.0	1000.0	15999	37.44579	11.098082	69.687965	14.840796	37.445976	11.096368	68.685394	14.581163	-2.3769693	2.0195363	11.779982	-13.268415	-38.12127	3.305061	621.4727337360382
5	745.11005	356.06598	1070.0343	171.67809	1817.8584	215.80537	2054.3645	1228.0441	1000.0	1000.0	19999	42.1448	13.459879	81.827805	15.629219	42.14529	13.459441	81.69503	15.452766	-2.3786576	1.9869497	12.930773	-12.892983	-42.742764	3.2565079	786.616934299469
6	1477.713	469.98517	1797.6823	665.42596	2397.4731	105.0243	2627.6145	2235.3057	1000.0	1000.0	23999	49.501064	18.17678	110.272095	16.549368	49.501453	18.176197	107.28547	16.048353	-1.7986362	2.3917348	15.506975	-13.076187	-50.15691	4.3349605	955.4839315414429
7	2068.377	109.864105	2237.7883	1965.8156	2819.0227	80.27558	2992.7722	2708.8918	1000.0	1000.0	27999	63.35108	24.61289	129.50812	18.565754	63.35144	24.612356	129.79665	17.945473	-1.0505055	2.7822657	19.273607	-14.176056	-64.04854	6.3233824	1123.7928621768951
8	2256.8953	518.3784	2673.0576	1370.5994	3360.4954	106.71818	3519.668	3127.9082	1000.0	1000.0	31999	80.48921	31.044353	162.8873	20.156809	80.48987	31.043964	164.08807	18.946869	-0.40832567	3.0705087	19.651642	-15.242281	-81.1978	8.226367	1292.650012254715
9	2962.738	134.22568	3093.7722	2774.8552	3900.3086	191.13077	4109.8906	3542.2107	1000.0	1000.0	35999	97.90253	38.763176	197.6742	20.595917	97.90278	38.7627	197.06612	18.746283	0.017995914	3.2946012	22.694738	-13.206692	-98.60597	10.581185	1462.2019205093384
10	3462.337	98.34009	3620.6592	3359.0322	3986.8345	98.77202	4100.54	3806.033	1000.0	1000.0	39999	117.80136	46.11872	216.37872	19.148006	117.80175	46.11892	214.83156	20.325386	0.46382862	3.457755	24.159975	-15.899144	-118.475815	13.494222	1627.5358788967133
11	3784.5034	59.06641	3842.6846	3710.4424	4381.6016	74.31549	4517.5625	4277.382	1000.0	1000.0	43999	138.74445	52.719757	249.11964	14.905588	138.74472	52.720005	248.82945	15.502323	0.9163201	3.6253827	26.158058	-14.102531	-139.41	15.206024	1793.2476933002472
12	4036.3003	75.73818	4117.8706	3929.7563	4497.7656	82.55209	4623.6274	4349.291	1000.0	1000.0	47999	159.99193	58.945515	268.7857	12.3566475	159.99171	58.945652	269.0596	14.302084	1.1792511	3.6575465	27.596643	-13.712775	-160.6111	16.691103	1959.915090084076
13	4363.3516	118.16986	4487.814	4169.808	4938.177	186.11111	5142.4775	4498.5366	1000.0	1000.0	51999	180.706	64.43791	293.44815	10.0498	180.70578	64.438446	292.74203	10.398174	1.447052	3.745875	27.644367	-13.120097	-181.31903	17.55405	2125.9558341503143
14	4356.939	135.66669	4565.49	4185.614	5149.657	109.1278	5289.3945	4951.133	1000.0	1000.0	55999	201.04659	69.586975	316.68192	11.380765	201.04636	69.587296	317.47772	11.732991	1.7066998	3.852529	28.243725	-12.429781	-201.62158	19.495527	2293.4912610054016
15	4765.8843	89.46465	4862.728	4620.416	5238.724	82.22544	5370.435	5115.891	1000.0	1000.0	59999	220.19868	74.3043	335.11435	8.099215	220.19833	74.30448	336.92392	11.39433	1.9592233	3.926815	29.75716	-14.798933	-220.77267	20.43836	2462.706707239151
16	4913.5967	120.39038	5024.6475	4719.9526	5646.837	86.80405	5808.7197	5483.624	1000.0	1000.0	63999	239.55547	78.2053	366.7287	8.246576	239.5557	78.20645	365.31418	5.136038	2.139789	3.9940624	25.949963	-15.123905	-240.07988	21.924158	2632.4864342212677
17	5180.4624	113.55236	5359.438	5064.2227	5525.7773	1346.9553	6210.8833	1497.8944	1000.0	1000.0	67999	257.75494	81.97373	379.27167	3.6418734	257.7544	81.97511	381.39618	9.020509	2.3094966	4.0278783	30.92275	-12.822567	-258.25967	22.83369	2811.8413174152374
18	4130.876	2011.4222	5389.357	648.63495	5792.0356	70.12185	5903.818	5677.899	1000.0	1000.0	71999	274.79947	85.799706	395.4182	3.9570704	274.7996	85.80057	395.41953	4.91961	2.4697535	4.0480223	31.815788	-13.493853	-275.30005	23.892763	2993.2290749549866
19	5621.803	207.39615	5978.76	5465.429	6103.073	109.906166	6248.3037	5877.444	1000.0	1000.0	75999	287.67697	92.05421	421.43277	-5.2483196	287.67673	92.05489	420.3512	-10.5334635	2.4559336	4.042172	35.419743	-13.643999	-288.15155	25.843702	3181.3576562404633
20	5686.862	96.31497	5840.568	5578.54	6246.7266	99.0449	6455.85	6105.484	1000.0	1000.0	79999	303.41025	95.04254	434.53143	-41.711662	303.41013	95.04292	432.80045	-31.884882	2.6189477	4.047885	39.24496	-15.455294	-303.86188	25.763428	3382.6148738861084
21	5815.2896	112.26001	5980.0767	5665.9976	5765.0864	104.3952	5946.1265	5612.2114	1000.0	1000.0	83999	318.5288	97.721565	448.8236	-36.23993	318.5285	97.723625	450.12088	-27.45142	2.7289402	4.034925	36.88653	-15.009566	-318.9449	27.822906	3588.5815217494965
22	4880.14	1867.0768	6040.6045	1650.1447	5763.3076	107.745575	5909.402	5543.922	1000.0	1000.0	87999	329.83157	103.64172	462.41318	-49.111675	329.831	103.64369	463.8315	-48.50926	2.8412063	4.080355	34.29485	-12.589416	-330.26953	29.884214	3798.9957077503204
23	5451.622	866.4211	6071.859	3963.3884	5935.1904	55.590145	6019.688	5852.3623	1000.0	1000.0	91999	342.62216	106.41418	473.7633	-39.00658	342.62152	106.41622	475.9533	-47.801796	2.9002972	4.0742626	31.548742	-11.675583	-343.0008	30.84753	4009.606615781784
24	6217.3223	78.4303	6284.9443	6084.4644	6597.2017	103.21137	6734.1216	6360.4673	1000.0	1000.0	95999	354.58728	108.6823	495.14465	-101.97708	354.58667	108.683876	496.44125	-75.066124	3.0148804	4.090894	36.22786	-17.340717	-354.94928	31.521349	4219.9399061203
25	6205.285	51.777348	6279.785	6149.147	6346.0776	76.50366	6451.3955	6221.7637	1000.0	1000.0	99999	366.85687	110.89493	502.2092	-56.705666	366.8565	110.89633	502.43314	-48.003147	3.0775087	4.073832	40.676247	-12.595072	-367.20337	29.378542	4430.249366521835
26	6203.018	316.07507	6590.5503	5711.1094	5567.85	1655.8939	6744.3335	1179.1399	1000.0	1000.0	103999	378.6648	112.173065	512.82526	-18.652742	378.66388	112.174515	511.48737	-16.749146	3.2269318	4.0861506	34.507797	-15.190546	-378.98114	32.48504	4620.56236577034
27	6338.4595	174.67351	6599.9863	6107.8843	7221.782	98.810974	7338.7124	7036.233	1000.0	1000.0	107999	389.35373	113.430435	522.02295	-57.855976	389.3534	113.43157	521.765	-49.265697	3.256318	4.0635567	46.93377	-13.428762	-389.64236	32.893112	4811.173769950867
28	6462.9434	125.269325	6587.8447	6307.312	6230.862	1675.227	7234.11	1747.9865	1000.0	1000.0	111999	399.59924	114.18799	529.5519	-17.677351	399.59924	114.18926	530.24225	-12.318792	3.279971	4.0482044	38.877716	-11.248632	-399.86276	32.505356	5002.957937717438
29	6557.5205	183.08113	6775.7983	6292.479	7418.068	134.42967	7561.8623	7144.5327	1000.0	1000.0	115999	409.78152	114.94918	541.22906	-4.8510604	409.7814	114.949715	540.4426	-5.4861097	3.3526604	4.0372605	35.359413	-17.046888	-410.0255	32.65099	5242.351368427277
30	6589.6304	176.38382	6695.4976	6284.209	7381.3525	52.5309	7466.556	7308.9434	1000.0	1000.0	119999	418.85403	116.10728	547.50464	-55.136684	418.85367	116.10854	550.5462	-36.252285	3.3821585	4.0007124	35.496548	-12.74015	-419.0968	31.889477	5494.427634000778
31	6767.6396	76.505844	6870.2876	6655.9966	7365.189	68.85823	7472.875	7236.8706	1000.0	1000.0	123999	428.3705	116.663605	560.31836	-28.514196	428.3698	116.663	560.50055	-20.434723	3.473507	4.0083375	51.080917	-11.5173025	-428.62073	32.484905	5734.320030450821
32	6790.755	99.809494	6890.5117	6656.4077	6566.9937	99.2655	6713.8613	6390.8145	1000.0	1000.0	127999	437.7639	117.26253	569.1635	-27.025639	437.76416	117.26367	567.27563	-25.55429	3.5273228	3.9973025	38.444958	-11.895791	-437.97946	31.970814	5953.41771197319
33	6950.329	133.22256	7087.0044	6729.9517	7596.7197	95.8501	7828.34	7473.378	1000.0	1000.0	131999	445.97208	118.67473	577.70807	-22.748833	445.97153	118.67526	578.4106	-31.13857	3.6466792	3.9960136	39.29652	-13.842485	-446.1832	31.57023	6170.265094995499
34	7019.6685	173.29988	7207.441	6776.058	7199.439	55.671078	7321.098	7133.7114	1000.0	1000.0	135999	454.6784	119.34791	586.6945	-72.04838	454.67825	119.34768	585.6244	-44.192413	3.6882737	4.0321007	46.684143	-13.339691	-454.85544	31.89974	6374.330144405365
35	7185.3994	126.63502	7312.7407	6975.4126	7216.047	1707.6113	7895.874	2096.7727	1000.0	1000.0	139999	462.60733	119.859505	596.6895	-37.929756	462.60727	119.860214	596.7764	-49.67469	3.7518709	4.0028453	33.18159	-12.589876	-462.78064	32.230385	6575.636474132538
36	7123.97	121.06659	7305.565	6964.5894	7359.275	77.66595	7505.007	7208.756	1000.0	1000.0	143999	470.85785	120.43193	607.47314	-29.596102	470.8576	120.43228	604.16235	-34.548584	3.8750355	3.9936554	39.856644	-13.8516865	-471.03195	32.120544	6776.451192617416
37	7110.7407	257.10672	7321.0605	6678.091	7317.622	100.52678	7477.471	7128.898	1000.0	1000.0	147999	478.49396	120.82629	608.7611	-59.965935	478.49368	120.82695	609.24677	-33.302864	3.9158876	3.9802306	38.558784	-12.711719	-478.64868	33.367172	7007.736030578613
38	7107.092	192.90147	7321.9497	6832.5146	7748.5767	123.94206	7902.653	7560.819	1000.0	1000.0	151999	485.8547	121.78293	626.8844	-6.6676865	485.85443	121.78268	621.39514	5.6566734	3.9658642	4.0091033	36.377045	-14.7375	-485.9964	34.18686	7255.398854970932
39	7389.147	309.14087	7764.4336	6904.296	7473.878	1657.622	8227.226	2506.1406	1000.0	1000.0	155999	492.9616	122.26471	631.1725	-36.06591	492.9612	122.265495	631.05316	-41.112297	4.073035	4.0353746	39.636562	-13.441607	-493.0937	34.47001	7498.845743656158
40	7375.8857	123.12962	7580.259	7265.775	8158.0713	99.16488	8253.29	7951.763	1000.0	1000.0	159999	499.94067	123.095	637.6824	-12.628186	499.9404	123.0955	640.8439	-21.631582	4.07417	4.0070667	43.356373	-13.687935	-500.05276	34.522587	7743.014338970184
41	7678.49	198.58107	7914.5967	7411.2393	8419.4	101.987755	8567.984	8206.665	1000.0	1000.0	163999	507.22775	123.94889	644.7542	-44.40775	507.22733	123.94911	644.97473	-15.436036	4.192111	4.0217385	50.229782	-13.724489	-507.35724	35.383163	7983.295989274979
42	7679.8086	208.48251	7908.874	7373.8164	7757.913	1487.8811	8417.012	3308.5278	1000.0	1000.0	167999	514.4453	123.91931	652.38153	-23.937136	514.4452	123.920296	649.427	-27.94634	4.1472664	3.9874008	47.407894	-12.893062	-514.5135	35.238316	8189.895495176315
43	7657.534	182.99872	7870.121	7396.935	6528.6357	2486.8486	8359.972	1372.214	1000.0	1000.0	171999	520.4642	125.069435	657.5315	-19.216322	520.464	125.06973	659.6889	-16.173998	4.30678	4.0513964	36.35016	-13.797545	-520.5443	36.350346	8387.739822864532
44	6262.4624	2495.6152	7783.8228	1942.5424	7569.827	969.6705	8146.1763	5398.7217	1000.0	1000.0	175999	524.7511	128.19467	662.602	-47.43943	524.7508	128.19519	662.8813	-59.075283	4.3501115	4.067527	40.933414	-14.273506	-524.8334	38.841442	8585.716270446777
