Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-157.21475	3.210647	-151.83852	-162.52507	-388.95898	55.38936	-325.81335	-477.9369	-388.95898	55.38936	-325.81335	-477.9369	-157.21475	3.210647	-151.83852	-162.52507	1000.0	1000.0	3999	2.56103	2.7807364	19.799309	-4.636038	2.5607474	2.780765	18.92417	-4.838392	-3.2961936	1.2846527	6.1122785	-11.10488	-1.0407894	0.8254984	122.36625933647156
2	-277.71182	45.34446	-220.4351	-342.1567	-257.61215	48.293476	-182.95993	-318.02335	-257.61215	48.293476	-182.95993	-318.02335	-277.71182	45.34446	-220.4351	-342.1567	1000.0	1000.0	7999	10.342565	4.934146	35.562977	-3.9917834	10.343319	4.9312887	34.727657	-4.944995	-2.11317	2.0311916	10.013668	-11.37472	-3.4895556	3.130373	274.7323491573334
3	36.274036	62.65305	195.52463	-33.50839	-279.9919	85.04824	-173.92099	-411.6284	-279.9919	85.04824	-173.92099	-411.6284	36.274036	62.65305	195.52463	-33.50839	1000.0	1000.0	11999	18.59819	5.252853	46.868774	-2.6936898	18.600784	5.2427816	45.90152	-0.31431895	-2.2902515	2.401975	11.088371	-12.874407	-6.1969395	4.3201685	429.4841070175171
4	125.24072	103.06639	290.9875	18.11716	-123.78653	39.222733	-87.70609	-183.19676	-123.78653	39.222733	-87.70609	-183.19676	125.24072	103.06639	290.9875	18.11716	1000.0	1000.0	15999	22.506767	5.7445383	48.01168	0.6228725	22.508812	5.7382584	49.150734	0.40106565	-2.9272606	2.000678	10.885685	-12.654039	-7.3912153	3.5564747	587.1696634292603
5	633.00037	378.94595	1077.9893	124.9616	-132.40437	59.72807	-35.124416	-182.16113	-132.40437	59.72807	-35.124416	-182.16113	633.00037	378.94595	1077.9893	124.9616	1000.0	1000.0	19999	24.752962	5.9097915	53.80646	3.039444	24.754175	5.9047985	53.83826	2.3404212	-3.123619	1.814753	10.398787	-13.894285	-8.378755	2.6740794	754.3643071651459
6	402.49823	340.13745	885.4954	7.5810246	-2.901847	95.631004	92.70409	-162.26154	-2.901847	95.631004	92.70409	-162.26154	402.49823	340.13745	885.4954	7.5810246	1000.0	1000.0	23999	27.7102	6.326464	60.568295	6.813063	27.71155	6.322796	59.722435	6.562552	-3.1678522	1.7863752	11.539309	-12.463304	-9.465582	2.5226607	932.9629466533661
7	350.0153	149.84392	575.2595	145.45677	161.2294	190.1114	395.41498	-126.11365	161.2294	190.1114	395.41498	-126.11365	350.0153	149.84392	575.2595	145.45677	1000.0	1000.0	27999	31.388542	7.3885903	71.33193	7.8866878	31.389135	7.385769	69.406586	10.183906	-3.1132994	1.843094	10.993044	-13.897671	-11.047925	2.694991	1088.423214673996
8	851.3408	496.85364	1479.5176	118.46923	146.55565	246.7657	560.71967	-54.169044	146.55565	246.7657	560.71967	-54.169044	851.3408	496.85364	1479.5176	118.46923	1000.0	1000.0	31999	35.13325	8.633888	81.56028	13.422457	35.134026	8.630571	79.7201	12.570051	-2.9954343	1.9936454	12.70428	-12.584133	-12.673983	2.9888737	1239.756091117859
9	963.9256	516.8116	1568.4893	100.527054	507.65488	299.0944	754.35425	-3.7469766	507.65488	299.0944	754.35425	-3.7469766	963.9256	516.8116	1568.4893	100.527054	1000.0	1000.0	35999	39.50176	10.796499	92.209274	18.06127	39.502625	10.794354	90.29765	19.48766	-2.8969471	2.1036828	16.091404	-12.359818	-14.311449	3.3821044	1391.0496098995209
10	1135.3583	664.98627	1867.292	149.06322	511.9569	503.9919	1165.3741	-14.045838	511.9569	503.9919	1165.3741	-14.045838	1135.3583	664.98627	1867.292	149.06322	1000.0	1000.0	39999	44.052734	13.281488	101.37544	22.58481	44.053505	13.279773	103.06587	21.524462	-2.7828007	2.2187736	14.651443	-13.315029	-15.998811	3.9437573	1542.9607908725739
