Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-446.34888	62.324814	-294.9237	-505.6284	-315.59583	64.63248	-232.0669	-410.49155	-424.60733	112.46522	-238.32657	-572.4728	-262.09747	52.208355	-182.3083	-315.27612	-2587.2285	250.25232	-2304.9116	-2990.3645	-3369.5872	262.80142	-2740.082	-3768.9307	1000.0	1000.0	3999	-14.655207	12.807379	10.633101	-64.32814	-14.659206	12.839917	14.268895	-65.53759	-3.4615054	4.756988	17.167208	-14.607438	-9.754597	13.137758	213.70384693145752
2	-634.6477	37.504715	-574.7757	-699.5509	-322.40424	41.855274	-260.15936	-363.6419	-257.80157	67.07782	-174.34813	-357.43768	-350.06454	76.73177	-224.10175	-431.1295	-2675.4038	136.04175	-2567.1533	-2901.086	-3931.9675	204.95802	-3612.3496	-4348.3115	1000.0	1000.0	7999	-13.548677	14.991048	20.766	-87.0746	-13.538346	15.049727	19.67267	-87.255226	1.1600372	4.2962184	17.555588	-17.090826	-6.9007363	26.643824	464.4681820869446
3	364.88272	51.213352	462.25626	265.48178	-243.64743	74.85741	-119.44966	-318.81625	-17.909754	96.01003	111.10509	-149.53993	-354.05725	53.056812	-307.6385	-443.4071	-2404.5825	232.17188	-2003.019	-2549.408	-536.7376	249.48729	-115.68938	-892.23114	1000.0	1000.0	11999	-13.325763	14.643029	21.422085	-100.042	-13.319355	14.677775	28.353676	-104.198326	-0.50979877	3.7358894	16.898342	-16.392494	-8.1632	24.98432	712.4852418899536
4	307.85123	50.445103	423.90234	258.89877	165.37106	87.38097	311.70905	80.27776	-10.424746	53.52994	74.733795	-94.18074	-175.56952	38.471363	-138.23901	-238.24951	-1126.1125	205.29984	-938.32605	-1438.0336	-243.66711	86.55179	-62.33307	-326.7774	1000.0	1000.0	15999	-51.46959	39.76181	14.051218	-131.89363	-51.470043	39.77566	14.015311	-131.26392	-1.747106	3.1477828	12.452898	-18.681417	-43.558853	25.083323	972.1924576759338
5	180.70547	16.09222	204.45226	147.2313	331.93585	22.050835	366.5398	305.7622	209.27188	28.050495	248.84596	164.36743	-87.18416	21.786303	-53.93434	-107.3649	-681.5757	115.987724	-528.6542	-813.99994	13.465967	44.72868	120.64782	-34.045048	1000.0	1000.0	19999	-82.86338	62.12994	-1.253109	-151.1589	-82.86146	62.136536	-0.7510493	-151.1679	-0.57377315	2.8759658	12.700987	-17.183155	-71.448784	25.55878	1245.080080986023
6	313.74432	10.957862	328.08154	291.12128	418.9633	42.819862	482.135	362.397	292.5509	8.35577	303.3788	275.41702	-30.661575	39.56451	5.769787	-95.84286	-290.63803	85.36109	-175.15385	-412.19235	315.83936	32.9442	388.9624	259.59616	1000.0	1000.0	23999	-101.52476	76.219055	-3.948622	-162.75537	-101.52339	76.22388	-5.5673923	-165.76904	-0.0007324632	2.8651648	12.203298	-15.020906	-88.13712	23.141617	1533.4499385356903
7	618.24304	20.986729	655.68915	572.67535	420.28027	96.87406	523.2138	262.9116	188.8612	23.937113	229.38406	149.84923	-12.639891	68.45587	92.79715	-82.90697	-338.7706	215.02327	-142.15996	-700.12036	358.12152	48.488754	428.82446	275.82962	1000.0	1000.0	27999	-112.44758	84.33924	-5.388398	-170.28658	-112.44653	84.34324	-4.7073154	-170.88716	0.2168603	2.8849535	12.906898	-14.102319	-98.004166	20.61637	1862.9624185562134
8	482.26886	58.76951	651.7322	437.08566	528.99646	58.964714	629.7717	481.1143	98.68661	16.98414	138.2804	77.926285	30.97908	42.80188	91.89692	-28.311325	-128.07616	105.40562	32.371933	-258.8048	187.18076	31.233553	257.17487	140.91646	1000.0	1000.0	31999	-117.81846	88.67967	-4.0885563	-173.16762	-117.81603	88.68275	-2.1633146	-172.72536	0.31437975	2.9369478	12.6054325	-15.473916	-102.95204	19.483204	2165.3827464580536
9	615.95105	11.60126	632.441	592.1989	568.1415	40.775265	630.27313	516.3261	202.61858	29.186483	254.32802	158.25365	44.431236	54.3433	118.605835	-28.24753	-75.37996	92.48868	10.039792	-226.65106	395.43912	55.21868	491.67667	306.90155	1000.0	1000.0	35999	-119.44547	89.68336	-3.5661824	-172.37732	-119.44349	89.68498	-0.6981801	-173.48686	0.30032945	2.9620535	12.093336	-17.997763	-104.559326	17.995316	2435.049006462097
10	764.18494	69.37912	833.9212	616.1625	588.3381	50.36445	643.54944	518.9829	202.15744	43.81019	252.5959	117.26022	95.53877	106.948074	232.60551	-65.06781	46.68786	207.32854	332.68497	-240.88892	397.58032	84.04041	495.67456	234.52045	1000.0	1000.0	39999	-118.47126	88.78485	-4.8007054	-168.7904	-118.46813	88.7861	-1.1297542	-171.8337	0.29401523	2.975296	13.625244	-15.950146	-103.810005	16.474918	2696.09321808815
11	793.8639	19.525763	831.30444	759.6339	594.35645	74.76532	666.32	468.90668	172.12357	30.889671	223.53654	117.80302	215.65422	46.03655	268.25516	142.46892	207.14134	108.79684	352.3652	92.60574	338.01025	60.102997	445.66965	229.16406	1000.0	1000.0	43999	-115.46603	86.460075	-4.457407	-163.13681	-115.46311	86.462296	0.4225835	-167.00978	0.2999098	2.9841385	13.306742	-16.732698	-101.22656	15.083577	2950.9527060985565
12	726.42834	20.59376	768.0905	693.4933	569.1845	32.079796	613.8268	523.206	351.965	134.10031	466.01227	-15.630673	113.82845	166.07166	282.18494	-79.07206	72.10185	264.17587	351.27905	-234.48761	685.3895	264.4797	915.9777	-42.57589	1000.0	1000.0	47999	-110.88947	82.98404	-0.47357783	-161.90196	-110.88759	82.98737	0.76236093	-163.43573	0.26796308	2.9654467	13.017444	-15.17524	-97.26322	14.114017	3204.7442224025726
13	606.71967	5.9625144	618.1718	599.5902	595.23346	60.388298	677.2996	506.74994	143.6895	35.108807	205.39908	61.1247	99.39493	174.6263	373.80975	-82.34076	34.656868	333.38538	531.42145	-315.71136	275.10742	70.57187	405.3316	113.55161	1000.0	1000.0	51999	-106.07811	79.63874	0.12508531	-158.93001	-106.07665	79.64267	-1.454393	-159.43445	0.19782934	2.9560308	14.7661495	-16.288645	-93.07671	13.651051	3457.282919406891
14	738.7371	19.911554	764.4912	694.75964	529.02606	66.91983	594.95593	421.83612	192.91306	24.823273	218.94554	138.63557	173.17218	131.5987	348.63092	-2.4668126	89.34871	255.38905	403.75864	-300.63934	378.6275	46.766697	423.7878	276.7906	1000.0	1000.0	55999	-100.43784	75.83846	0.43962863	-154.74644	-100.43744	75.842804	-1.408011	-154.18956	0.21851537	2.9578528	11.955713	-16.0705	-88.10739	13.274945	3709.108140230179
15	670.21484	6.064767	678.72595	660.0154	531.72925	56.101784	621.9258	474.3333	222.76855	75.22688	423.90335	131.72021	179.71756	127.391304	305.07584	-6.3474793	89.95082	225.80904	341.6034	-261.6628	432.58032	140.22714	806.371	261.9447	1000.0	1000.0	59999	-94.94011	72.74751	2.4667666	-148.62671	-94.93992	72.75251	2.0427682	-148.22345	0.2540997	2.9658852	12.479623	-15.184004	-83.241684	13.648514	3986.4098348617554
16	649.78503	34.639103	696.37244	591.05237	496.739	87.764854	592.97156	356.4937	193.00053	317.47745	788.47284	-193.31305	158.1202	150.75444	344.287	-34.632675	-33.28738	214.70312	328.0434	-223.87083	238.17595	519.1106	1217.7325	-390.7854	1000.0	1000.0	63999	-88.12683	68.89464	3.4733977	-145.20322	-88.12781	68.90054	2.1984966	-142.94939	0.34153503	2.983456	15.364162	-16.213491	-77.21153	14.298042	4294.322679281235
17	722.4634	41.979946	757.10974	604.0592	516.2438	18.998108	547.58264	497.1841	40.099957	258.3233	752.8701	-162.04724	234.78598	364.00183	716.50616	-219.87381	126.01596	549.76764	833.8605	-580.6446	-47.9941	389.15976	1037.0227	-339.49997	1000.0	1000.0	67999	-81.96886	65.72339	11.263423	-139.80798	-81.9703	65.729904	11.701484	-139.32555	0.5359793	3.0189927	12.513641	-16.242273	-71.762955	15.820998	4576.002301931381
18	829.14435	67.003815	902.8555	646.785	525.8669	45.329716	577.49805	454.015	182.13577	372.01553	1220.0054	-78.49177	247.02643	198.93794	473.0038	-72.048546	101.20785	270.89584	307.13065	-362.0334	222.6831	547.20386	1761.2314	-158.81172	1000.0	1000.0	71999	-73.7463	61.99843	21.918575	-135.43475	-73.74997	62.008232	22.800562	-131.7158	0.80031276	3.1022217	14.764486	-16.22478	-64.39025	18.044825	4842.788676977158
19	682.4074	53.62971	749.8862	576.34357	514.49634	95.75122	617.4178	404.50806	432.2104	278.36197	832.3257	21.737495	72.83489	219.75015	391.7923	-165.99095	-256.42816	415.92383	428.4953	-661.6863	647.65497	423.7156	1252.1207	5.4387794	1000.0	1000.0	75999	-64.21043	57.835495	33.112125	-127.60348	-64.21397	57.848186	33.78567	-123.917564	0.9837995	3.1637838	15.364721	-15.169525	-55.777267	20.548172	5110.862363576889
20	673.2106	16.008194	696.68	644.6954	377.71558	55.988064	445.1988	298.34042	1093.325	594.08246	1693.5721	99.107925	917.1552	291.87735	1203.5133	429.2019	821.56586	357.03406	1277.7632	363.3694	1814.9271	1007.48596	2806.4722	137.05399	1000.0	1000.0	79999	-49.961376	52.48965	38.017834	-120.569435	-49.96691	52.505814	40.132946	-117.805916	0.9651286	3.1687808	17.189808	-17.239834	-42.985077	23.407478	5378.224762439728
21	453.1333	150.92271	667.0295	168.90265	431.6405	24.821272	465.38626	403.40942	591.9715	565.9291	1508.1146	-47.871746	836.2576	320.23584	1180.4282	498.81436	807.9779	462.6552	1335.9475	314.817	972.3244	988.7106	2594.9292	-155.68535	1000.0	1000.0	83999	-33.30417	47.022247	45.021362	-117.41188	-33.305645	47.040253	44.98974	-113.40475	0.83632696	3.1227968	15.178482	-17.263588	-28.15116	22.822266	5645.061425924301
22	590.76746	30.163792	619.026	518.76385	396.11664	33.89691	437.2073	352.73062	597.7561	353.70096	1483.106	57.60309	866.66907	427.25027	1303.0634	196.68187	836.3888	555.3833	1458.3823	-1.8235546	898.3742	523.18823	2153.6138	82.19821	1000.0	1000.0	87999	-17.44695	44.86104	52.830517	-106.63176	-17.448536	44.878616	50.5359	-101.9738	0.5476964	3.053034	13.977378	-15.737966	-14.214483	21.155834	5914.365317821503
23	594.39197	6.16211	601.7118	581.8634	364.70813	37.103153	404.08615	323.2759	1598.2335	98.732735	1728.3209	1420.5785	706.0613	482.58997	1172.1006	-103.4522	567.2631	643.8753	1325.1572	-449.9756	2578.4487	100.9746	2685.5334	2393.6519	1000.0	1000.0	91999	-4.093841	45.373257	62.54669	-102.62104	-4.092719	45.389633	60.13128	-100.309875	0.45281494	3.0337973	13.621095	-16.282345	-2.5094202	20.248497	6186.685173273087
24	551.1213	9.597612	561.40454	526.97546	398.52487	30.76985	435.57504	359.20975	1860.4664	101.23602	2080.4639	1726.7833	850.02466	533.2587	1426.8044	120.37556	818.75726	833.4	1716.1653	-236.25131	2645.7788	42.735683	2706.5146	2568.1487	1000.0	1000.0	95999	7.4499426	48.9426	72.25133	-96.39196	7.4524217	48.9577	71.996864	-97.727325	0.51008284	3.058663	13.228984	-14.999679	7.6743946	19.534101	6507.165239334106
25	640.00916	10.922615	657.5337	620.9398	448.6921	20.547071	483.8104	433.31223	2160.281	94.125694	2317.2092	2027.5839	1495.7181	57.812195	1569.3971	1407.2848	1776.4586	149.97878	1996.3136	1579.5658	3094.7402	93.87473	3211.2336	2943.2646	1000.0	1000.0	99999	19.61691	54.919598	85.714165	-89.23636	19.61806	54.933464	84.21918	-86.01631	0.7826904	3.1530142	16.128395	-16.67156	18.37777	19.46805	6842.499299049377
26	581.7985	4.886467	587.3222	573.5384	477.67615	29.047762	521.8538	450.62186	1829.5771	105.83694	2039.5524	1655.7533	1348.044	495.28067	1874.1305	548.9887	1526.4103	610.3132	2089.7598	547.22943	2736.4429	74.91794	2858.4158	2586.465	1000.0	1000.0	103999	34.03745	63.099293	97.730316	-85.1589	34.03831	63.112366	96.60476	-86.718765	1.1764243	3.330062	16.545301	-16.139866	31.156351	19.8084	7172.003019809723
27	655.4533	10.427357	673.34796	638.4907	483.24872	26.249245	524.46	451.41644	1938.6562	101.50248	2103.1929	1745.5337	1799.6849	106.498924	1982.6162	1726.8774	2072.8157	219.6913	2418.384	1840.3862	2996.8394	98.95115	3123.4014	2781.2847	1000.0	1000.0	107999	48.479595	72.12682	111.451866	-79.60231	48.48023	72.13796	108.6743	-80.74514	1.4377533	3.4741445	16.596458	-15.772157	43.898636	20.066336	7498.142518281937
28	651.62	15.567191	675.8197	612.80286	512.4164	19.269014	531.7458	481.0295	2023.5881	680.7219	2384.8315	10.337698	1309.5267	647.92725	2104.6113	466.2603	1529.767	850.1731	2472.6497	379.623	2851.4014	956.0029	3317.2324	8.093083	1000.0	1000.0	111999	64.71716	82.58566	121.63828	-81.76365	64.7192	82.59576	121.33348	-82.85512	1.6609564	3.5771203	16.613125	-17.235714	58.204563	20.186586	7792.076695919037
29	635.9948	11.515498	652.80585	615.52795	531.11646	54.40095	596.98096	445.77094	2140.6704	125.77916	2352.4858	1868.6337	1849.2742	167.50691	2122.2295	1665.8695	2246.358	310.36523	2672.8938	1798.7334	3107.823	130.21837	3225.2764	2780.1038	1000.0	1000.0	115999	80.13676	93.27082	133.36877	-96.95263	80.13821	93.28003	133.8053	-98.411095	1.9225997	3.7050307	17.855257	-14.613422	71.771065	20.929276	8079.994007587433
30	736.3368	39.887535	774.52454	627.5788	562.19165	30.768663	583.35114	509.03076	2361.9668	327.9707	2597.1184	1418.7881	1381.8632	819.53986	2078.1677	-2.8738053	1698.1511	1088.6245	2652.2566	-138.34677	3553.1665	525.552	3918.4875	2014.0757	1000.0	1000.0	119999	97.46594	104.51861	145.28455	-104.94248	97.46725	104.526	145.37723	-104.34661	2.1882246	3.800736	16.926348	-15.0304785	87.07314	21.84374	8346.280377626419
31	717.7298	9.569915	734.743	703.48517	557.8477	33.22585	592.2163	515.86786	2555.4019	114.97977	2720.712	2308.1533	2166.3484	160.73315	2415.1838	1967.297	2657.4285	201.49141	2952.3035	2397.0068	3676.3835	90.93928	3797.2778	3468.0667	1000.0	1000.0	123999	114.05442	115.66676	160.12627	-106.62296	114.05546	115.67399	159.3166	-107.35622	2.518761	3.9538047	17.30362	-16.404663	101.74244	22.264738	8612.708543539047
32	696.9504	51.651848	734.66113	545.5075	636.2743	20.332632	658.07733	613.0444	2553.8154	540.5945	2843.3242	955.5763	2322.6868	65.7107	2429.3206	2253.0056	3064.8533	84.39859	3184.0771	2945.656	3424.302	755.9081	3793.1946	1164.9858	1000.0	1000.0	127999	135.09338	128.86125	173.09718	-108.28878	135.09286	128.8675	173.25536	-109.1468	2.9371707	4.1168814	18.442501	-14.61664	120.26069	22.53083	8883.095036745071
33	751.3905	23.911777	802.6999	716.6547	636.1665	15.800924	662.5713	621.2392	2890.8904	92.85718	3018.6218	2713.363	2525.7195	72.056435	2635.2297	2459.2788	3119.7979	108.17738	3305.6736	3039.9429	3919.8894	89.734604	4053.0374	3764.652	1000.0	1000.0	131999	158.69536	143.49454	186.00134	-110.411804	158.69536	143.49988	187.37949	-111.47464	3.5113235	4.3600574	18.291128	-16.446373	141.108	23.421219	9153.756262302399
34	726.3888	13.704674	747.5989	703.38324	643.53687	18.889412	672.7133	619.88196	2846.7554	43.30497	2904.0613	2748.3506	2532.114	197.61954	2706.3723	2196.5437	3119.413	288.78635	3357.9893	2625.5068	3817.268	70.55243	3934.819	3675.8674	1000.0	1000.0	135999	183.4075	158.87506	204.17683	-112.62464	183.40839	158.8806	204.40742	-112.894714	3.8896015	4.531432	18.359697	-16.288498	162.84134	23.602137	9471.41088461876
35	743.52423	5.4824185	752.5777	734.7945	624.32837	58.385937	684.1003	536.5275	2806.3242	73.28124	2933.0862	2683.4011	2555.47	253.08957	2808.805	2145.9924	3066.2222	435.41046	3471.9595	2343.0054	3916.7976	30.108139	3966.0906	3882.7207	1000.0	1000.0	139999	206.4812	173.70085	216.62048	-113.89209	206.48238	173.70648	216.84155	-115.25099	4.2128406	4.7055945	21.438984	-15.044135	182.975	24.266636	9813.096063137054
36	852.7142	9.671258	870.3251	835.0934	706.5296	38.672302	763.676	655.88654	3388.754	51.36501	3511.5332	3311.1062	2961.8564	83.546844	3061.9204	2848.4944	3666.5767	182.28455	3929.2847	3417.7854	4499.147	70.9029	4599.8965	4331.655	1000.0	1000.0	143999	228.94154	188.59529	230.2355	-108.83329	228.9417	188.59998	230.88727	-110.136116	4.39561	4.7870317	20.045605	-14.85355	202.69424	24.364683	10095.250047445297
37	874.7552	14.794008	903.29175	854.344	758.6285	20.518745	781.1702	727.2149	3117.832	124.73908	3250.392	2930.001	2965.701	113.07416	3078.152	2779.2117	3874.5852	196.0229	4038.9775	3546.0198	4579.032	79.29039	4750.8774	4491.1055	1000.0	1000.0	147999	251.59514	204.15405	241.94873	-102.159546	251.5951	204.15831	243.59752	-102.98451	4.6931405	4.9468455	19.009016	-15.744467	222.53394	24.527353	10373.460396289825
38	816.4453	8.733638	827.1675	801.34	790.9575	43.62391	854.0122	733.29474	3179.6577	51.27759	3247.8352	3087.7773	3136.6604	102.12239	3213.1438	2961.683	4097.6216	204.16179	4391.606	3845.153	4309.8994	49.59095	4398.628	4231.108	1000.0	1000.0	151999	274.8582	220.1728	255.33153	-94.78448	274.85797	220.17706	255.8914	-93.89043	4.955921	5.103214	22.793228	-14.845282	242.89113	24.87493	10645.8606903553
39	912.0503	79.31196	992.527	771.05457	803.0591	43.047913	866.77875	745.6925	3421.6294	210.2047	3741.049	3083.7363	3048.465	60.693928	3134.5725	2972.777	4084.7085	220.9841	4427.179	3809.4463	4803.945	401.32455	5206.2227	4094.5303	1000.0	1000.0	155999	298.46738	236.20769	274.52902	-88.70096	298.4666	236.21178	278.70654	-89.94547	5.2635055	5.2755494	20.530018	-13.954903	263.5732	25.815933	10915.385239839554
40	1062.0159	28.725159	1109.5685	1008.44446	868.93964	48.52283	932.18414	805.29706	3624.2676	75.32115	3735.3328	3449.4758	3139.8958	85.599815	3288.1047	3086.729	4399.208	272.54745	4781.3315	4025.0725	5533.227	151.31282	5773.9116	5249.4756	1000.0	1000.0	159999	322.957	252.53258	286.66623	-81.378624	322.95517	252.53596	288.55524	-82.67691	5.553712	5.4392247	21.667978	-15.123596	284.88123	26.338669	11203.631519317627
41	1075.65	24.759682	1105.3411	1011.6819	854.74854	72.15828	936.51794	751.7848	3692.9478	48.390247	3753.457	3589.8015	3249.0698	67.10712	3347.8787	3175.849	4429.895	361.36438	4795.4683	3908.5886	5615.719	124.32578	5767.935	5298.363	1000.0	1000.0	163999	346.91592	268.58157	298.86655	-74.54116	346.9139	268.58508	300.65158	-72.2714	5.815445	5.6007934	26.784924	-13.703788	305.92896	27.087038	11530.658151626587
42	1042.9596	22.138708	1093.231	1019.0728	876.3884	33.171856	911.32764	826.083	4065.4543	100.39393	4248.4277	3870.8442	3296.2856	139.28384	3461.0044	3131.2283	4415.816	150.42616	4583.314	4215.305	5516.9165	120.59996	5794.9893	5377.9097	1000.0	1000.0	167999	371.6473	284.8246	310.82767	-58.833748	371.64447	284.8277	310.15506	-55.322433	6.119469	5.7728505	27.558739	-14.839592	327.535	27.839952	11817.968533754349
43	998.7345	33.238506	1060.5284	921.30316	816.34937	279.5357	1003.7123	333.33737	3782.707	84.453766	3886.7102	3575.884	2936.0356	1065.356	3578.9155	1091.1708	4003.8828	1853.8115	5179.903	795.1309	5275.676	152.44331	5548.1104	4913.2915	1000.0	1000.0	171999	393.7391	300.18118	327.8237	-47.74413	393.738	300.18463	326.01822	-45.288002	6.3779817	5.932021	23.984844	-13.263933	346.7295	28.722975	12099.548906564713
44	1040.2074	59.55043	1102.8221	926.1804	963.33405	26.349838	999.9799	936.1551	4042.3398	147.34183	4235.487	3764.4639	3536.5786	128.14886	3756.5583	3446.4631	4973.2646	88.63093	5066.7183	4881.119	5465.003	290.8363	5797.5527	4878.0444	1000.0	1000.0	175999	414.14755	315.9207	340.0065	-47.630314	414.1474	315.92462	339.464	-44.97206	6.4977775	5.995405	25.441504	-13.9992895	364.48154	29.664291	12374.006210803986
45	1017.73303	97.38453	1177.1174	853.5705	853.4643	185.64671	965.67957	531.9738	4198.623	109.37715	4336.0767	3940.0671	2727.5425	1227.6156	3520.5464	603.8242	3875.6367	1825.3038	4988.5527	715.56055	5355.6265	508.61386	6182.3286	4519.944	1000.0	1000.0	179999	434.44296	331.39685	355.29364	-50.275578	434.4419	331.40005	353.16202	-48.79624	6.8281474	6.195052	30.05102	-12.4960985	382.18658	30.638653	12640.098849534988
46	1169.4485	69.93433	1239.3002	1033.0828	979.7195	97.24759	1110.622	849.92334	4118.7725	89.75586	4280.518	4010.347	3638.2646	103.2181	3755.8606	3485.0745	5094.5635	458.49893	5682.3594	4450.6904	6139.296	363.2268	6503.613	5454.9287	1000.0	1000.0	183999	453.9489	346.40512	365.25415	-53.769836	453.9478	346.40836	363.45462	-51.02929	6.960231	6.26615	26.798626	-13.56159	399.2163	31.884157	12919.682743310928
47	1183.3809	27.764853	1230.0746	1147.8446	1007.4097	68.86494	1079.0798	908.2767	4004.166	108.637276	4132.036	3774.9773	3296.5344	522.8953	3637.6582	2393.0283	4895.8193	759.7487	5487.9805	3608.5068	6186.0127	146.58931	6437.856	5946.4736	1000.0	1000.0	187999	475.62625	362.22986	378.1902	-52.809788	475.62268	362.2326	376.54602	-53.78497	7.103749	6.361548	26.007427	-15.0798645	418.12177	32.40229	13243.231045246124
48	1194.1924	19.48234	1218.1908	1151.8876	1070.0646	19.244524	1095.0065	1042.1552	4201.7295	26.456652	4248.868	4159.9478	3683.8328	84.9222	3800.1455	3562.6553	5506.4287	144.07048	5680.005	5279.5596	6308.697	96.538155	6467.5386	6124.6626	1000.0	1000.0	191999	495.46143	376.97586	388.52457	-58.39049	495.45947	376.97867	387.19846	-54.550255	7.2422786	6.4767456	24.141644	-15.218007	435.46994	33.842037	13541.65938258171
49	1217.0881	20.65048	1246.0024	1188.286	1084.1519	93.31625	1146.5762	923.1649	4309.6772	83.0013	4445.2734	4132.4077	3731.0486	141.03072	3860.9714	3523.4285	5573.576	442.67078	5877.8916	4809.6934	6408.4683	109.972824	6576.534	6269.803	1000.0	1000.0	195999	515.78265	391.62387	401.25595	-58.765423	515.7798	391.6258	398.91504	-57.947758	7.386276	6.5661983	26.213526	-14.448568	453.02707	35.05887	13801.514755249023
50	1242.8313	13.823282	1258.8086	1219.6442	1153.9456	12.133609	1173.9778	1141.3038	4354.3975	81.395645	4495.5874	4230.116	3813.5576	145.21512	4006.187	3606.6777	5906.802	141.4734	6049.7314	5674.611	6519.751	86.918655	6607.788	6311.342	1000.0	1000.0	199999	537.04193	406.56393	412.9086	-60.37304	537.03864	406.5659	410.94678	-57.567795	7.5432525	6.6636267	31.516098	-14.832492	471.67783	36.216213	14059.946201562881
51	1288.7778	138.7268	1369.0626	878.0334	1159.1821	31.1768	1213.1635	1140.0078	4336.7095	164.24435	4546.6533	3939.257	3941.0107	94.417	4077.8716	3835.1233	5994.471	223.8707	6366.3267	5801.4727	6765.8643	696.1246	7254.726	4723.0894	1000.0	1000.0	203999	560.17847	422.21182	426.12567	-61.870228	560.174	422.21326	422.3415	-58.665524	7.8482637	6.855044	27.666088	-16.602247	491.90454	37.675587	14317.034786939621
52	1332.6584	26.192545	1376.0134	1288.8296	1177.5448	25.190659	1198.2878	1135.3059	4336.2817	76.07758	4490.96	4254.5093	3971.9614	87.349846	4069.7656	3851.1252	6091.4062	96.49795	6198.0034	5953.2954	6937.5156	117.43183	7175.242	6754.989	1000.0	1000.0	207999	583.51733	437.72684	437.41415	-55.218483	583.5133	437.7288	434.43417	-54.603745	8.048198	6.9891024	25.754688	-16.61755	512.23926	38.577255	14573.483211517334
