Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageTestEnv2Ret	StdTestEnv2Ret	MaxTestEnv2Ret	MinTestEnv2Ret	AverageEnv2Ret	StdEnv2Ret	MaxEnv2Ret	MinEnv2Ret	AverageTestEnv3Ret	StdTestEnv3Ret	MaxTestEnv3Ret	MinTestEnv3Ret	AverageEnv3Ret	StdEnv3Ret	MaxEnv3Ret	MinEnv3Ret	AverageTestEnv4Ret	StdTestEnv4Ret	MaxTestEnv4Ret	MinTestEnv4Ret	AverageEnv4Ret	StdEnv4Ret	MaxEnv4Ret	MinEnv4Ret	AverageTestEnv5Ret	StdTestEnv5Ret	MaxTestEnv5Ret	MinTestEnv5Ret	AverageEnv5Ret	StdEnv5Ret	MaxEnv5Ret	MinEnv5Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
11	4120.574	82.31805	4204.0083	3960.815	3556.8066	57.330475	3615.1765	3461.9922	4120.574	82.31805	4204.0083	3960.815	3556.8066	57.330475	3615.1765	3461.9922	4120.574	82.31805	4204.0083	3960.815	3556.8066	57.330475	3615.1765	3461.9922	4120.574	82.31805	4204.0083	3960.815	3556.8066	57.330475	3615.1765	3461.9922	4120.574	82.31805	4204.0083	3960.815	3556.8066	57.330475	3615.1765	3461.9922	4120.574	82.31805	4204.0083	3960.815	3556.8066	57.330475	3615.1765	3461.9922	3556.8066	57.330475	3615.1765	3461.9922	4120.574	82.31805	4204.0083	3960.815	1000.0	1000.0	43999	119.39226	47.915176	223.95114	30.353754	119.39168	47.90925	227.38293	29.697412	0.51756674	3.3457263	18.263918	-18.360605	2737.6885	11.137894	2114.1611971855164
12	4368.402	126.2484	4577.993	4166.155	2987.0635	1528.8267	3893.8076	339.18796	4368.402	126.2484	4577.993	4166.155	2987.0635	1528.8267	3893.8076	339.18796	4368.402	126.2484	4577.993	4166.155	2987.0635	1528.8267	3893.8076	339.18796	4368.402	126.2484	4577.993	4166.155	2987.0635	1528.8267	3893.8076	339.18796	4368.402	126.2484	4577.993	4166.155	2987.0635	1528.8267	3893.8076	339.18796	4368.402	126.2484	4577.993	4166.155	2987.0635	1528.8267	3893.8076	339.18796	2987.0635	1528.8267	3893.8076	339.18796	4368.402	126.2484	4577.993	4166.155	1000.0	1000.0	47999	135.91919	55.551083	241.32454	30.711481	135.91891	55.544952	242.4462	30.112282	0.8404162	3.544874	19.635077	-14.157973	3115.6895	12.900627	2313.2977859973907
13	4621.394	115.04784	4833.903	4424.8936	4045.0493	102.67032	4152.0815	3876.0	4621.394	115.04784	4833.903	4424.8936	4045.0493	102.67032	4152.0815	3876.0	4621.394	115.04784	4833.903	4424.8936	4045.0493	102.67032	4152.0815	3876.0	4621.394	115.04784	4833.903	4424.8936	4045.0493	102.67032	4152.0815	3876.0	4621.394	115.04784	4833.903	4424.8936	4045.0493	102.67032	4152.0815	3876.0	4621.394	115.04784	4833.903	4424.8936	4045.0493	102.67032	4152.0815	3876.0	4045.0493	102.67032	4152.0815	3876.0	4621.394	115.04784	4833.903	4424.8936	1000.0	1000.0	51999	154.03394	62.240044	267.67978	31.477604	154.03316	62.234383	266.42288	30.505192	1.1044307	3.6617303	21.78009	-15.403904	3520.9944	14.131123	2514.753803730011
14	4712.747	106.20808	4857.0503	4535.304	4175.435	68.64585	4272.041	4090.5208	4712.747	106.20808	4857.0503	4535.304	4175.435	68.64585	4272.041	4090.5208	4712.747	106.20808	4857.0503	4535.304	4175.435	68.64585	4272.041	4090.5208	4712.747	106.20808	4857.0503	4535.304	4175.435	68.64585	4272.041	4090.5208	4712.747	106.20808	4857.0503	4535.304	4175.435	68.64585	4272.041	4090.5208	4712.747	106.20808	4857.0503	4535.304	4175.435	68.64585	4272.041	4090.5208	4175.435	68.64585	4272.041	4090.5208	4712.747	106.20808	4857.0503	4535.304	1000.0	1000.0	55999	172.44247	68.0753	280.4157	31.2591	172.44154	68.07053	279.61844	31.18824	1.3430897	3.7871969	20.864273	-13.703092	3937.5234	15.300328	2753.5505571365356
15	4878.2256	116.86586	5037.433	4648.2944	4289.198	42.069626	4339.069	4222.9126	4878.2256	116.86586	5037.433	4648.2944	4289.198	42.069626	4339.069	4222.9126	4878.2256	116.86586	5037.433	4648.2944	4289.198	42.069626	4339.069	4222.9126	4878.2256	116.86586	5037.433	4648.2944	4289.198	42.069626	4339.069	4222.9126	4878.2256	116.86586	5037.433	4648.2944	4289.198	42.069626	4339.069	4222.9126	4878.2256	116.86586	5037.433	4648.2944	4289.198	42.069626	4339.069	4222.9126	4289.198	42.069626	4339.069	4222.9126	4878.2256	116.86586	5037.433	4648.2944	1000.0	1000.0	59999	189.39902	73.17321	301.17532	31.414516	189.39883	73.16857	301.12924	31.384018	1.4762452	3.863999	22.707758	-13.99633	4323.316	15.871961	2987.71408367157
16	4815.6016	70.67755	4892.662	4648.465	4451.3584	106.45337	4588.4546	4297.6787	4815.6016	70.67755	4892.662	4648.465	4451.3584	106.45337	4588.4546	4297.6787	4815.6016	70.67755	4892.662	4648.465	4451.3584	106.45337	4588.4546	4297.6787	4815.6016	70.67755	4892.662	4648.465	4451.3584	106.45337	4588.4546	4297.6787	4815.6016	70.67755	4892.662	4648.465	4451.3584	106.45337	4588.4546	4297.6787	4815.6016	70.67755	4892.662	4648.465	4451.3584	106.45337	4588.4546	4297.6787	4451.3584	106.45337	4588.4546	4297.6787	4815.6016	70.67755	4892.662	4648.465	1000.0	1000.0	63999	205.4059	77.312614	317.3599	31.161713	205.4055	77.30717	318.6602	31.369455	1.6620978	3.9395654	24.467243	-12.973162	4681.487	16.880377	3195.394401550293
17	4963.9663	93.06886	5136.0654	4864.7354	4546.839	106.05338	4697.4595	4397.6074	4963.9663	93.06886	5136.0654	4864.7354	4546.839	106.05338	4697.4595	4397.6074	4963.9663	93.06886	5136.0654	4864.7354	4546.839	106.05338	4697.4595	4397.6074	4963.9663	93.06886	5136.0654	4864.7354	4546.839	106.05338	4697.4595	4397.6074	4963.9663	93.06886	5136.0654	4864.7354	4546.839	106.05338	4697.4595	4397.6074	4963.9663	93.06886	5136.0654	4864.7354	4546.839	106.05338	4697.4595	4397.6074	4546.839	106.05338	4697.4595	4397.6074	4963.9663	93.06886	5136.0654	4864.7354	1000.0	1000.0	67999	220.04156	81.092766	333.45694	31.627672	220.04063	81.08792	332.09067	31.11086	1.8160536	4.0061045	25.683744	-17.152494	5007.466	18.11218	3380.0290253162384
18	5068.2783	100.99914	5241.954	4917.551	4655.1304	115.126884	4827.76	4520.609	5068.2783	100.99914	5241.954	4917.551	4655.1304	115.126884	4827.76	4520.609	5068.2783	100.99914	5241.954	4917.551	4655.1304	115.126884	4827.76	4520.609	5068.2783	100.99914	5241.954	4917.551	4655.1304	115.126884	4827.76	4520.609	5068.2783	100.99914	5241.954	4917.551	4655.1304	115.126884	4827.76	4520.609	5068.2783	100.99914	5241.954	4917.551	4655.1304	115.126884	4827.76	4520.609	4655.1304	115.126884	4827.76	4520.609	5068.2783	100.99914	5241.954	4917.551	1000.0	1000.0	71999	234.22812	83.92516	350.7665	30.960606	234.22745	83.920006	347.70398	30.40165	1.9301535	4.030577	25.35443	-12.462243	5322.784	18.623793	3564.860073328018
19	5099.4478	83.391975	5252.235	4979.792	4807.34	81.6824	4897.2188	4689.741	5099.4478	83.391975	5252.235	4979.792	4807.34	81.6824	4897.2188	4689.741	5099.4478	83.391975	5252.235	4979.792	4807.34	81.6824	4897.2188	4689.741	5099.4478	83.391975	5252.235	4979.792	4807.34	81.6824	4897.2188	4689.741	5099.4478	83.391975	5252.235	4979.792	4807.34	81.6824	4897.2188	4689.741	5099.4478	83.391975	5252.235	4979.792	4807.34	81.6824	4897.2188	4689.741	4807.34	81.6824	4897.2188	4689.741	5099.4478	83.391975	5252.235	4979.792	1000.0	1000.0	75999	247.2962	86.822655	359.01242	30.478107	247.29526	86.818596	358.7065	30.839096	2.0340378	4.0787735	31.95384	-14.361338	5624.663	18.701868	3767.151159286499
20	5136.8755	91.786705	5323.8486	4988.7886	4878.0337	67.74682	4964.854	4804.3867	5136.8755	91.786705	5323.8486	4988.7886	4878.0337	67.74682	4964.854	4804.3867	5136.8755	91.786705	5323.8486	4988.7886	4878.0337	67.74682	4964.854	4804.3867	5136.8755	91.786705	5323.8486	4988.7886	4878.0337	67.74682	4964.854	4804.3867	5136.8755	91.786705	5323.8486	4988.7886	4878.0337	67.74682	4964.854	4804.3867	5136.8755	91.786705	5323.8486	4988.7886	4878.0337	67.74682	4964.854	4804.3867	4878.0337	67.74682	4964.854	4804.3867	5136.8755	91.786705	5323.8486	4988.7886	1000.0	1000.0	79999	259.75565	88.88258	370.35846	29.60169	259.75525	88.8783	369.88788	30.17535	2.1525722	4.105452	28.277355	-13.926554	5885.798	19.080446	3993.0351073741913
