Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-50.32364	9.813446	-36.55798	-65.18693	-274.36334	82.84487	-150.88232	-378.13544	-274.36334	82.84487	-150.88232	-378.13544	-50.32364	9.813446	-36.55798	-65.18693	1000.0	1000.0	3999	3.4960697	3.3463953	20.883919	-3.483013	3.4788115	3.371846	20.402653	-4.280156	-2.961258	1.5368099	7.1004725	-11.923805	-4.3877873	1.0255746	110.14158034324646
2	-420.54443	31.266157	-398.15735	-486.59393	-297.24542	72.68063	-183.89687	-371.95187	-297.24542	72.68063	-183.89687	-371.95187	-420.54443	31.266157	-398.15735	-486.59393	1000.0	1000.0	7999	16.249052	7.0167074	45.788177	-3.241799	16.249643	7.0174184	44.9338	-4.0018454	-0.7357195	2.5479958	16.108013	-16.234413	-17.636087	2.6456199	253.42446875572205
3	-151.5354	31.481575	-98.76472	-203.22844	-243.81158	33.326054	-189.96762	-277.64926	-243.81158	33.326054	-189.96762	-277.64926	-151.5354	31.481575	-98.76472	-203.22844	1000.0	1000.0	11999	33.623425	9.487209	71.197044	8.3121805	33.62457	9.484836	71.545975	7.6994667	-0.34777126	2.894114	16.92894	-14.856683	-34.971527	3.9129434	398.43988132476807
4	716.0701	239.6284	1035.8069	433.10605	205.61702	157.81564	403.90054	-32.979656	205.61702	157.81564	403.90054	-32.979656	716.0701	239.6284	1035.8069	433.10605	1000.0	1000.0	15999	39.23801	10.356913	72.31731	19.262941	39.2384	10.355671	71.66409	18.761366	-2.380679	1.8876331	12.9119215	-14.474613	-39.831024	4.0056868	546.0313956737518
5	1833.1113	80.104935	1935.5212	1648.2966	744.2355	475.64407	1338.8107	44.580208	744.2355	475.64407	1338.8107	44.580208	1833.1113	80.104935	1935.5212	1648.2966	1000.0	1000.0	19999	41.58526	11.547701	82.00656	19.815943	41.585377	11.547057	81.54941	20.197847	-2.3626726	1.8890132	13.481146	-13.365703	-42.176193	3.3535569	693.1053192615509
6	2266.898	82.46733	2380.423	2096.1943	760.2154	549.3359	1367.2228	-19.204187	760.2154	549.3359	1367.2228	-19.204187	2266.898	82.46733	2380.423	2096.1943	1000.0	1000.0	23999	48.183975	15.650484	99.379074	22.019848	48.18454	15.649377	101.57945	22.426273	-1.8174596	2.2295911	17.584053	-14.026787	-48.829773	4.1469765	841.6372017860413
7	2897.671	75.21208	3041.8162	2817.5125	2092.1003	170.66698	2342.975	1901.2693	2092.1003	170.66698	2342.975	1901.2693	2897.671	75.21208	3041.8162	2817.5125	1000.0	1000.0	27999	58.66511	21.731468	127.50197	23.574654	58.66512	21.731712	128.29308	23.939484	-1.1635052	2.6521087	18.48109	-14.056287	-59.371265	5.416682	993.0168752670288
8	3231.2837	65.38489	3331.6064	3145.7827	2537.2148	447.68555	3021.3303	1806.5293	2537.2148	447.68555	3021.3303	1806.5293	3231.2837	65.38489	3331.6064	3145.7827	1000.0	1000.0	31999	74.66662	29.038637	155.94528	24.925508	74.6667	29.038322	154.8089	25.272633	-0.49109513	2.9286306	17.799116	-16.50256	-75.40544	7.3479357	1144.3955285549164
9	3768.765	49.94721	3820.5977	3661.3416	2991.0923	222.2337	3273.2563	2719.926	2991.0923	222.2337	3273.2563	2719.926	3768.765	49.94721	3820.5977	3661.3416	1000.0	1000.0	35999	93.72463	36.998142	175.44138	25.463264	93.72449	36.99853	176.9006	25.675234	0.027974635	3.1708996	19.065851	-13.441914	-94.477066	9.223346	1296.2960991859436
10	3903.2847	87.992294	4046.2385	3694.1394	3228.1711	152.68303	3371.4756	2976.77	3228.1711	152.68303	3371.4756	2976.77	3903.2847	87.992294	4046.2385	3694.1394	1000.0	1000.0	39999	114.30925	44.376316	199.60086	25.080187	114.30897	44.37532	201.50092	24.37071	0.48896426	3.3411486	20.201664	-15.240459	-115.0451	10.558038	1451.1047141551971
