Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	507.1477	40.42017	570.43445	456.40057	-293.55295	44.228806	-249.69768	-366.10654	12.913953	38.036003	88.7674	-57.78862	-171.99307	70.348114	-98.30063	-283.00873	-465.54602	66.500114	-395.99182	-572.8343	520.06165	49.796703	576.204	441.1164	1000.0	1000.0	3999	10.2072935	5.6618733	38.054127	-0.06429258	10.207757	5.6622653	38.456573	0.22803842	-8.320857	1.8900146	10.426725	-18.202343	9.368256	1.091656	76.00339007377625
2	-514.3745	30.625586	-437.32944	-550.89154	-320.30838	27.438	-295.01224	-365.34583	-157.66068	18.173706	-132.75793	-196.97145	-175.2649	38.48719	-135.56064	-231.93869	-495.57327	22.696701	-463.54822	-526.9509	-672.0352	34.81486	-606.6427	-730.5189	1000.0	1000.0	7999	32.59945	9.052552	99.16298	5.1010413	32.59979	9.054792	98.1468	5.660431	-5.568025	3.5710988	27.488705	-19.1905	26.867792	4.024804	171.55036115646362
3	-88.2468	97.742935	66.14192	-197.25595	-575.8276	221.73143	-341.9264	-848.86475	-138.85889	65.46664	-39.17756	-220.57399	-152.05405	32.048836	-100.32369	-184.98169	-727.8816	246.23816	-474.05325	-1019.5798	-227.10568	154.77908	26.964363	-401.09958	1000.0	1000.0	11999	60.632084	10.033842	122.872696	28.745188	60.63195	10.03669	123.31618	29.22433	-3.5877035	4.5033474	29.012213	-20.005219	48.270275	7.675268	270.8537554740906
4	384.92877	54.387794	500.63583	302.6452	-647.4003	115.37951	-480.38403	-776.21747	-76.61619	33.788944	-12.141746	-136.70851	-173.01785	33.783318	-120.24089	-214.43396	-820.4182	106.13396	-658.99963	-954.9984	308.31256	86.39237	488.49408	165.93669	1000.0	1000.0	15999	69.23145	7.350544	118.69828	29.200064	69.23178	7.3507614	118.35199	32.247444	-7.522643	2.483079	15.29636	-17.632746	53.4778	7.1918592	373.1647357940674
5	594.04407	19.25285	628.19543	554.40045	-441.57077	21.443514	-412.10242	-470.9539	-8.712126	17.745882	20.670332	-41.100246	-178.23825	14.271385	-153.84804	-190.13904	-619.809	33.78332	-565.95044	-655.741	585.3319	30.512842	628.29785	513.3002	1000.0	1000.0	19999	68.01025	6.7370257	115.0894	7.3766327	68.01099	6.7384267	114.04987	10.659667	-8.223868	1.9468075	16.112116	-17.563133	52.75278	5.9990115	473.56014609336853
6	840.82635	2.3898106	846.33484	837.9619	-295.6726	41.887455	-243.15434	-359.46365	-33.1726	2.8092315	-28.776764	-37.955517	-145.46043	28.240486	-117.8476	-187.4264	-441.13306	27.270796	-403.55896	-477.31125	807.6538	3.5435798	815.3764	801.0191	1000.0	1000.0	23999	67.28699	6.061161	110.01101	0.99044836	67.287	6.064539	114.57312	1.1868386	-8.478355	1.700853	25.018452	-17.478456	52.203297	5.1447296	576.1167809963226
7	845.59784	16.71572	871.8266	818.2596	-254.1517	41.82027	-182.01083	-283.6329	30.398407	36.320377	108.6591	-8.190024	-148.3735	26.963205	-106.77831	-179.79929	-402.5252	28.583557	-361.81012	-434.77747	875.9962	29.4818	926.9187	824.5518	1000.0	1000.0	27999	67.84794	5.8108373	111.27923	0.99995595	67.84812	5.815028	112.83414	1.1968398	-8.539272	1.6107819	27.241879	-17.719822	52.794785	4.9504747	678.7414238452911
8	909.7416	26.071495	943.78516	848.7464	-167.82016	11.03657	-153.99704	-183.20229	-15.294989	22.118145	7.812713	-71.60359	-139.68187	10.780551	-128.94255	-156.34523	-307.502	19.832043	-282.9396	-328.7859	894.44666	47.430244	951.59784	777.1428	1000.0	1000.0	31999	69.5369	5.720294	112.39242	1.0773678	69.53701	5.7231946	114.2917	1.2734756	-8.490763	1.6683246	21.012815	-17.239365	53.950302	4.5586505	779.3919713497162
9	926.40594	23.897072	946.14087	868.5557	-162.2229	47.133114	-86.96254	-217.0007	-30.390152	38.566525	4.008975	-109.02355	-118.35811	20.390827	-84.01969	-137.58513	-280.58102	67.32592	-170.98224	-354.58582	896.0158	61.055794	948.092	759.53217	1000.0	1000.0	35999	72.45112	5.6100283	121.75282	1.2632259	72.45125	5.611087	125.08585	1.3602334	-8.454554	1.6831791	17.121902	-17.671276	55.26263	4.246299	879.5758066177368
10	923.9027	9.708792	943.7923	909.05194	-125.65279	20.569166	-104.52018	-157.95586	-12.728391	10.355428	-3.0501852	-40.053627	-137.99052	6.438464	-131.82463	-148.55061	-263.6433	20.608313	-238.49329	-289.7805	911.1743	18.14361	939.2063	868.9983	1000.0	1000.0	39999	75.89846	5.6252437	120.484955	8.183617	75.89874	5.6259007	125.698364	10.20108	-8.456405	1.674942	21.565659	-17.81266	56.954803	4.3612247	980.0293579101562
11	893.953	27.151455	968.25507	867.2469	-134.05444	25.257246	-107.15583	-166.57843	-21.567253	17.92638	11.704737	-51.563416	-140.91745	15.709795	-115.58403	-154.8172	-274.9719	38.811954	-227.40227	-321.39563	872.38586	40.786827	966.04285	815.6835	1000.0	1000.0	43999	79.40373	5.76812	127.959114	12.736258	79.40372	5.7687125	127.509224	13.616699	-8.478081	1.6513189	35.380257	-17.878643	57.647343	4.2166486	1081.056552886963
12	824.5731	44.73846	896.4996	788.8478	-129.73183	49.765594	-52.19527	-176.64662	-22.418934	17.081785	9.069859	-54.334415	-138.59082	5.2995567	-129.53062	-142.86432	-268.32266	47.513874	-192.66226	-311.28973	802.1541	59.656174	900.4186	736.59717	1000.0	1000.0	47999	82.77327	6.0102553	127.03741	17.60055	82.77357	6.0101485	128.76341	18.461233	-8.457354	1.6423501	15.008118	-17.035627	59.43165	4.2177176	1181.8247456550598
13	776.97473	44.46332	839.2112	687.47906	-97.77056	14.376453	-83.349915	-121.71549	58.157196	39.382713	166.95058	28.420364	-133.64629	4.5255766	-128.476	-139.52492	-231.41684	12.712305	-219.83438	-251.81525	835.13196	35.007275	876.82574	757.62427	1000.0	1000.0	51999	86.09051	6.3787646	131.17743	22.377745	86.09046	6.3801274	134.37895	19.992712	-8.472831	1.620553	23.144928	-18.248806	61.641525	4.198729	1282.2979743480682
