Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-373.26297	4.280127	-365.6691	-382.1331	-294.59402	58.900444	-195.22066	-346.11588	-60.755836	1.2357473	-58.38979	-62.18584	-312.92352	97.61744	-223.63474	-459.7514	-2501.1187	93.49241	-2371.7686	-2627.9556	-2021.5369	20.779833	-1996.7499	-2068.029	1000.0	1000.0	3999	-20.704136	16.828407	2.2984211	-42.66782	-19.85012	16.631582	0.4916622	-39.644394	-5.6498303	5.3741045	17.055214	-13.935405	-9.991294	15.703409	103.55556273460388
2	135.8827	4.9902115	142.90526	125.41084	-386.4953	36.704197	-350.02634	-444.0677	-57.21087	5.4288535	-47.513992	-66.4425	-320.646	37.510544	-262.5507	-364.2199	-2906.3538	158.82085	-2719.035	-3158.5496	-194.06998	15.168171	-170.40575	-218.76	1000.0	1000.0	7999	-56.090084	41.741776	2.4811797	-120.87259	-55.9712	41.59959	0.263062	-118.95422	-3.4438148	4.5761504	23.73037	-15.190453	-28.873735	32.50363	234.5738332271576
3	112.22565	37.34184	170.53062	54.42592	-417.6654	81.28396	-294.7379	-510.7327	-83.08513	4.1136093	-76.69023	-89.28741	-296.2948	107.96075	-132.20721	-433.0163	-2963.8096	162.53676	-2820.4656	-3238.082	-421.9261	46.3827	-357.72388	-490.76602	1000.0	1000.0	11999	-100.552	73.376595	-11.340976	-173.54053	-100.49	73.27307	-11.458258	-168.96445	-3.9027689	4.6425476	21.976124	-14.406224	-53.32592	50.58332	367.97430753707886
4	207.59897	39.11911	270.38718	158.61546	-365.2717	63.121742	-295.9919	-467.77344	-100.1988	7.1875935	-89.16881	-111.17875	-235.71724	42.22057	-172.99469	-275.02335	-2713.4214	461.07315	-2287.0303	-3490.5613	-285.8103	38.153557	-217.53102	-337.1919	1000.0	1000.0	15999	-163.51715	117.94165	-32.89908	-228.239	-163.49963	117.87867	-31.529282	-223.8079	-4.905623	4.7523193	27.520643	-16.226353	-88.247795	55.842476	502.8009104728699
5	169.10893	4.9101357	178.36653	160.21614	-194.71964	60.717197	-131.17226	-293.4961	-111.43498	1.5970745	-109.30862	-115.12458	-278.24103	15.200365	-262.2682	-301.85236	-2128.2976	261.39124	-1854.5607	-2547.5225	-250.58623	18.335327	-230.83815	-288.22675	1000.0	1000.0	19999	-235.28012	168.62424	-69.66388	-293.0805	-235.29568	168.59198	-69.33437	-286.48587	-4.507056	4.5794344	28.932907	-16.301456	-127.15715	65.570305	637.6237607002258
6	41.40667	9.462245	50.701603	17.050327	-135.52098	31.475657	-103.57075	-183.07483	-140.40842	3.485041	-133.82304	-144.47229	-215.08667	35.580902	-164.95831	-255.45702	-1740.8383	107.0602	-1661.6387	-1925.1798	-409.81195	61.86365	-355.61752	-545.1798	1000.0	1000.0	23999	-290.59924	207.63078	-97.08938	-338.5083	-290.6183	207.60696	-94.73518	-326.03705	-4.0301805	4.4256516	25.12706	-14.00705	-157.06523	69.846344	776.894588470459
7	19.197903	21.377104	48.442837	-14.26017	-170.72583	52.14005	-114.79637	-251.42398	-174.41348	3.0196576	-169.5223	-178.52151	-192.34909	25.970137	-164.53786	-233.01178	-1803.5514	239.67497	-1519.6862	-2122.364	-504.98544	33.409546	-459.27002	-553.63074	1000.0	1000.0	27999	-332.64325	237.21994	-118.911194	-363.03094	-332.66742	237.20404	-116.40191	-353.24765	-3.6786966	4.374011	24.111319	-13.928987	-179.74815	71.45531	913.688375711441
8	-92.67009	25.805527	-41.1246	-129.8833	-144.1601	22.501377	-116.786385	-179.04285	-174.56264	4.15053	-165.12259	-180.05356	-177.07841	59.354805	-89.18071	-256.15884	-1665.7471	83.18321	-1554.8937	-1778.795	-901.7673	94.99518	-733.36127	-1073.9417	1000.0	1000.0	31999	-365.75665	260.58554	-130.74744	-376.61276	-365.78104	260.57468	-132.80809	-369.82227	-3.5174854	4.33709	39.87837	-15.127658	-197.64961	69.36309	1049.3659596443176
9	-166.54199	26.527075	-129.58745	-218.24307	-98.76603	31.176834	-45.340496	-120.5863	-187.11166	3.1191115	-183.24762	-193.77513	-193.84097	30.52037	-144.74178	-222.46826	-1482.0272	63.335854	-1382.2637	-1554.3895	-1218.0157	127.93769	-1048.4226	-1464.0867	1000.0	1000.0	35999	-390.63876	278.13184	-135.36414	-386.37888	-390.6598	278.12244	-136.25908	-379.8749	-3.3672445	4.316706	46.573418	-16.358013	-211.06104	67.1945	1185.1558811664581
10	-131.29814	24.890549	-74.5304	-167.68265	-103.70383	11.128288	-85.51399	-113.77926	-215.40137	3.211616	-210.60106	-219.98218	-184.61449	28.21497	-140.60406	-217.27882	-1487.0522	95.4616	-1415.3141	-1648.5531	-1065.7053	96.950325	-860.5371	-1205.9478	1000.0	1000.0	39999	-406.78076	289.4201	-143.8616	-389.7802	-406.79993	289.41324	-143.30678	-384.4329	-3.2476737	4.323576	34.59479	-15.488294	-219.74002	61.80544	1360.7130634784698
11	-156.78116	21.775753	-132.68742	-212.16234	-95.5669	7.8266735	-85.7428	-106.475334	-184.0009	8.120768	-173.74997	-197.15079	-192.26387	31.121895	-149.34357	-228.93002	-1460.8395	32.881702	-1425.6865	-1514.1228	-1181.4299	119.082016	-1048.666	-1477.5105	1000.0	1000.0	43999	-416.21365	295.96384	-149.52083	-390.36386	-416.22977	295.95868	-150.08386	-384.6042	-3.1664872	4.2967796	19.437641	-14.136948	-224.79413	55.70221	1550.0772337913513
12	-215.65909	10.637781	-203.03897	-239.87996	-114.455185	30.425854	-77.33951	-156.99504	-216.8857	3.180949	-212.63158	-222.29568	-185.08817	26.794384	-151.483	-226.45389	-1566.995	102.05398	-1477.66	-1740.379	-1478.1028	57.320644	-1420.0809	-1609.5656	1000.0	1000.0	47999	-422.0274	299.98538	-152.49893	-387.38382	-422.04257	299.98163	-152.53049	-383.78763	-3.160597	4.2948694	26.401844	-14.528374	-227.91469	50.5968	1744.8829073905945
13	-167.39764	10.093507	-153.88216	-186.9861	-66.67488	37.068024	-23.325493	-104.9681	-208.85916	2.9970067	-205.06786	-212.32654	-180.84299	22.517178	-144.82681	-202.52017	-1391.9952	67.2089	-1322.662	-1470.2559	-1216.0187	34.14711	-1168.0948	-1284.6981	1000.0	1000.0	51999	-425.14795	302.231	-155.58727	-383.64325	-425.16064	302.22745	-156.50638	-382.994	-3.1279466	4.307435	20.34112	-16.746845	-229.55122	47.02372	1940.6610617637634
14	-122.45766	15.385767	-84.36151	-141.39761	-83.687386	19.921625	-60.975464	-104.15113	-182.47662	4.605033	-174.75897	-190.21097	-178.8008	52.51916	-117.17571	-261.05365	-1385.4989	56.78449	-1301.5377	-1460.9036	-964.3215	74.4725	-784.65717	-1030.3916	1000.0	1000.0	55999	-424.51025	301.77054	-156.26515	-381.6959	-424.5229	301.7685	-160.39262	-380.99484	-3.1775346	4.2488837	20.037186	-15.093145	-229.16682	42.504063	2141.4304955005646
15	-59.629112	10.349302	-35.291832	-74.181595	-87.19544	22.352453	-60.938133	-116.01917	-147.73103	2.6752617	-143.27388	-150.99495	-171.44019	26.300875	-126.050064	-189.54265	-1365.685	39.608894	-1298.662	-1400.6488	-625.94464	38.934486	-532.6564	-688.17346	1000.0	1000.0	59999	-420.84952	299.1812	-156.33707	-377.95834	-420.85907	299.17825	-159.91624	-378.83868	-3.181478	4.215147	18.656391	-14.240876	-227.1354	38.216454	2346.111043214798
16	-108.94362	7.370961	-99.88085	-125.522156	-75.07093	23.467443	-38.717796	-99.67203	-169.56548	3.583414	-164.80168	-177.69818	-185.48083	20.284498	-158.10895	-213.90996	-1391.5343	82.06281	-1283.3171	-1471.1431	-872.01807	37.39481	-817.12024	-954.7298	1000.0	1000.0	63999	-415.6121	295.48987	-157.0349	-372.48984	-415.62323	295.48853	-159.2641	-371.30298	-3.215628	4.2282314	20.211607	-16.972618	-224.27669	34.926743	2539.3223321437836
