Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	5195.3857	80.05516	5310.4536	5084.3574	5724.629	485.01575	6022.5566	4291.5703	1000.0	1000.0	83999	303.25195	91.4001	416.89127	-9.519953	303.2518	91.40026	417.41678	2.8709755	2.1868415	4.043749	48.31905	-13.440097	-303.47137	21.645222	1672.0512132644653
22	4062.0352	2065.1165	5412.3213	490.85062	4995.7915	869.46326	5496.2295	2418.144	1000.0	1000.0	87999	302.47525	93.97241	425.16086	-36.333336	302.4742	93.97171	423.88086	-36.20251	2.1477046	4.1592603	32.707798	-14.493413	-302.7496	22.37538	1771.9498522281647
23	4821.444	739.90045	5563.2793	3629.0916	5306.8896	485.58932	5761.6753	3946.7595	1000.0	1000.0	91999	305.35205	100.413055	436.25162	-31.410746	305.351	100.41338	434.01855	-36.01966	2.272173	4.205644	31.324177	-13.344779	-305.66006	23.755808	1871.4741406440735
24	5249.1416	169.30888	5395.793	4968.4927	5590.6675	217.49236	5928.497	5177.634	1000.0	1000.0	95999	310.30804	106.281	445.984	-70.363846	310.3081	106.28113	446.77722	-55.86083	2.294574	4.2313185	29.71502	-13.200245	-310.60184	24.94421	1969.9126133918762
25	5369.2515	109.68776	5496.789	5218.664	5777.2295	167.04279	6076.756	5528.7554	1000.0	1000.0	99999	316.5706	110.594	452.549	-54.181442	316.56973	110.5937	451.97058	-45.007748	2.356242	4.2113304	38.082504	-15.632255	-316.85706	25.651121	2066.4637308120728
26	5572.735	85.6998	5717.881	5495.1514	6481.678	138.35449	6682.6357	6236.8413	1000.0	1000.0	103999	322.8259	114.70518	465.29147	-73.13633	322.82516	114.70488	465.63016	-79.6064	2.3933666	4.2371845	41.443916	-13.919662	-323.0625	24.972383	2163.9538831710815
27	5547.6953	97.8855	5685.799	5409.0884	6270.582	125.66813	6396.14	5966.3604	1000.0	1000.0	107999	329.4829	118.01483	475.41898	-49.480835	329.48245	118.01487	476.03857	-42.665573	2.490546	4.273844	53.664753	-13.763668	-329.7162	25.601238	2262.557330608368
28	5721.5728	176.49301	5941.636	5453.1655	6368.798	90.65673	6602.367	6257.866	1000.0	1000.0	111999	337.06757	120.70576	478.73364	-47.914776	337.06677	120.705734	479.5447	-41.02067	2.6926827	4.320908	45.598736	-13.521583	-337.292	26.178888	2358.9263253211975
29	5932.6655	138.41661	6134.4756	5774.7866	6515.3545	114.349106	6729.462	6354.5703	1000.0	1000.0	115999	344.41675	123.729416	485.71152	-57.73351	344.41644	123.72898	489.71307	-38.990772	2.7227902	4.301753	45.3974	-13.953204	-344.60193	26.085394	2457.138659477234
30	6109.2974	81.934166	6250.4805	6048.979	6597.0127	78.02362	6702.5557	6442.0054	1000.0	1000.0	119999	351.5077	126.84124	497.3902	-89.23911	351.50717	126.84007	497.44995	-53.887505	2.8524497	4.367577	50.371136	-13.365604	-351.70105	26.365805	2563.7084877490997
31	6128.1304	165.01552	6302.1343	5869.4434	6763.4844	79.22524	6894.158	6605.3	1000.0	1000.0	123999	359.22433	130.08672	503.10587	-23.927652	359.2236	130.08696	505.07898	-26.953789	3.041382	4.3666596	49.599224	-13.021276	-359.4395	27.436506	2685.6196496486664
32	6003.751	164.82016	6239.3906	5778.3335	6828.5713	86.21496	6961.703	6674.7637	1000.0	1000.0	127999	368.16983	132.25519	516.681	-32.714268	368.16956	132.25356	515.6588	-9.355222	3.154296	4.4118605	48.278076	-14.778851	-368.3543	28.886974	2806.736844062805
33	6394.331	126.03108	6577.4614	6253.9146	6823.362	133.83578	7074.623	6610.1953	1000.0	1000.0	131999	376.33972	133.98077	527.89166	-32.13314	376.33917	133.97972	527.54663	-26.504217	3.2529821	4.368654	64.09105	-13.806242	-376.50952	29.005943	2928.0113995075226
