Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-201.95583	12.500537	-178.83447	-228.33537	-349.50876	79.22105	-252.78416	-468.9826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-349.50876	79.22105	-252.78416	-468.9826	-201.95583	12.500537	-178.83447	-228.33537	1000.0	1000.0	3999	10.497659	6.230575	35.613857	-8.108935	10.49863	6.228963	36.659473	-8.274651	-8.2784195	2.073519	18.88416	-17.734112	3392.5212	1.1748412	221.84795141220093
2	-123.743385	8.128369	-114.41162	-140.2271	-325.92706	29.493315	-295.95377	-365.14862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-325.92706	29.493315	-295.95377	-365.14862	-123.743385	8.128369	-114.41162	-140.2271	1000.0	1000.0	7999	34.580727	8.491577	70.428116	-3.4620295	34.579746	8.49227	69.88295	-3.6955435	-6.5595956	2.7279177	18.685675	-19.590405	9975.954	2.8686843	508.0010402202606
3	696.435	35.141262	740.72375	647.87146	-298.27884	72.17163	-213.8842	-412.47095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-298.27884	72.17163	-213.8842	-412.47095	696.435	35.141262	740.72375	647.87146	1000.0	1000.0	11999	57.21236	6.439452	90.946724	19.478956	57.211803	6.4406004	90.67861	19.460297	-7.3095117	2.4006462	18.328861	-18.768223	16031.468	3.7147481	873.3948171138763
4	873.8594	2.1912766	876.4934	868.83307	-95.97922	27.67525	-59.661392	-132.7929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-95.97922	27.67525	-59.661392	-132.7929	873.8594	2.1912766	876.4934	868.83307	1000.0	1000.0	15999	69.979004	4.6192813	99.079636	36.867496	69.97862	4.6227283	98.28282	35.80399	-8.354095	1.6212777	10.212407	-17.125216	19403.732	3.5704565	1323.3667783737183
5	923.34686	4.5150466	932.3283	919.1353	40.62442	89.60616	191.91748	-38.335808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.62442	89.60616	191.91748	-38.335808	923.34686	4.5150466	932.3283	919.1353	1000.0	1000.0	19999	79.26853	4.308534	108.423904	49.649868	79.26821	4.3096347	107.966286	48.089928	-8.366177	1.5142642	18.437838	-18.247087	21971.828	3.3015954	1636.6346080303192
6	968.5448	7.4056544	981.2249	957.68896	114.11131	24.246237	148.83633	83.07749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.11131	24.246237	148.83633	83.07749	968.5448	7.4056544	981.2249	957.68896	1000.0	1000.0	23999	88.34434	4.166526	117.23788	56.59009	88.34439	4.1638703	117.67337	54.812744	-8.243127	1.5274781	15.118582	-18.916254	24442.287	3.2708173	1928.4866008758545
7	906.01337	19.434738	926.96405	870.4008	151.18437	50.439953	221.94716	95.198616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.18437	50.439953	221.94716	95.198616	906.01337	19.434738	926.96405	870.4008	1000.0	1000.0	27999	96.66159	4.019964	129.32698	61.738117	96.66134	4.0146585	128.5112	60.269295	-8.173916	1.539651	13.180029	-20.350658	26667.258	3.1799614	2251.5626509189606
8	904.9618	11.761744	926.8694	889.7329	185.75438	52.257107	237.2938	109.20624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.75438	52.257107	237.2938	109.20624	904.9618	11.761744	926.8694	889.7329	1000.0	1000.0	31999	104.30996	4.039685	134.2768	63.188335	104.3099	4.0368953	132.79794	60.101883	-8.120395	1.5558217	15.125632	-19.033035	28753.348	3.2949142	2686.949006319046
9	898.0456	16.959492	917.2497	867.8002	202.4415	69.86627	316.55777	128.16966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.4415	69.86627	316.55777	128.16966	898.0456	16.959492	917.2497	867.8002	1000.0	1000.0	35999	111.12163	4.313301	143.22104	68.72035	111.12149	4.3111296	141.69038	66.57894	-8.034643	1.5523112	10.440048	-18.075974	30589.34	3.561934	3006.559137582779
10	804.1164	100.127426	993.4472	705.5275	231.8377	19.755486	247.78012	199.10013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	231.8377	19.755486	247.78012	199.10013	804.1164	100.127426	993.4472	705.5275	1000.0	1000.0	39999	117.22995	4.7770224	146.87564	71.49064	117.22975	4.776706	145.90802	59.479122	-7.964122	1.6065543	11.132379	-18.40836	32174.164	3.8331127	3299.8846683502197
11	927.9876	42.73686	995.0517	871.50446	238.35403	40.29914	296.43076	194.19742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.35403	40.29914	296.43076	194.19742	927.9876	42.73686	995.0517	871.50446	1000.0	1000.0	43999	122.61326	5.2991576	153.28194	73.75918	122.61312	5.2976933	151.43924	70.28754	-7.911099	1.6426331	18.688965	-19.285416	33528.832	4.0570107	3592.2646963596344
12	895.74963	34.61829	988.2077	863.6086	202.15718	44.720356	265.55484	141.11469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.15718	44.720356	265.55484	141.11469	895.74963	34.61829	988.2077	863.6086	1000.0	1000.0	47999	127.31102	6.135297	157.03609	72.657234	127.31095	6.133546	156.2403	65.96957	-7.8916616	1.694705	18.647741	-21.948269	34731.527	3.9568844	3884.3678567409515
13	736.8052	47.326794	827.23926	681.8194	175.17432	122.68152	279.7496	-33.379692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.17432	122.68152	279.7496	-33.379692	736.8052	47.326794	827.23926	681.8194	1000.0	1000.0	51999	131.0489	7.3788347	160.68425	76.1238	131.04881	7.378066	159.42293	75.10831	-7.8873115	1.6704823	15.253906	-19.593708	35743.21	4.0839815	4235.108814001083
14	931.44836	47.049774	1000.5822	835.9787	270.58685	38.26627	332.8114	235.70926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.58685	38.26627	332.8114	235.70926	931.44836	47.049774	1000.5822	835.9787	1000.0	1000.0	55999	134.47601	8.653135	163.0727	72.77306	134.47607	8.651089	161.86638	72.52709	-7.890691	1.6454992	14.671373	-18.091328	36781.504	4.1899304	4616.014956951141
15	984.8696	119.53003	1165.1691	705.1835	279.68472	17.377783	298.82394	253.09927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.68472	17.377783	298.82394	253.09927	984.8696	119.53003	1165.1691	705.1835	1000.0	1000.0	59999	137.82481	9.450335	165.00009	80.45834	137.8248	9.448126	164.04948	77.546135	-7.908282	1.6124641	16.882122	-20.636156	37606.566	4.035715	5015.325580358505
16	855.08905	84.091064	984.8187	758.9145	282.37775	25.55245	313.6848	256.53946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	282.37775	25.55245	313.6848	256.53946	855.08905	84.091064	984.8187	758.9145	1000.0	1000.0	63999	141.0274	9.962661	164.10689	76.05943	141.0275	9.960481	165.52919	80.350655	-7.897405	1.5818726	19.535675	-18.590899	38326.684	3.8287344	5326.808294534683
17	908.20966	155.58554	1072.7689	529.21313	321.692	50.269527	398.9605	260.3946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321.692	50.269527	398.9605	260.3946	908.20966	155.58554	1072.7689	529.21313	1000.0	1000.0	67999	143.90778	10.314827	169.25874	80.48977	143.90797	10.313076	169.9859	74.47496	-7.8865533	1.5895302	16.945292	-21.03862	39065.32	3.7375865	5623.039457082748
18	923.098	120.27226	1018.7195	723.5833	290.17328	53.64318	370.7022	229.75314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.17328	53.64318	370.7022	229.75314	923.098	120.27226	1018.7195	723.5833	1000.0	1000.0	71999	146.58447	10.548047	175.48369	89.44706	146.58447	10.5469885	172.72629	84.61255	-7.8985963	1.569615	20.49287	-20.912207	39818.605	3.7027578	5969.1195340156555
19	1006.6468	42.032215	1045.6239	899.17615	296.93152	24.516327	330.5458	262.1351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	296.93152	24.516327	330.5458	262.1351	1006.6468	42.032215	1045.6239	899.17615	1000.0	1000.0	75999	148.96211	10.64282	176.74977	90.658936	148.9623	10.640897	175.9065	89.55295	-7.8911614	1.5363967	15.262137	-19.372963	40332.617	3.5866003	6347.55517911911
20	929.31604	158.22472	1141.8424	618.93744	306.25485	46.964363	385.63647	266.47153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	306.25485	46.964363	385.63647	266.47153	929.31604	158.22472	1141.8424	618.93744	1000.0	1000.0	79999	150.96477	10.652872	175.69543	90.21115	150.96474	10.6525755	173.45792	87.51435	-7.901026	1.5289389	11.764032	-22.248589	40848.52	3.5483227	6737.694562673569
21	909.96466	148.20383	1034.1989	599.86804	308.01874	34.050568	357.3663	261.20444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	308.01874	34.050568	357.3663	261.20444	909.96466	148.20383	1034.1989	599.86804	1000.0	1000.0	83999	152.90578	10.541749	181.65105	87.41962	152.90588	10.540474	178.85928	87.751495	-7.87054	1.5679389	11.164862	-19.503948	41047.246	3.5237749	7101.252922296524
22	1011.6161	36.66545	1071.9637	948.0695	315.38074	42.186897	385.8081	279.52637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	315.38074	42.186897	385.8081	279.52637	1011.6161	36.66545	1071.9637	948.0695	1000.0	1000.0	87999	154.68542	10.225788	181.64319	95.23764	154.68553	10.225414	180.14381	96.65916	-7.8851786	1.5802484	17.550808	-18.922482	41419.8	3.604521	7447.261914730072
