Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-163.72037	12.243385	-133.27345	-176.7227	-302.27216	58.46644	-213.64996	-359.36203	-302.27216	58.46644	-213.64996	-359.36203	-163.72037	12.243385	-133.27345	-176.7227	1000.0	1000.0	3999	3.065816	3.2226124	21.501684	-6.018117	3.09266	3.1781938	21.462881	-1.0462266	-3.285412	1.3763278	10.295766	-11.21475	1.51035	1.1240933	124.15205192565918
2	-36.083	15.433549	-18.322113	-64.935974	-271.10522	47.778065	-215.56448	-332.09344	-271.10522	47.778065	-215.56448	-332.09344	-36.083	15.433549	-18.322113	-64.935974	1000.0	1000.0	7999	11.35308	7.603889	44.20126	-5.1820235	11.346114	7.610833	45.35088	-0.9371335	-1.4087992	2.8193526	18.450436	-13.774308	4.806406	3.9360726	287.12628054618835
3	112.61617	109.89973	386.47192	-5.980674	-214.27203	43.564884	-143.19078	-249.9211	-214.27203	43.564884	-143.19078	-249.9211	112.61617	109.89973	386.47192	-5.980674	1000.0	1000.0	11999	26.323603	11.879109	73.32423	0.61745375	26.323423	11.877552	77.544334	1.6433046	-0.6604299	3.4379916	22.286877	-12.942589	10.589624	6.3033986	450.33109498023987
4	686.69147	273.10992	1086.3414	92.94545	5.2909603	145.8467	178.86627	-172.11304	5.2909603	145.8467	178.86627	-172.11304	686.69147	273.10992	1086.3414	92.94545	1000.0	1000.0	15999	30.078558	13.692911	75.26729	6.090516	30.077898	13.692108	75.587906	6.967436	-2.5699627	2.2226336	11.709139	-11.872582	11.809565	3.6740556	616.1321926116943
5	1044.7228	191.76408	1372.142	766.6822	-7.2510557	99.209435	121.97138	-144.22691	-7.2510557	99.209435	121.97138	-144.22691	1044.7228	191.76408	1372.142	766.6822	1000.0	1000.0	19999	31.743202	13.894057	79.85071	11.68993	31.74283	13.893174	80.55615	11.899076	-2.7807887	2.1352184	15.006094	-12.124643	12.407203	3.2477217	783.3386173248291
6	1728.2025	109.95122	1907.7828	1561.3542	722.7555	280.4253	1017.9716	270.4468	722.7555	280.4253	1017.9716	270.4468	1728.2025	109.95122	1907.7828	1561.3542	1000.0	1000.0	23999	36.514534	15.012678	86.355576	15.621116	36.51423	15.012065	86.22385	15.752474	-2.778749	2.1066236	15.171089	-12.326928	14.329433	3.827587	949.2510960102081
7	2009.1155	80.53565	2173.1084	1877.525	947.86646	620.94104	1539.8417	-94.51317	947.86646	620.94104	1539.8417	-94.51317	2009.1155	80.53565	2173.1084	1877.525	1000.0	1000.0	27999	42.959427	17.087282	98.83754	19.07508	42.959484	17.087332	98.40625	18.780128	-2.4423685	2.3675666	15.7370205	-13.930986	16.462868	4.689631	1115.4580519199371
8	2152.0059	83.30107	2276.1475	2034.0758	1255.2646	390.70694	1568.4175	585.2956	1255.2646	390.70694	1568.4175	585.2956	2152.0059	83.30107	2276.1475	2034.0758	1000.0	1000.0	31999	51.10638	20.618721	112.28438	21.85521	51.10627	20.61872	110.874794	22.168901	-2.1095252	2.6079981	18.227047	-14.878356	19.315247	6.333361	1281.7152972221375
9	2451.9604	80.06283	2568.438	2329.1887	1673.3374	508.80084	2055.441	804.1853	1673.3374	508.80084	2055.441	804.1853	2451.9604	80.06283	2568.438	2329.1887	1000.0	1000.0	35999	61.14141	25.022766	133.32709	25.15779	61.14102	25.022406	132.78032	24.731813	-1.5953375	2.917664	18.759417	-14.279522	22.7769	7.9976926	1446.9143443107605
10	2380.446	924.3566	2867.4092	-379.11774	2137.016	84.333374	2239.9614	2005.7714	2137.016	84.333374	2239.9614	2005.7714	2380.446	924.3566	2867.4092	-379.11774	1000.0	1000.0	39999	71.86732	30.455078	152.13606	27.10564	71.866806	30.45419	150.64764	26.551268	-1.2441632	3.1675692	17.782345	-14.004326	26.359966	9.966012	1612.7491269111633
11	2648.11	999.54376	3278.054	-305.20535	2246.225	251.90382	2578.2046	1869.3159	2246.225	251.90382	2578.2046	1869.3159	2648.11	999.54376	3278.054	-305.20535	1000.0	1000.0	43999	83.98185	35.847424	175.66316	28.56968	83.98145	35.84512	179.55988	28.709986	-0.9622611	3.2961476	21.11391	-14.628321	30.34075	12.4875765	1779.9884045124054
12	2918.0308	87.20649	3053.3684	2789.185	2414.6733	289.39255	2695.56	1935.1305	2414.6733	289.39255	2695.56	1935.1305	2918.0308	87.20649	3053.3684	2789.185	1000.0	1000.0	47999	95.32391	40.82098	190.34293	27.819866	95.32411	40.81526	189.66278	27.846949	-0.7319299	3.404141	18.79203	-15.1086035	34.393738	14.926843	1950.5125215053558
13	3354.709	82.63662	3486.8547	3235.9612	2621.6387	117.1021	2810.5498	2497.1426	2621.6387	117.1021	2810.5498	2497.1426	3354.709	82.63662	3486.8547	3235.9612	1000.0	1000.0	51999	107.42601	45.83249	201.67159	28.958338	107.42645	45.8263	201.64124	24.879179	-0.46856672	3.490371	18.894154	-15.340305	38.467846	16.224497	2122.4147565364838
14	3571.3403	146.85815	3795.5842	3233.2896	2936.037	93.58849	3078.6409	2832.4583	2936.037	93.58849	3078.6409	2832.4583	3571.3403	146.85815	3795.5842	3233.2896	1000.0	1000.0	55999	119.85093	50.53496	214.37402	29.175102	119.85128	50.528877	212.3327	24.16032	-0.3299607	3.5332632	21.61096	-12.130619	42.890297	17.010756	2296.0705399513245
15	3863.8296	104.63216	4048.0085	3652.294	3058.0386	32.081665	3095.8342	3021.3599	3058.0386	32.081665	3095.8342	3021.3599	3863.8296	104.63216	4048.0085	3652.294	1000.0	1000.0	59999	131.86598	54.941067	225.17555	29.875587	131.86601	54.935806	225.36699	30.196268	-0.18905358	3.6063576	22.070112	-14.806179	47.38093	18.732887	2480.9074442386627
16	3783.3223	112.30995	3984.9453	3642.81	3197.7522	110.25169	3363.3567	3067.2847	3197.7522	110.25169	3363.3567	3067.2847	3783.3223	112.30995	3984.9453	3642.81	1000.0	1000.0	63999	143.75063	58.883503	245.20139	29.803612	143.75089	58.87834	241.93867	30.084017	-0.0032227305	3.6345155	21.940004	-13.785283	51.670788	20.446423	2696.6271550655365
17	3859.6406	117.29944	4111.216	3692.5225	3008.9067	381.10272	3331.3328	2398.4636	3008.9067	381.10272	3331.3328	2398.4636	3859.6406	117.29944	4111.216	3692.5225	1000.0	1000.0	67999	154.43752	62.469677	257.6932	29.281721	154.43787	62.46478	257.25638	29.52995	0.11202623	3.751596	19.147327	-13.828808	56.360344	22.449919	2931.3418827056885
18	3416.6108	1230.1864	4124.5264	399.08878	3458.1377	161.27754	3577.5125	3180.4436	3458.1377	161.27754	3577.5125	3180.4436	3416.6108	1230.1864	4124.5264	399.08878	1000.0	1000.0	71999	164.29314	65.87863	275.0558	28.421484	164.29391	65.87401	274.64465	28.73237	0.21820475	3.8445635	22.626429	-14.436773	60.218132	24.360691	3192.2934863567352
19	4046.888	120.47104	4234.203	3889.1492	3446.6606	149.71277	3696.552	3318.72	3446.6606	149.71277	3696.552	3318.72	4046.888	120.47104	4234.203	3889.1492	1000.0	1000.0	75999	173.95097	68.79577	282.8006	28.134909	173.95114	68.79144	283.03745	28.69407	0.35458758	3.91807	33.687313	-12.834386	63.43528	25.969254	3473.549557685852
20	4013.0122	716.887	4376.077	1871.5542	3709.5212	67.496895	3809.7188	3643.6355	3709.5212	67.496895	3809.7188	3643.6355	4013.0122	716.887	4376.077	1871.5542	1000.0	1000.0	79999	183.19579	71.368546	291.9101	27.272205	183.19548	71.36446	292.27603	27.733702	0.56528056	4.0108433	26.007572	-12.857672	67.257835	28.165634	3757.519952058792
21	4318.354	158.16135	4537.581	4043.352	3228.4688	1050.0559	4060.1902	1433.202	3228.4688	1050.0559	4060.1902	1433.202	4318.354	158.16135	4537.581	4043.352	1000.0	1000.0	83999	191.5733	74.01741	304.72278	26.966494	191.57372	74.014336	300.50006	27.081573	0.7315154	4.108988	27.722843	-13.464342	69.10314	30.486393	3963.89155960083
22	4521.0986	144.52203	4777.0674	4295.5063	3774.8928	93.79603	3894.1553	3664.8098	3774.8928	93.79603	3894.1553	3664.8098	4521.0986	144.52203	4777.0674	4295.5063	1000.0	1000.0	87999	198.94637	77.28546	312.46094	26.071985	198.94595	77.282265	313.1607	26.831568	0.7473585	4.1087813	35.45947	-13.360646	72.00101	31.330973	4169.100845575333
23	4287.1436	325.94135	4675.824	3425.204	4146.5444	214.36328	4366.987	3931.2217	4146.5444	214.36328	4366.987	3931.2217	4287.1436	325.94135	4675.824	3425.204	1000.0	1000.0	91999	207.8783	79.35555	326.9271	25.81591	207.8789	79.35163	325.6048	25.973625	1.0071125	4.1712446	22.58417	-13.295556	73.91638	33.1711	4372.726623296738
24	4517.9307	146.20049	4770.585	4287.0215	3332.4563	1556.4924	4304.865	638.50507	3332.4563	1556.4924	4304.865	638.50507	4517.9307	146.20049	4770.585	4287.0215	1000.0	1000.0	95999	217.0535	82.132126	333.27112	24.965572	217.05434	82.128075	337.9425	25.298912	1.1380525	4.213834	24.201153	-13.67384	76.46797	33.48018	4577.7691440582275
25	4640.275	61.229397	4742.285	4555.095	4205.867	92.93227	4283.63	4047.0745	4205.867	92.93227	4283.63	4047.0745	4640.275	61.229397	4742.285	4555.095	1000.0	1000.0	99999	223.99472	85.90247	343.96698	23.557074	223.99442	85.900604	344.0921	24.164482	1.1160736	4.3037186	31.731907	-13.349766	80.2475	36.19203	4825.013131856918
26	4978.675	108.478165	5106.7847	4787.1	4374.3784	150.61328	4564.6567	4142.7417	4374.3784	150.61328	4564.6567	4142.7417	4978.675	108.478165	5106.7847	4787.1	1000.0	1000.0	103999	231.89124	87.68211	356.6034	24.086336	231.89136	87.67837	358.10034	23.728466	1.2522753	4.2739244	24.255167	-13.026069	83.02181	38.17883	5069.153246164322
27	5018.4233	120.29483	5212.0176	4759.11	4576.936	157.30356	4743.3467	4385.0	4576.936	157.30356	4743.3467	4385.0	5018.4233	120.29483	5212.0176	4759.11	1000.0	1000.0	107999	240.15569	89.69243	365.72787	23.285627	240.15608	89.68916	365.64883	22.919388	1.4440731	4.2949076	36.05637	-12.3636	85.1358	38.291992	5326.381074428558
28	4750.459	1193.0018	5403.2227	1197.6619	4167.6616	892.18616	4745.1323	2626.904	4167.6616	892.18616	4745.1323	2626.904	4750.459	1193.0018	5403.2227	1197.6619	1000.0	1000.0	111999	248.6558	92.11334	376.66595	6.7982655	248.65466	92.1116	376.82053	6.219363	1.5393301	4.2836437	31.913372	-14.00054	82.80212	38.05649	5587.181906938553
29	5161.6533	586.5916	5477.719	3431.154	4713.1274	45.042133	4759.25	4657.756	4713.1274	45.042133	4759.25	4657.756	5161.6533	586.5916	5477.719	3431.154	1000.0	1000.0	115999	257.57047	94.537254	394.52924	6.535338	257.5704	94.53448	394.13376	5.55665	1.5896741	4.337567	41.720848	-13.373901	87.11825	40.526634	5848.800621509552
30	5521.5615	112.70756	5641.7793	5204.3276	4892.8857	146.92673	5140.1533	4767.66	4892.8857	146.92673	5140.1533	4767.66	5521.5615	112.70756	5641.7793	5204.3276	1000.0	1000.0	119999	265.183	96.52842	398.2392	7.7811513	265.183	96.52528	399.54022	4.94358	1.7229133	4.311827	36.939903	-17.055819	82.63022	39.779743	6112.590848445892
31	5409.77	75.01096	5531.061	5297.0547	4986.948	119.274635	5117.219	4792.5254	4986.948	119.274635	5117.219	4792.5254	5409.77	75.01096	5531.061	5297.0547	1000.0	1000.0	123999	273.803	98.531685	407.8255	8.807493	273.80325	98.52786	406.9033	7.454529	1.7580595	4.3700705	32.40536	-16.010162	89.00687	41.24322	6385.390456914902
32	5675.9194	136.9418	5928.955	5453.653	4550.9595	901.06213	5098.4907	2990.7124	4550.9595	901.06213	5098.4907	2990.7124	5675.9194	136.9418	5928.955	5453.653	1000.0	1000.0	127999	281.12613	100.77161	415.6301	7.8584976	281.12692	100.76801	416.4122	4.588442	1.9170374	4.390265	37.90059	-14.029752	90.76537	43.291958	6627.129192829132
33	5289.1533	1550.531	5979.79	646.8373	4990.6987	582.044	5417.717	4004.048	4990.6987	582.044	5417.717	4004.048	5289.1533	1550.531	5979.79	646.8373	1000.0	1000.0	131999	288.2362	102.37567	424.15964	7.550564	288.236	102.37249	423.3488	5.970993	1.8897083	4.4021487	40.639637	-15.142427	89.742035	45.541973	6851.834981441498
34	5972.9043	113.295334	6138.316	5752.5312	5262.648	90.924164	5398.5107	5149.3115	5262.648	90.924164	5398.5107	5149.3115	5972.9043	113.295334	6138.316	5752.5312	1000.0	1000.0	135999	295.06018	104.17624	431.31015	9.584171	295.06116	104.170296	431.34445	7.5929685	2.0386586	4.429077	43.33909	-12.962351	91.856064	47.234436	7059.421898603439
35	5952.7188	98.73781	6117.4565	5805.6465	5304.6387	178.84848	5574.053	5120.8975	5304.6387	178.84848	5574.053	5120.8975	5952.7188	98.73781	6117.4565	5805.6465	1000.0	1000.0	139999	302.0346	105.15786	435.66095	8.039539	302.03513	105.154015	436.2124	7.9010673	2.0260546	4.4084144	32.17846	-15.011249	95.64791	47.79536	7323.381618738174
36	6023.356	86.67284	6101.718	5871.954	5173.36	120.39471	5317.736	5037.6724	5173.36	120.39471	5317.736	5037.6724	6023.356	86.67284	6101.718	5871.954	1000.0	1000.0	143999	307.85123	106.02505	447.7529	7.2654023	307.85095	106.02059	449.93884	4.944104	2.1342297	4.4977384	35.37786	-13.489219	97.028404	50.36486	7612.589373826981
37	6078.1196	115.983536	6266.71	5906.185	5308.878	75.065346	5401.171	5219.6104	5308.878	75.065346	5401.171	5219.6104	6078.1196	115.983536	6266.71	5906.185	1000.0	1000.0	147999	313.52863	106.779076	454.11572	4.939123	313.52817	106.77744	455.35788	5.3431726	2.2195697	4.5046253	46.80076	-13.673051	96.68852	52.326046	7948.69166970253
