Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-343.23648	31.222355	-297.78085	-386.276	-320.82263	55.226025	-258.4717	-385.86655	-252.11276	5.6432786	-242.91443	-262.23013	-277.36267	75.39635	-218.43924	-404.02625	-2693.7356	65.67626	-2630.1897	-2802.86	-2283.6125	147.55849	-2015.6758	-2463.3472	1000.0	1000.0	3999	-17.426777	14.996249	12.46238	-52.977566	-17.460934	15.060398	11.346751	-54.36332	-2.2602425	4.762546	18.109098	-14.611193	-20.874619	15.826503	172.736403465271
2	-477.7509	32.714504	-424.83517	-540.652	-341.78583	61.53661	-247.79257	-409.86652	-272.0285	52.01375	-203.916	-366.3361	-323.99637	76.45169	-268.18314	-455.6309	-2765.21	169.91553	-2547.3574	-3023.8618	-3208.0247	173.4017	-2859.8245	-3448.5493	1000.0	1000.0	7999	-14.372999	15.329095	15.468421	-96.44549	-14.361023	15.353545	17.534098	-89.46435	0.6534416	4.1868076	21.051607	-16.403011	-13.834765	22.631966	396.11881947517395
3	217.94539	33.754025	291.27954	164.8101	-267.4018	93.76119	-105.065445	-325.65292	15.962717	19.369654	45.700676	-23.071526	-283.31995	62.822178	-211.25385	-376.28165	-2421.524	371.58353	-1786.5344	-2722.6685	-70.84467	33.35529	-24.64191	-118.94395	1000.0	1000.0	11999	-19.641764	19.608513	18.75664	-153.39433	-19.644547	19.6115	16.41178	-151.1567	-0.9124891	3.7620206	21.494514	-17.070805	-24.202177	27.07441	627.5052707195282
4	554.3779	21.5687	598.97736	522.9405	270.44083	138.53386	494.0082	122.74834	-163.62338	18.148298	-126.58508	-183.47296	-217.57706	28.903273	-171.26608	-244.53854	-932.31573	141.88338	-761.7256	-1084.5824	-329.40552	35.86039	-256.42386	-372.50073	1000.0	1000.0	15999	-49.26998	38.118958	4.579419	-193.09059	-49.28947	38.107807	5.4409275	-194.62584	-1.4858669	3.228927	24.824753	-15.03601	-73.671135	27.311926	906.9099893569946
5	495.97803	11.99849	505.9138	471.00964	411.84262	43.070206	463.1072	355.79202	-149.24632	39.103043	-116.72437	-226.65247	-144.87411	29.298214	-105.24201	-183.10634	-502.81323	82.30387	-395.00516	-618.44763	-298.59814	78.22523	-234.1231	-453.30493	1000.0	1000.0	19999	-72.70205	53.394184	-7.8087873	-195.69278	-72.70821	53.38671	-6.8898473	-198.27882	-0.2024438	3.0790634	31.423445	-14.217993	-111.01309	22.608805	1185.030244588852
6	567.14984	28.443083	603.1334	507.2395	455.85254	45.409363	497.98022	380.1541	-194.95004	36.163452	-153.2483	-260.79684	-124.00577	37.09857	-80.36687	-164.77275	-402.47137	74.36598	-349.8967	-530.70233	-390.4749	72.622086	-306.4966	-523.0946	1000.0	1000.0	23999	-87.2177	63.430824	-15.448062	-186.22559	-87.22083	63.42738	-16.594078	-187.37657	0.28061202	3.0838742	36.804268	-13.705666	-134.43246	17.114418	1431.1597905158997
7	646.1957	89.597466	735.071	472.4723	436.38327	42.290287	497.4307	377.86954	-44.529392	73.011406	14.395688	-198.47705	-115.86204	9.512533	-102.64551	-126.749886	-446.69995	26.149456	-404.45605	-473.4731	-89.918106	145.89853	26.932175	-398.16595	1000.0	1000.0	27999	-98.90277	72.44093	-15.704939	-177.0716	-98.90414	72.439064	-15.215297	-178.48215	0.38451612	3.0140977	30.88054	-17.771362	-153.34695	14.60752	1673.3868300914764
8	464.01846	90.93206	576.0971	374.85794	516.50586	35.362244	555.607	465.12228	-100.42558	59.088257	-14.446175	-162.63045	-115.09595	48.13188	-67.368416	-193.18143	-384.32092	102.01691	-302.44568	-556.61597	-202.47672	119.30174	-29.0335	-325.2609	1000.0	1000.0	31999	-105.45292	77.934494	-14.668558	-183.6472	-105.45398	77.93451	-13.987803	-184.28957	0.22608446	2.9464786	33.470604	-17.259596	-164.25151	13.388961	1906.96919298172
9	612.4815	24.078466	660.5597	584.16235	432.8408	38.185818	491.3185	388.02393	-129.82285	15.671748	-92.747635	-140.52089	-120.41559	21.160242	-100.67994	-151.23276	-473.28085	42.18971	-427.20312	-541.8628	-259.84952	31.191708	-186.37859	-281.04178	1000.0	1000.0	35999	-112.46096	83.10026	-16.430214	-192.53568	-112.46198	83.10022	-14.332537	-188.02287	0.06857518	2.8950186	31.704952	-15.603297	-175.73904	12.332194	2134.210025072098
10	669.4938	35.996857	728.74634	633.45917	519.62317	39.320965	574.9392	463.887	-111.169174	26.508965	-64.603584	-132.00847	-71.7428	16.822853	-53.28741	-98.870735	-334.5172	76.00006	-206.28401	-405.2977	-222.33835	53.01793	-129.20717	-264.01694	1000.0	1000.0	39999	-119.32521	88.09881	-16.154726	-194.84273	-119.32559	88.09828	-13.569392	-193.96413	-0.02392344	2.843042	32.103897	-16.336681	-186.78497	11.574813	2360.9210674762726
