Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-989.4708	610.6306	-38.75273	-1580.1483	-280.8996	166.57446	6.896871	-387.63562	-291.27106	188.87477	10.368189	-480.83713	-248.5047	153.37927	6.8607864	-397.1501	-529.4043	317.82986	13.757657	-782.3163	-1280.742	791.92816	-28.384542	-2050.513	755.75	728.1	3999	10.934213	7.4181805	52.222202	-9.881261	10.935154	7.4196625	51.654472	-9.598168	-8.161253	3.38756	19.14804	-19.90787	3680.623	1.8434734	226.77412819862366
2	-966.7744	247.11584	-257.02084	-1169.8884	-270.17642	130.55511	-19.278131	-389.32782	-979.7147	245.28561	-250.60722	-1139.97	-236.71387	125.3532	-0.099512085	-363.34314	-506.8903	247.39055	-19.377644	-666.4379	-1946.489	489.6584	-507.62805	-2309.8584	818.4	917.8	7999	49.733486	18.484518	124.669106	-7.854494	49.7333	18.487844	125.21983	-11.767468	-0.43400747	5.595548	51.548622	-24.66834	14809.095	8.2768545	526.2656042575836
3	-234.89041	92.40744	-110.11025	-389.1706	-566.2438	332.59418	-261.58267	-1122.9563	-86.95908	57.22803	-6.113971	-178.13835	-519.7642	301.40585	-278.5562	-1018.29944	-1086.008	632.48785	-540.1389	-2141.2556	-321.8495	90.8178	-188.70343	-495.58658	1000.0	1000.0	11999	113.72552	18.528082	177.36307	-10.367188	113.72679	18.531069	178.79115	-22.678461	1.3470463	6.9377093	60.94506	-22.00776	32304.629	19.344212	830.7280972003937
4	288.5641	87.07181	406.69858	162.22755	-628.28894	310.8937	-32.85106	-910.66766	549.4159	92.80056	653.10596	307.32785	-560.42725	269.50168	-51.603977	-845.9404	-1188.7162	579.6168	-84.45503	-1756.608	837.98	83.81081	965.27136	664.2072	811.6	1000.0	15999	120.29572	11.362847	175.12119	-11.732913	120.29668	11.365175	176.60057	-23.9035	-7.5165195	3.3279707	58.65339	-20.30306	33249.586	15.309188	1140.5409343242645
5	599.87024	72.0679	732.53894	473.40274	-353.84982	224.9919	-9.001063	-609.2249	702.1583	54.08011	803.55585	630.8811	-337.68063	217.9242	-33.608906	-550.25665	-691.53046	440.191	-42.60997	-1133.7714	1302.0286	103.255066	1489.0385	1157.9408	692.1667	1000.0	19999	104.71922	10.4580555	158.62433	-9.368676	104.71959	10.462478	159.23666	-29.325157	-8.903222	2.3896358	54.072792	-20.61305	28927.277	11.591836	1449.8888759613037
6	566.533	9.784549	580.52936	548.53595	-353.30673	52.171116	-283.66174	-426.9889	554.7892	19.364777	582.91693	519.8801	-328.38626	38.410988	-286.31137	-390.80466	-681.693	83.78593	-605.64026	-817.7936	1121.3221	18.77637	1163.4463	1087.8058	1000.0	1000.0	23999	91.70721	9.38132	145.15878	-18.031378	91.70748	9.3944845	145.36717	-16.591515	-9.296134	2.035249	55.471077	-19.951214	25388.328	9.430164	1885.902795791626
7	775.8622	47.395214	865.9016	713.83386	-224.28171	102.45807	-28.209011	-327.37506	655.6658	74.89704	786.89404	549.15924	-220.46638	109.692406	-21.691256	-357.67804	-444.74805	200.11214	-49.900265	-600.01105	1431.5281	113.57579	1652.7957	1262.993	806.2	1000.0	27999	83.519135	8.392435	129.77965	-11.113634	83.51873	8.402561	131.36635	-19.81707	-9.408137	1.9070587	52.37629	-20.23142	23176.484	7.7549086	2257.046119451523
8	727.72266	57.571716	872.96075	659.47485	-284.98248	27.285532	-238.6336	-305.72098	803.4569	17.854116	838.9417	777.5894	-202.41539	13.344508	-184.65016	-220.72581	-487.3979	16.654875	-459.35944	-500.38477	1531.1798	67.27677	1694.0682	1454.4635	1000.0	1000.0	31999	79.2144	7.7235355	121.93023	-9.635904	79.21489	7.730513	121.53471	-19.458172	-9.469775	1.8419766	47.43975	-18.742191	21988.408	7.056925	2566.665426969528
9	698.8568	64.53291	815.8441	610.333	-128.93054	90.13775	39.475033	-230.30673	713.1388	64.43557	855.2765	634.9872	-188.39238	90.94527	-8.722751	-251.52249	-317.3229	175.44951	30.752281	-438.9116	1411.9957	123.78139	1671.1206	1273.1136	809.0	1000.0	35999	77.11701	7.233349	117.5896	-14.702473	77.11698	7.2407827	116.24251	-14.449106	-9.473353	1.7974644	47.511036	-20.86007	21344.188	7.0830517	2871.9592456817627
10	689.64386	69.1758	812.7532	604.01776	-213.98396	24.992992	-171.04208	-232.14104	698.0279	109.3461	882.3396	553.00195	-176.39584	36.492687	-139.35698	-236.99846	-390.37982	46.36386	-334.12558	-460.39404	1387.6718	152.04932	1695.0928	1189.6932	1000.0	1000.0	39999	76.91117	7.0973964	112.814	-12.275354	76.91124	7.1076474	114.69923	-14.486161	-9.468605	1.7608885	58.677277	-19.27352	21213.068	6.78572	3172.158699274063
