Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
16	798.6647	233.43082	932.4065	148.4424	228.29698	127.589455	356.26556	15.840337	228.29698	127.589455	356.26556	15.840337	798.6647	233.43082	932.4065	148.4424	762.75	907.9	63999	52.00067	7.989799	82.28402	-27.223635	52.001484	7.996151	81.59311	-23.643675	-3.274155	1.6739329	30.490753	-15.051327	14.895737	5.88401	1623.9242508411407
17	862.8177	228.0635	1049.0789	210.09094	163.04077	121.44575	359.96735	17.636759	163.04077	121.44575	359.96735	17.636759	862.8177	228.0635	1049.0789	210.09094	529.1111	908.3	67999	53.944954	8.322203	82.15581	-33.787666	53.94564	8.329093	82.40041	-23.817327	-3.305836	1.6463134	34.746136	-16.564198	16.082119	5.817859	1726.4483227729797
18	944.4255	303.26492	1204.9525	96.22129	210.31804	151.29234	379.15488	15.32092	210.31804	151.29234	379.15488	15.32092	944.4255	303.26492	1204.9525	96.22129	593.5714	908.9	71999	56.072407	8.623518	84.026306	-26.49119	56.07302	8.630332	84.32829	-22.482103	-3.2602034	1.6662183	22.99441	-16.365118	16.793657	5.6927276	1831.5590851306915
19	917.0619	355.31018	1314.9712	29.45224	133.37434	99.52415	316.2251	24.01189	133.37434	99.52415	316.2251	24.01189	917.0619	355.31018	1314.9712	29.45224	333.5	844.3	75999	58.145214	8.783651	87.89557	-30.389727	58.145287	8.787785	84.60034	-19.219353	-3.2213917	1.6900662	31.899586	-14.701236	15.874504	6.2425613	1933.8797676563263
20	898.17834	119.01477	1087.3842	700.4865	376.58325	67.48297	477.70322	288.194	376.58325	67.48297	477.70322	288.194	898.17834	119.01477	1087.3842	700.4865	1000.0	1000.0	79999	60.05353	8.75826	87.468636	-29.525898	60.054485	8.760466	87.64607	-28.111187	-3.2631307	1.6924801	33.693405	-16.697945	15.905183	6.0454926	2045.4031918048859
21	781.6122	79.9484	993.1657	697.7504	274.5872	146.37259	450.05276	43.64064	274.5872	146.37259	450.05276	43.64064	781.6122	79.9484	993.1657	697.7504	761.5	1000.0	83999	61.8324	8.784462	87.83216	-37.187588	61.83301	8.789028	87.118126	-34.5201	-3.2803113	1.6844261	31.890776	-14.360266	16.254505	5.676019	2163.4715180397034
22	481.07355	442.92303	1137.7953	24.552258	288.00244	202.47862	607.86884	10.714564	288.00244	202.47862	607.86884	10.714564	481.07355	442.92303	1137.7953	24.552258	691.5	452.2	87999	63.54462	8.779535	91.591194	-31.036705	63.544773	8.785111	90.87487	-29.05926	-3.2899506	1.6954188	49.15086	-14.388362	15.743098	5.7101593	2271.0549569129944
23	790.08435	286.5437	1077.1149	161.79875	172.31483	157.60991	536.7607	11.501215	172.31483	157.60991	536.7607	11.501215	790.08435	286.5437	1077.1149	161.79875	393.54544	720.6	91999	64.91382	8.816541	87.54983	-26.531294	64.9144	8.821112	87.45947	-43.533733	-3.2729325	1.6689957	31.03314	-15.090559	14.563129	5.993285	2384.3701820373535
24	942.95245	452.12076	1370.1674	38.321346	289.13242	111.58216	385.62195	70.69698	289.13242	111.58216	385.62195	70.69698	942.95245	452.12076	1370.1674	38.321346	813.2	790.5	95999	66.09837	8.905019	89.978615	-32.632915	66.09874	8.907451	88.84885	-27.225618	-3.278401	1.6719196	33.980755	-14.299318	13.587543	5.9333134	2499.5558450222015
25	850.1543	330.27448	1245.7406	167.5511	264.42435	154.55676	461.47092	19.39999	264.42435	154.55676	461.47092	19.39999	850.1543	330.27448	1245.7406	167.5511	514.2857	837.1	99999	67.33856	8.826558	91.54749	-43.742966	67.33936	8.833473	91.11359	-40.35655	-3.293308	1.6967924	36.344086	-14.920605	11.747537	6.038592	2614.148730993271
26	608.9994	417.1045	1230.3264	39.959923	246.00105	115.77452	411.4832	61.488132	246.00105	115.77452	411.4832	61.488132	608.9994	417.1045	1230.3264	39.959923	599.75	545.4	103999	68.53258	8.746481	93.4145	-48.58878	68.53306	8.751819	94.59586	-33.37441	-3.3014297	1.6973939	43.040543	-17.00901	10.333325	5.938971	2714.6116569042206
27	783.8434	369.99008	1026.2902	22.681158	188.99164	176.37553	485.31094	2.5992813	188.99164	176.37553	485.31094	2.5992813	783.8434	369.99008	1026.2902	22.681158	389.9	807.2	107999	69.63675	8.750964	95.146774	-76.1702	69.63712	8.759675	94.27945	-38.818428	-3.2667875	1.7222703	49.464596	-15.604051	9.918276	6.220635	2819.865775823593
28	872.5578	221.94029	1221.3654	356.25595	223.4469	145.06409	496.2463	42.65054	223.4469	145.06409	496.2463	42.65054	872.5578	221.94029	1221.3654	356.25595	464.125	940.7	111999	70.60847	8.644053	95.79186	-32.676506	70.60864	8.6539545	96.05832	-38.2756	-3.24104	1.7308863	43.29062	-14.410469	7.587833	6.801932	2929.01615357399
29	756.36285	465.96158	1368.2076	16.394188	201.05399	157.09848	391.11826	-5.8076963	201.05399	157.09848	391.11826	-5.8076963	756.36285	465.96158	1368.2076	16.394188	540.75	668.8	115999	71.66065	8.493589	98.019264	-35.313187	71.66115	8.501994	98.11706	-31.946827	-3.2491288	1.7269603	38.66115	-16.169712	8.070159	6.52429	3031.860032558441
30	884.9671	429.2206	1351.6316	72.941284	326.84854	140.37251	472.7531	67.765175	326.84854	140.37251	472.7531	67.765175	884.9671	429.2206	1351.6316	72.941284	815.2	799.6	119999	72.701614	8.281714	97.51561	-51.07024	72.70194	8.295394	98.90864	-23.937943	-3.2537262	1.7314212	38.69952	-15.787398	6.8492036	6.21411	3137.6876187324524
31	1150.6593	210.9062	1661.9368	913.9227	289.39313	87.74808	368.0768	134.97592	289.39313	87.74808	368.0768	134.97592	1150.6593	210.9062	1661.9368	913.9227	686.8	1000.0	123999	73.67921	8.01863	102.28787	-29.644482	73.6793	8.029888	100.32822	-28.941076	-3.252269	1.7662529	38.10621	-19.800318	6.82371	6.472243	3252.442445755005
32	787.3875	506.48315	1697.7344	16.791021	276.72516	207.72049	711.8906	49.141064	276.72516	207.72049	711.8906	49.141064	787.3875	506.48315	1697.7344	16.791021	561.625	666.3	127999	74.64323	7.7987056	102.0112	-52.244392	74.64346	7.8058248	102.03548	-52.348255	-3.2527027	1.7603267	38.109226	-15.8230715	5.898314	6.300072	3364.3206176757812
33	751.8633	384.6411	1224.5284	83.27953	296.47632	32.483013	336.84018	247.61606	296.47632	32.483013	336.84018	247.61606	751.8633	384.6411	1224.5284	83.27953	810.25	677.1	131999	75.46217	7.688395	104.89268	-37.793236	75.46274	7.6965575	104.156525	-30.27732	-3.2634509	1.7705575	31.968044	-14.344149	5.5835648	6.2512474	3476.7665741443634
34	1050.4817	341.18234	1672.9153	224.01346	344.95288	62.098164	423.29813	264.64154	344.95288	62.098164	423.29813	264.64154	1050.4817	341.18234	1672.9153	224.01346	1000.0	917.5	135999	76.40256	7.5098243	102.91305	-42.990715	76.403	7.515742	107.69144	-39.427525	-3.249905	1.7906313	41.31974	-16.024372	7.6126456	6.295179	3593.2773339748383
35	1005.57196	373.56882	1493.9033	239.8607	352.00986	181.8894	563.7641	19.983168	352.00986	181.8894	563.7641	19.983168	1005.57196	373.56882	1493.9033	239.8607	806.8	848.8	139999	77.04138	7.4529276	105.655846	-48.26442	77.04133	7.46692	106.03569	-29.549217	-3.248233	1.8061773	49.356144	-15.118813	6.4507785	6.3262625	3709.526022195816
36	1360.8494	461.75836	2075.4456	429.8484	200.27768	134.74132	417.547	18.751028	200.27768	134.74132	417.547	18.751028	1360.8494	461.75836	2075.4456	429.8484	470.9	912.5	143999	77.7056	7.206445	105.24354	-43.4712	77.70564	7.218579	105.70041	-43.318024	-3.272462	1.7945452	40.303463	-13.671675	4.3854203	6.1583915	3821.392725467682
37	1070.3185	377.03683	1668.4788	334.60434	277.38116	71.29568	355.06104	144.40094	277.38116	71.29568	355.06104	144.40094	1070.3185	377.03683	1668.4788	334.60434	824.2	918.5	147999	78.3309	7.104867	107.37593	-46.77108	78.33111	7.107196	109.68708	-31.492563	-3.2769535	1.7985163	43.304855	-16.376366	3.621992	6.352992	3921.07737493515
38	1287.8013	228.8688	1683.0437	1031.4453	411.77832	344.698	1055.712	49.017094	411.77832	344.698	1055.712	49.017094	1287.8013	228.8688	1683.0437	1031.4453	552.6667	981.8	151999	78.91103	7.1891747	107.7304	-32.996376	78.911224	7.1917048	109.43698	-35.795795	-3.3110428	1.7881789	59.911877	-14.834647	3.9251974	6.194091	4026.477157831192
39	1099.3871	465.7942	1523.9661	35.59997	447.24945	313.3203	881.21906	6.928341	447.24945	313.3203	881.21906	6.928341	1099.3871	465.7942	1523.9661	35.59997	759.0	828.2	155999	79.543144	7.2469397	109.698006	-28.322577	79.543625	7.254726	111.01629	-30.721296	-3.2992282	1.8433983	47.812534	-13.992265	4.7639284	6.519794	4124.4784281253815
40	1253.4637	331.5176	1810.7217	811.26685	353.38815	244.0055	884.9121	41.539227	353.38815	244.0055	884.9121	41.539227	1253.4637	331.5176	1810.7217	811.26685	565.2857	864.1	159999	80.24982	7.355944	111.44445	-32.8132	80.249916	7.369058	112.872536	-24.988737	-3.287012	1.8291525	45.3648	-14.169483	5.5228276	6.451134	4222.898033380508
41	1232.5322	198.79012	1556.5183	997.6713	185.14572	142.32065	441.4558	37.98776	185.14572	142.32065	441.4558	37.98776	1232.5322	198.79012	1556.5183	997.6713	450.1	1000.0	163999	80.7777	7.4851494	110.624756	-41.345844	80.7783	7.491134	110.41729	-35.813763	-3.2897804	1.8102624	39.738144	-14.874327	9.0381365	6.8114305	4325.505205631256
42	1536.0294	211.57161	1678.2903	931.89465	248.95465	137.5248	491.75668	23.275675	248.95465	137.5248	491.75668	23.275675	1536.0294	211.57161	1678.2903	931.89465	706.0	1000.0	167999	81.07395	7.409324	109.4313	-49.290474	81.07414	7.4201016	116.0288	-59.382782	-3.336576	1.813823	49.76019	-15.812717	9.347617	6.902998	4427.42459321022
43	1045.3114	96.7908	1106.8607	765.3034	452.51767	108.35705	609.528	288.34674	452.51767	108.35705	609.528	288.34674	1045.3114	96.7908	1106.8607	765.3034	671.1667	1000.0	171999	81.2833	7.470398	111.40173	-41.75575	81.28335	7.481492	109.470825	-27.690205	-3.3031652	1.8194185	35.167248	-15.701124	13.132022	7.0839114	4531.960456132889
