Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-168.28513	0.96884704	-166.81516	-169.50061	-295.1076	77.7816	-218.75856	-404.69666	-295.1076	77.7816	-218.75856	-404.69666	-168.28513	0.96884704	-166.81516	-169.50061	1000.0	1000.0	3999	3.4602737	2.8862019	17.192476	-3.573077	3.4609094	2.8849375	16.883953	-3.5093746	-3.1776352	1.4588381	6.5860405	-11.716799	-2.917729	0.7337774	127.8795907497406
2	-237.01468	1.4844693	-233.45769	-239.23694	-299.5366	72.34104	-223.21312	-382.36734	-299.5366	72.34104	-223.21312	-382.36734	-237.01468	1.4844693	-233.45769	-239.23694	1000.0	1000.0	7999	14.727563	6.5769734	46.534794	-3.3168423	14.727199	6.579388	46.5841	-3.2122831	-1.0186039	2.6608903	14.796602	-14.556098	-15.5511265	1.9912766	292.29002499580383
3	-273.5112	1.9318444	-270.15225	-276.12488	-253.18307	18.501423	-227.73267	-272.97107	-253.18307	18.501423	-227.73267	-272.97107	-273.5112	1.9318444	-270.15225	-276.12488	1000.0	1000.0	11999	34.90019	10.346946	69.254425	10.407516	34.89988	10.34818	70.16539	10.043767	0.76712686	3.0284336	18.719807	-13.2071495	-36.512474	3.8786654	460.7631502151489
4	-206.60092	95.01014	-117.46981	-326.6072	-226.52748	9.7427635	-215.80019	-237.28221	-226.52748	9.7427635	-215.80019	-237.28221	-206.60092	95.01014	-117.46981	-326.6072	1000.0	1000.0	15999	57.57306	14.44044	107.69973	19.29573	57.57329	14.44231	102.91332	19.06805	2.6037755	3.5381064	21.977318	-13.211771	-59.94322	5.1477613	631.7206463813782
5	-322.3703	2.2093391	-318.66785	-326.18835	-274.48083	19.196768	-242.48186	-289.92615	-274.48083	19.196768	-242.48186	-289.92615	-322.3703	2.2093391	-318.66785	-326.18835	1000.0	1000.0	19999	110.15051	29.12847	193.97742	31.29528	110.15031	29.13064	197.89404	31.975998	6.9528017	3.8797793	27.789759	-14.240254	-115.5123	11.120054	816.7385594844818
6	-337.4636	2.3016858	-331.47446	-339.74435	-207.5187	34.90421	-151.08269	-246.22165	-207.5187	34.90421	-151.08269	-246.22165	-337.4636	2.3016858	-331.47446	-339.74435	1000.0	1000.0	23999	224.74362	49.534737	368.18506	83.01091	224.74307	49.53892	364.99945	80.859085	10.716743	3.849344	33.343826	-9.468271	-234.95103	28.591494	1014.9222178459167
7	-769.1066	17.091448	-744.08685	-802.60254	-212.7312	36.322304	-175.87897	-273.04745	-212.7312	36.322304	-175.87897	-273.04745	-769.1066	17.091448	-744.08685	-802.60254	1000.0	1000.0	27999	420.8326	74.76322	628.0614	224.86778	420.83124	74.76812	627.64575	225.2999	13.659709	4.040772	42.27624	-8.239567	-437.9739	56.759323	1214.7224173545837
8	-204.7182	1.2868603	-201.80183	-206.31511	-291.78207	181.1376	-94.64737	-508.6057	-291.78207	181.1376	-94.64737	-508.6057	-204.7182	1.2868603	-201.80183	-206.31511	1000.0	1000.0	31999	743.97406	111.07948	1024.2864	477.92688	743.97406	111.08541	1031.0869	482.21814	16.54278	4.3345485	60.79693	-9.1243305	-770.878	111.238174	1469.3164429664612
9	-459.04498	0.9469912	-457.26022	-460.20874	-258.96533	199.98694	55.74742	-449.46866	-258.96533	199.98694	55.74742	-449.46866	-459.04498	0.9469912	-457.26022	-460.20874	1000.0	1000.0	35999	1194.5677	153.93579	1573.8901	884.5551	1194.5693	153.9376	1571.9546	883.1145	19.016645	4.4599323	78.39745	-7.017503	-1232.5905	198.17671	1782.544977903366
10	-470.77066	21.901491	-418.05157	-484.39307	-443.1762	28.437416	-402.54977	-480.56625	-443.1762	28.437416	-402.54977	-480.56625	-470.77066	21.901491	-418.05157	-484.39307	1000.0	1000.0	39999	1759.9105	175.8341	2264.9004	1388.2676	1759.9103	175.83972	2273.6924	1383.7228	19.966028	4.8587213	133.14766	-7.142851	-1805.3552	322.86957	2023.9667718410492
11	-550.2269	1.458678	-547.8052	-552.26917	-489.85492	53.496452	-427.95078	-553.0136	-489.85492	53.496452	-427.95078	-553.0136	-550.2269	1.458678	-547.8052	-552.26917	1000.0	1000.0	43999	2269.4084	130.3548	2772.4448	1927.3174	2269.4116	130.35817	2775.2454	1926.0526	20.0622	5.2868404	102.37932	-9.079254	-2312.3342	325.8925	2205.9040338993073
12	-441.58798	0.8060104	-440.1546	-442.98163	-490.4967	31.146965	-449.70264	-532.581	-490.4967	31.146965	-449.70264	-532.581	-441.58798	0.8060104	-440.1546	-442.98163	1000.0	1000.0	47999	2533.0322	105.640144	3313.4233	2299.0	2533.0322	105.64569	3309.049	2288.031	19.053858	5.451035	79.65601	-8.825876	-2569.061	271.49243	2389.219202518463
13	-202.72841	53.174374	-120.2387	-240.69061	-341.25943	197.31914	-69.62434	-553.23016	-341.25943	197.31914	-69.62434	-553.23016	-202.72841	53.174374	-120.2387	-240.69061	1000.0	1000.0	51999	2815.6497	183.64574	4001.1995	2538.2488	2815.6506	183.65988	3998.9504	2545.7295	19.412958	7.061193	156.6117	-7.9604917	-2862.0503	515.0668	2568.3406710624695
14	-94.00128	0.48295233	-92.68646	-94.48386	-139.28299	28.250498	-103.75883	-181.73111	-139.28299	28.250498	-103.75883	-181.73111	-94.00128	0.48295233	-92.68646	-94.48386	1000.0	1000.0	55999	3328.7356	318.54376	5216.447	2806.3826	3328.7334	318.58008	5210.1143	2807.281	19.41485	8.382028	181.00262	-10.092573	-3400.6116	1284.9315	2743.2880725860596
15	-62.59301	1.1465755	-59.815083	-63.65527	-82.00906	21.791502	-54.901077	-112.363625	-82.00906	21.791502	-54.901077	-112.363625	-62.59301	1.1465755	-59.815083	-63.65527	1000.0	1000.0	59999	4490.148	466.97516	6889.0586	3416.5093	4490.151	466.99527	6852.9824	3428.3281	20.494337	7.7548385	101.70176	-7.0883913	-4605.893	2176.2295	2919.758740901947
16	-149.31702	4.28014	-140.74908	-156.20793	-52.207916	44.544186	16.815285	-107.47484	-52.207916	44.544186	16.815285	-107.47484	-149.31702	4.28014	-140.74908	-156.20793	1000.0	1000.0	63999	5803.2085	463.4348	8433.153	4690.1025	5803.2104	463.44183	8415.181	4713.7603	21.143625	7.2028255	154.43454	-4.5584736	-5923.0083	2571.7122	3100.9805278778076
17	-108.672386	46.931034	-26.224472	-157.8744	14.465988	98.49203	109.6351	-141.90929	14.465988	98.49203	109.6351	-141.90929	-108.672386	46.931034	-26.224472	-157.8744	1000.0	1000.0	67999	6862.1367	489.50504	9921.72	5919.6074	6862.134	489.51816	9947.992	5936.5527	20.863787	6.965683	108.04828	-5.240603	-6983.2324	2660.163	3341.999207496643
18	-170.93503	21.60953	-108.98613	-187.20859	-176.46748	39.11221	-132.18651	-226.12134	-176.46748	39.11221	-132.18651	-226.12134	-170.93503	21.60953	-108.98613	-187.20859	1000.0	1000.0	71999	8207.914	688.9227	11009.992	6852.4175	8207.917	688.945	11007.502	6882.988	21.50092	7.4154983	119.619804	-6.058153	-8375.301	4088.874	3590.8970437049866
19	-241.91544	3.6683874	-235.58694	-247.4382	-159.75264	8.226688	-147.89415	-170.7411	-159.75264	8.226688	-147.89415	-170.7411	-241.91544	3.6683874	-235.58694	-247.4382	1000.0	1000.0	75999	9510.237	307.41064	11199.838	8460.041	9510.238	307.34393	11221.285	8495.12	18.752302	7.195985	110.344406	-5.9980297	-9625.242	2620.523	3819.387279510498
20	-162.31598	7.6450996	-147.02258	-171.87457	-186.5415	32.10819	-155.94016	-235.90532	-186.5415	32.10819	-155.94016	-235.90532	-162.31598	7.6450996	-147.02258	-171.87457	1000.0	1000.0	79999	9603.227	311.90372	11367.249	9023.447	9603.227	311.9148	11307.865	9064.705	18.173424	6.4658513	107.50406	-4.8588343	-9707.048	1991.702	4016.406562566757
21	-304.6179	12.517414	-286.55692	-325.94336	-211.50816	33.542355	-177.07962	-267.0921	-211.50816	33.542355	-177.07962	-267.0921	-304.6179	12.517414	-286.55692	-325.94336	1000.0	1000.0	83999	9879.051	309.33878	11453.528	9210.007	9879.049	309.38907	11478.83	9229.335	19.085861	6.8565435	132.58768	-6.570427	-9991.626	1995.8801	4213.90731048584
22	-161.37852	143.83517	-77.42397	-462.4912	-242.40086	18.838062	-218.5249	-270.92807	-242.40086	18.838062	-218.5249	-270.92807	-161.37852	143.83517	-77.42397	-462.4912	1000.0	1000.0	87999	10084.347	255.98752	11404.481	9520.8125	10084.349	256.0234	11422.995	9512.521	19.253477	6.7869964	96.849815	-6.933834	-10189.65	1856.0465	4457.572410583496
23	-292.14633	96.61173	-92.94228	-341.52454	-164.65073	25.727917	-133.86272	-204.96419	-164.65073	25.727917	-133.86272	-204.96419	-292.14633	96.61173	-92.94228	-341.52454	1000.0	1000.0	91999	10259.44	268.42166	11542.437	9621.142	10259.442	268.4485	11534.244	9605.289	19.242603	6.7943406	142.73209	-3.962251	-10375.278	1909.696	4819.959531545639
24	-260.91803	2.099512	-258.49167	-265.8932	-209.58893	47.637585	-148.32607	-282.0736	-209.58893	47.637585	-148.32607	-282.0736	-260.91803	2.099512	-258.49167	-265.8932	1000.0	1000.0	95999	10482.241	249.97021	11965.349	9913.383	10482.238	249.98784	11939.449	9911.412	19.12146	6.957222	145.23555	-7.7952557	-10594.335	1846.748	5097.07875919342
25	-156.13362	4.8368096	-148.13129	-163.42839	-199.07231	68.009	-142.87514	-310.27197	-199.07231	68.009	-142.87514	-310.27197	-156.13362	4.8368096	-148.13129	-163.42839	1000.0	1000.0	99999	10790.88	324.58212	12541.669	10008.274	10790.879	324.59106	12545.998	10042.248	19.130075	6.8391128	144.23868	-4.442212	-10920.166	2115.6587	5330.758001089096
26	-176.35025	81.10743	-118.64703	-300.7895	-192.59726	67.140045	-126.488594	-303.70557	-192.59726	67.140045	-126.488594	-303.70557	-176.35025	81.10743	-118.64703	-300.7895	1000.0	1000.0	103999	11398.631	435.20636	13665.542	10455.945	11398.629	435.22864	13620.944	10441.204	19.29275	6.801372	136.21953	-8.850865	-11549.701	2766.3015	5571.980330705643
27	-182.68521	47.03693	-131.50809	-231.92944	-159.52008	36.05495	-131.2422	-220.44403	-159.52008	36.05495	-131.2422	-220.44403	-182.68521	47.03693	-131.50809	-231.92944	1000.0	1000.0	107999	12340.99	550.5022	15151.818	10973.138	12340.996	550.5155	15304.478	11009.747	19.519855	7.2467294	136.3594	-4.0639954	-12517.779	3554.2734	5927.4174773693085
28	-110.70946	3.5560634	-105.95809	-117.15984	-115.395	2.525016	-112.836586	-119.445496	-115.395	2.525016	-112.836586	-119.445496	-110.70946	3.5560634	-105.95809	-117.15984	1000.0	1000.0	111999	13523.786	657.3967	17292.635	12032.176	13523.781	657.4225	17246.205	11964.076	19.565626	7.321094	139.88431	-3.3914738	-13723.856	4214.33	6277.772586107254
29	-111.45909	3.5910673	-103.31676	-115.72612	-124.981285	12.865939	-103.88281	-137.75604	-124.981285	12.865939	-103.88281	-137.75604	-111.45909	3.5910673	-103.31676	-115.72612	1000.0	1000.0	115999	14862.059	727.5624	18863.354	13109.306	14862.0625	727.5834	18814.717	13192.719	19.962439	7.231643	197.4354	-5.0021315	-15077.352	4768.2046	6604.05137014389
30	-138.08258	3.124199	-133.81429	-143.92744	-108.37157	15.089179	-95.10159	-132.96574	-108.37157	15.089179	-95.10159	-132.96574	-138.08258	3.124199	-133.81429	-143.92744	1000.0	1000.0	119999	16329.661	818.1707	20465.96	14491.381	16329.656	818.1939	20471.107	14466.5205	20.407093	7.0601397	124.759445	-2.755601	-16570.55	5637.1	6877.126861572266
31	-140.44577	1.2823844	-138.35913	-142.69743	-150.10214	15.572524	-134.75803	-173.70409	-150.10214	15.572524	-134.75803	-173.70409	-140.44577	1.2823844	-138.35913	-142.69743	1000.0	1000.0	123999	18004.71	872.8492	21823.623	15810.185	18004.707	872.8278	21789.816	15811.567	20.88901	7.9118156	343.96146	-2.6131496	-18272.672	6973.957	7097.96559548378
32	-97.7899	0.9247382	-96.04656	-98.876724	-138.29134	19.947289	-112.08118	-165.9222	-138.29134	19.947289	-112.08118	-165.9222	-97.7899	0.9247382	-96.04656	-98.876724	1000.0	1000.0	127999	19638.027	752.0855	23759.592	17457.832	19638.03	752.06134	23653.12	17454.299	21.29148	8.883551	385.06793	-4.331599	-19901.117	6947.0703	7320.246377944946
33	-110.24459	2.1257381	-106.753174	-114.8004	-98.80686	10.433632	-88.452286	-116.218796	-98.80686	10.433632	-88.452286	-116.218796	-110.24459	2.1257381	-106.753174	-114.8004	1000.0	1000.0	131999	21036.334	879.4617	26055.256	18868.723	21036.332	879.40857	25979.578	18906.646	22.089794	10.984386	485.99023	-2.4989948	-21321.654	7973.544	7657.8349549770355
34	-368.9342	89.03785	-101.83088	-399.63422	-68.921135	7.247792	-61.027485	-80.105606	-68.921135	7.247792	-61.027485	-80.105606	-368.9342	89.03785	-101.83088	-399.63422	1000.0	1000.0	135999	22710.963	934.0432	28064.85	20345.234	22710.959	933.994	28067.207	20303.287	22.412342	9.6915865	316.20062	-2.0904982	-23026.97	9322.224	8002.037340164185
35	-96.351585	3.1707048	-92.288956	-102.05958	-90.197754	26.704746	-71.27096	-136.28726	-90.197754	26.704746	-71.27096	-136.28726	-96.351585	3.1707048	-92.288956	-102.05958	1000.0	1000.0	139999	24366.936	905.00543	30525.947	21785.447	24366.936	904.9675	30444.54	21873.158	21.98715	8.834924	294.95203	-0.8497617	-24687.074	9906.512	8258.253760814667
