Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	331.13718	106.09164	493.2409	152.12471	-312.81122	25.993923	-279.3728	-351.67276	-37.995007	49.472317	53.298462	-130.23093	-317.4455	130.11479	-190.65794	-518.64777	-2670.4363	146.5317	-2437.9731	-2832.785	-287.78687	93.25867	-149.10014	-416.2556	1000.0	1000.0	3999	131.3656	104.73035	228.14229	-37.846027	131.36409	104.73504	233.94731	-15.782188	-2.6777685	5.107929	67.44014	-15.745819	0.6544763	11.716012	93.45890927314758
2	197.88246	136.33937	546.6002	83.46055	-376.16956	61.11467	-315.06976	-474.4873	-186.80197	28.11262	-141.24353	-248.88368	-313.80902	81.3483	-238.43704	-450.96527	-2977.051	382.95685	-2663.313	-3631.9587	-756.7029	169.73033	-435.60855	-954.77405	1000.0	1000.0	7999	101.48575	92.50903	268.80106	-84.46557	101.63654	92.49161	266.77713	-81.76737	-1.3862469	5.787622	69.254456	-15.412996	1.7251365	19.84566	205.61527562141418
3	878.7384	146.36533	1153.7567	691.4624	-172.54684	247.64923	189.56088	-407.7092	81.9018	101.59634	258.63504	-56.580452	-281.48407	101.863785	-140.25146	-388.36447	-2203.2188	805.9716	-1065.8025	-3021.593	7.083516	118.361626	261.42313	-139.75226	1000.0	1000.0	11999	78.28369	90.0909	294.32828	-173.9149	78.384254	90.070724	292.28763	-172.83621	-0.94806445	6.348359	77.69139	-15.442511	3.122052	30.374578	320.5901973247528
4	674.7693	117.65213	845.85565	472.2061	361.5066	37.015064	394.8046	298.91858	-58.615673	33.767048	-14.437022	-112.59235	-252.4635	88.33171	-118.06679	-348.91647	-839.62646	291.5951	-445.00443	-1267.9023	-251.40105	107.932076	-74.86607	-464.7147	1000.0	1000.0	15999	45.61388	74.0061	275.3652	-184.84503	45.65832	73.99913	259.7452	-191.01663	-2.375198	5.4921875	73.63034	-15.375937	4.404676	23.766516	441.99692463874817
5	602.6006	10.906197	623.23553	581.2788	339.74124	36.57826	392.69067	301.0597	7.222345	18.116333	47.8952	-10.556651	-267.3348	51.93309	-202.99605	-324.44995	-704.3517	118.23115	-570.46857	-837.375	10.325367	34.381668	87.208496	-23.240515	1000.0	1000.0	19999	11.756754	53.998028	184.07469	-167.88956	11.745559	53.99254	180.56226	-171.70836	-2.79937	4.941746	75.16223	-15.570224	5.579849	17.254	559.5205919742584
6	694.77515	38.71234	799.46783	637.6309	359.33313	116.56596	507.44144	233.81328	-14.944998	42.812298	71.317604	-64.76203	-128.02199	65.16366	-20.484865	-185.0316	-563.6853	89.51496	-431.12302	-648.521	-30.813244	83.82056	135.3205	-129.52406	1000.0	1000.0	23999	-15.107709	43.537178	122.9428	-176.28294	-15.122098	43.535854	119.1898	-175.25713	-3.0235453	4.5513735	94.03959	-17.472023	6.935215	14.220996	674.9333748817444
7	669.8786	7.3986673	677.1782	654.6873	435.32556	66.51273	526.35895	347.29874	-69.895615	6.38074	-60.68391	-79.01802	-150.55692	54.38719	-73.3379	-222.44456	-551.78534	73.37951	-426.87424	-608.94476	-139.79123	12.76148	-121.36782	-158.03604	1000.0	1000.0	27999	-36.798496	45.398487	84.410774	-191.56024	-36.80706	45.398777	84.048	-193.43262	-3.0586498	4.2383766	57.214344	-16.649092	8.525726	13.006702	791.8723893165588
8	699.2743	15.57126	744.5464	685.71246	461.79578	47.75847	518.0633	393.75912	-66.710625	3.822916	-58.201244	-72.547966	-153.46373	20.145811	-122.70391	-177.34146	-486.50482	20.517647	-453.81256	-510.17117	-133.66359	7.585484	-116.956436	-145.09593	1000.0	1000.0	31999	-53.968037	51.478775	53.51416	-233.16501	-53.97052	51.479378	53.113396	-228.73177	-3.08652	4.0980635	65.10756	-13.61977	9.469477	11.545654	911.1480634212494
9	706.3926	18.007822	730.864	674.3698	482.15927	34.732307	520.79114	430.05542	-104.01986	2.9376895	-98.28227	-109.28911	-158.78394	26.840965	-123.78505	-191.7091	-491.9311	22.483465	-466.13327	-523.7611	-208.03972	5.875379	-196.56454	-218.57822	1000.0	1000.0	35999	-66.853386	57.972576	33.574303	-234.00072	-66.85531	57.97341	36.10412	-230.59059	-3.2271972	4.0738134	70.46876	-15.778046	11.163181	10.5061245	1035.5824959278107
10	704.43115	23.83546	733.90497	657.50525	369.2674	62.603546	442.35938	294.39868	-59.34516	2.1254926	-56.376564	-63.43331	-166.59323	37.728306	-103.22696	-200.37276	-562.5678	71.28474	-467.6142	-657.111	-118.69032	4.250985	-112.75313	-126.86662	1000.0	1000.0	39999	-77.52067	63.90167	21.560726	-234.72507	-77.52194	63.90172	21.149746	-230.58847	-3.236138	4.06339	78.54155	-15.561367	12.676294	10.25407	1161.9164385795593
