Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-393.50015	20.710732	-352.8046	-410.70483	-351.93796	53.10569	-296.3209	-422.27124	-351.93796	53.10569	-296.3209	-422.27124	-393.50015	20.710732	-352.8046	-410.70483	1000.0	1000.0	3999	3.371471	3.1230984	24.983727	-4.8913484	3.3732605	3.1281574	25.426863	-4.756693	-2.9500308	1.5766379	8.340254	-12.18099	-2.858228	0.87561435	122.64210677146912
2	-238.10332	53.38659	-188.27689	-384.8703	-265.26007	92.914665	-150.5536	-405.06998	-265.26007	92.914665	-150.5536	-405.06998	-238.10332	53.38659	-188.27689	-384.8703	1000.0	1000.0	7999	18.011225	8.810635	64.971886	-6.3874016	18.010628	8.824246	64.14417	-5.538793	0.25778937	2.8462136	16.899921	-15.761522	-19.223312	3.811911	279.7500379085541
3	100.68711	204.02582	583.8735	-127.65702	-273.88232	78.71936	-146.06944	-351.858	-273.88232	78.71936	-146.06944	-351.858	100.68711	204.02582	583.8735	-127.65702	1000.0	1000.0	11999	42.347843	8.321429	81.40611	12.7134285	42.34906	8.331863	80.76716	13.021253	0.8516462	3.039165	17.32257	-16.829182	-43.902767	6.092036	440.24949526786804
4	630.1387	397.3225	1493.997	229.85463	233.07767	354.91162	667.50006	-153.82501	233.07767	354.91162	667.50006	-153.82501	630.1387	397.3225	1493.997	229.85463	1000.0	1000.0	15999	46.862335	10.152819	83.06698	22.208576	46.86325	10.156889	83.71523	22.346605	-1.690035	2.2142007	16.422647	-14.199318	-47.507675	4.204493	602.8476829528809
5	1703.607	699.0307	2414.1323	477.48886	675.04095	310.27606	1101.5609	231.2311	675.04095	310.27606	1101.5609	231.2311	1703.607	699.0307	2414.1323	477.48886	1000.0	1000.0	19999	48.274136	13.270114	93.74221	20.257626	48.274734	13.273008	93.58302	20.89585	-1.9941753	2.1117926	14.931998	-12.925286	-48.831306	3.957589	829.4760270118713
6	2408.441	68.57345	2495.9795	2315.6865	875.23486	679.2552	1812.1077	213.35542	875.23486	679.2552	1812.1077	213.35542	2408.441	68.57345	2495.9795	2315.6865	1000.0	1000.0	23999	51.70526	17.796944	113.56153	19.901306	51.705925	17.801916	113.86238	19.735722	-1.5802125	2.4158247	14.221935	-17.261913	-52.3415	4.807158	1064.369479894638
7	2602.1667	59.864902	2680.7458	2502.7256	2103.82	173.69368	2377.6665	1918.8229	2103.82	173.69368	2377.6665	1918.8229	2602.1667	59.864902	2680.7458	2502.7256	1000.0	1000.0	27999	61.554085	24.917189	132.09442	19.726612	61.5548	24.921274	132.99101	19.760946	-0.9542673	2.763563	18.70655	-14.303634	-62.261784	7.160428	1293.686154127121
8	3210.1772	51.493256	3282.054	3100.5173	2109.4368	499.514	2555.2478	1261.9238	2109.4368	499.514	2555.2478	1261.9238	3210.1772	51.493256	3282.054	3100.5173	1000.0	1000.0	31999	76.727005	31.793478	154.55353	19.769333	76.72842	31.795757	154.97615	19.560938	-0.4467832	2.9388273	16.778217	-16.799885	-77.4447	8.793483	1455.3575415611267
9	3624.1777	131.50539	3775.3333	3328.982	2923.054	168.33987	3138.3127	2733.0754	2923.054	168.33987	3138.3127	2733.0754	3624.1777	131.50539	3775.3333	3328.982	1000.0	1000.0	35999	93.24107	38.70072	175.03923	20.12397	93.24192	38.702633	178.28105	20.27016	-0.04723577	3.1333842	21.822134	-13.211956	-93.955	9.656125	1618.0655019283295
10	3085.964	1372.3047	4087.8533	600.5244	3190.8364	68.71406	3281.928	3108.1294	3190.8364	68.71406	3281.928	3108.1294	3085.964	1372.3047	4087.8533	600.5244	1000.0	1000.0	39999	111.84347	45.133194	199.93446	19.701363	111.84455	45.13522	201.35498	20.65567	0.28678402	3.271563	21.634485	-16.367847	-112.52792	10.732986	1781.9397509098053
