Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-49.84763	2.3188412	-43.63734	-52.707394	-244.56554	58.45464	-190.07648	-341.49237	-244.56554	58.45464	-190.07648	-341.49237	-49.84763	2.3188412	-43.63734	-52.707394	1000.0	1000.0	3999	3.747379	2.8533854	16.961302	-2.8496943	3.7588317	2.8358319	17.551008	-0.6633012	-3.235805	1.3351579	6.3318233	-12.300287	-3.1025705	0.673021	133.50458979606628
2	-185.65506	5.0165696	-178.04417	-191.8662	-366.039	39.967854	-324.8521	-432.02133	-366.039	39.967854	-324.8521	-432.02133	-185.65506	5.0165696	-178.04417	-191.8662	1000.0	1000.0	7999	13.817283	5.6184535	36.707417	-2.3576682	13.817255	5.6195464	37.079777	-0.5475045	-1.6805329	2.3281233	11.852889	-12.938759	-14.455943	1.9896376	306.69708943367004
3	-141.27853	47.589508	-107.38249	-277.1419	-338.8874	41.782516	-290.3023	-391.25345	-338.8874	41.782516	-290.3023	-391.25345	-141.27853	47.589508	-107.38249	-277.1419	1000.0	1000.0	11999	29.12438	8.488757	55.843582	3.2237928	29.125296	8.49013	55.941837	4.036412	-0.22737728	2.8027112	16.699108	-13.107709	-30.447409	3.2882245	484.13960552215576
4	14.821348	104.00408	65.684044	-289.80997	-238.24715	32.573223	-193.084	-274.4256	-238.24715	32.573223	-193.084	-274.4256	14.821348	104.00408	65.684044	-289.80997	1000.0	1000.0	15999	38.984673	13.206486	69.7525	12.6164665	38.985394	13.206756	69.4196	13.146553	-0.70486236	2.926825	17.698376	-13.878435	-40.156765	3.0323482	662.2095501422882
5	-22.71362	27.531937	17.764338	-77.153625	-239.85054	13.267141	-219.34344	-254.58391	-239.85054	13.267141	-219.34344	-254.58391	-22.71362	27.531937	17.764338	-77.153625	1000.0	1000.0	19999	43.490154	17.948559	79.96071	16.169136	43.490093	17.948967	79.85082	16.680109	-1.3335828	2.9500947	20.631695	-13.141055	-44.550804	2.7522857	840.5826137065887
6	-144.48805	27.598627	-95.88296	-169.21953	-111.82905	81.190834	9.775531	-208.0762	-111.82905	81.190834	9.775531	-208.0762	-144.48805	27.598627	-95.88296	-169.21953	1000.0	1000.0	23999	48.931423	21.007004	89.67762	18.755938	48.93114	21.007998	88.79988	19.115995	-1.4234493	2.996821	18.739035	-17.231544	-49.992413	3.062131	1019.1243391036987
7	-87.167656	2.125696	-83.370766	-90.718414	-132.0594	35.231094	-75.28359	-169.70668	-132.0594	35.231094	-75.28359	-169.70668	-87.167656	2.125696	-83.370766	-90.718414	1000.0	1000.0	27999	57.13144	23.246937	100.900536	21.330042	57.1311	23.24805	99.925514	21.361773	-1.1928754	3.0216713	19.055584	-15.028994	-58.24886	3.3308082	1240.8264527320862
8	-100.69228	13.318146	-60.89093	-107.54266	-191.39224	40.630497	-137.65404	-249.01445	-191.39224	40.630497	-137.65404	-249.01445	-100.69228	13.318146	-60.89093	-107.54266	1000.0	1000.0	31999	63.33513	26.709415	111.177315	23.92849	63.334675	26.710236	111.265205	23.92584	-0.9780647	3.1524868	17.513666	-13.237524	-64.543236	3.4994745	1479.5195045471191
9	-75.40629	1.1886047	-73.72366	-77.17131	-153.0222	45.685326	-94.73154	-219.5193	-153.0222	45.685326	-94.73154	-219.5193	-75.40629	1.1886047	-73.72366	-77.17131	1000.0	1000.0	35999	71.92113	31.057146	130.00328	25.997816	71.9207	31.057152	130.02516	26.026917	-0.65875065	3.2943187	20.64163	-14.84891	-73.28117	4.2831655	1712.3665044307709
10	-100.02568	1.7725687	-96.806656	-102.71817	-69.754745	45.08986	-5.7309694	-132.5182	-69.754745	45.08986	-5.7309694	-132.5182	-100.02568	1.7725687	-96.806656	-102.71817	1000.0	1000.0	39999	81.67053	36.73409	143.67886	29.089098	81.67034	36.73416	145.32648	28.359524	-0.31221133	3.5365407	23.54051	-13.965256	-83.19837	5.024508	1952.2947978973389
