Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	219.26004	45.191814	336.20953	180.52922	-286.81342	39.15314	-240.08708	-342.18393	-164.69312	19.786087	-133.01407	-204.87704	-238.40395	16.991302	-221.73131	-262.8377	-525.2174	55.82532	-463.43652	-605.02167	54.566917	45.001442	176.33917	11.850804	1000.0	1000.0	3999	10.025605	6.487151	53.527683	-4.3886247	10.027266	6.4842286	54.882572	-4.527923	-7.4910316	2.5913153	11.27286	-18.4259	-16.034063	1.1940863	178.2834014892578
2	-479.4296	32.999588	-406.38388	-520.0587	-273.70026	40.33965	-216.28395	-327.5947	127.872025	47.1931	214.84541	48.705776	-267.60974	53.4072	-182.40018	-320.69144	-541.31	65.96868	-445.5792	-631.4535	-351.55756	60.800304	-261.2	-441.88602	1000.0	1000.0	7999	40.88598	17.95849	141.81108	1.7879477	40.886314	17.958515	139.68567	1.4575813	-1.3341373	5.6295037	29.14615	-19.703674	-86.17244	6.534247	406.52478289604187
3	-765.3427	96.26222	-646.68506	-901.3158	-705.8573	359.0428	-334.4891	-1090.8265	-163.71072	87.76504	73.504555	-245.98848	-310.4046	90.37494	-197.59422	-441.84882	-1016.2619	374.24765	-626.1352	-1479.6082	-929.0534	121.49813	-693.0536	-1105.3615	1000.0	1000.0	11999	126.0942	45.478786	263.00488	40.41592	126.09198	45.483093	263.4528	39.66475	10.014641	6.8544025	42.376408	-21.748318	-267.5242	25.089542	637.5453102588654
4	-1388.3029	62.06803	-1253.829	-1473.5515	-1309.4789	131.5261	-1168.9836	-1505.5992	-609.5627	130.08221	-418.46814	-921.19867	-479.86975	45.603344	-430.53824	-534.8394	-1789.3486	160.37334	-1599.522	-2040.4386	-1997.8656	143.11647	-1816.2808	-2285.6118	1000.0	1000.0	15999	283.34293	72.58021	548.0998	120.35394	283.34232	72.58417	547.3002	120.69327	18.233978	6.963447	57.421593	-16.442507	-594.85126	62.403282	871.0852837562561
5	-1311.4729	60.36479	-1245.2162	-1442.2188	-1382.6837	80.37611	-1329.3461	-1521.2539	-425.1081	80.009445	-277.07153	-510.50784	-484.512	84.34899	-401.39645	-588.9528	-1867.1958	136.92567	-1730.7426	-2067.2683	-1736.5813	126.7815	-1531.1642	-1917.7598	1000.0	1000.0	19999	633.5814	163.319	1099.3218	275.4012	633.5796	163.32384	1098.7616	277.628	28.791016	7.660261	93.40926	-8.591286	-1338.6136	303.40527	1121.2447595596313
6	-1353.2415	139.5231	-1175.15	-1537.8934	-1746.6586	49.503136	-1661.113	-1778.2711	-396.17682	59.71375	-271.66937	-517.19244	-386.04272	51.89309	-309.95633	-449.11758	-2132.7012	79.4995	-2032.2216	-2226.6467	-1749.4183	161.84792	-1546.9797	-1999.8734	1000.0	1000.0	23999	1166.8745	142.24733	1518.1658	721.3869	1166.8743	142.24062	1518.4677	722.37695	31.64693	7.7789664	101.70804	-6.6526604	-2415.75	453.77893	1386.79443693161
7	-1425.7753	82.49047	-1230.8622	-1529.5765	-1666.1039	102.57979	-1563.7021	-1822.16	-459.73813	45.36289	-359.40067	-534.2536	-490.12	44.489944	-441.7753	-561.4682	-2156.2239	142.41188	-2005.4775	-2383.6282	-1885.5134	119.009476	-1590.2628	-2063.8303	1000.0	1000.0	27999	1455.9475	82.236496	1797.547	1170.7285	1455.9491	82.232155	1809.8757	1169.0112	29.350502	7.2538614	80.54729	-7.6901693	-2969.841	347.73074	1641.0193271636963
8	-1741.7922	147.32	-1445.9928	-1886.398	-1498.2561	131.00381	-1340.4966	-1646.1049	-538.85944	59.613293	-415.87494	-624.28986	-458.63568	33.032913	-430.96252	-514.8964	-1956.8917	115.26544	-1829.6476	-2086.9114	-2280.6514	148.43214	-1988.2135	-2450.2354	1000.0	1000.0	31999	1603.4695	40.99026	1877.9253	1431.6553	1603.4691	40.9784	1874.6277	1429.6555	26.30742	6.9188423	66.02786	-6.5225735	-3252.17	284.23523	1876.49565076828
9	-1408.1887	67.368996	-1299.3972	-1497.4972	-1511.9247	75.6778	-1432.1628	-1636.5355	-617.7437	99.44189	-440.58557	-753.3008	-462.3225	47.531006	-414.95557	-532.37427	-1974.2473	102.68066	-1854.6069	-2116.0518	-2025.9326	161.28575	-1758.222	-2243.1501	1000.0	1000.0	35999	1673.1272	54.113613	1959.4921	1511.6116	1673.1282	54.12731	1954.2717	1532.1764	26.25551	6.37674	60.010693	-5.4741936	-3394.7625	266.7779	2111.9237706661224
10	-1494.6333	51.943993	-1400.1024	-1582.9277	-1458.6444	58.177914	-1378.0051	-1539.9005	-538.5907	43.59786	-465.18607	-605.5118	-587.21277	39.279297	-527.26746	-637.4285	-2045.8572	62.829865	-1972.2107	-2129.8499	-2033.224	58.318996	-1962.0629	-2178.1108	1000.0	1000.0	39999	1795.9525	46.427956	1992.8751	1632.4194	1795.9541	46.416725	1984.2444	1632.9487	24.775354	6.3029456	59.732677	-6.821192	-3638.7664	256.65787	2348.45605802536
