Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	492.39618	18.757883	530.10425	467.39966	-76.312325	115.32025	4.0346828	-346.36548	-76.312325	115.32025	4.0346828	-346.36548	492.39618	18.757883	530.10425	467.39966	215.44444	1000.0	3999	3.8959117	3.0514503	24.199013	-8.518154	3.8951466	3.0552154	23.896324	-8.253068	-4.82511	1.111052	5.4749727	-15.044332	1.8440212	1.229625	77.56063795089722
2	664.6754	16.35241	701.826	645.24005	-94.36407	121.3047	20.559809	-347.5562	-94.36407	121.3047	20.559809	-347.5562	664.6754	16.35241	701.826	645.24005	272.53333	1000.0	7999	9.700849	3.5243351	28.649597	-8.881705	9.700654	3.5316386	29.079535	-8.367464	-4.4826226	1.3707883	8.19685	-15.018818	3.9221635	2.4821181	182.60899209976196
3	543.2936	7.093656	554.7634	533.09906	-82.77117	112.015396	20.598356	-368.2594	-82.77117	112.015396	20.598356	-368.2594	543.2936	7.093656	554.7634	533.09906	222.88235	1000.0	11999	13.512977	4.131478	34.196873	-12.414253	13.513295	4.1443744	33.771523	-13.28941	-4.376301	1.4655257	11.528569	-14.090055	5.0021195	3.7149508	291.28622174263
4	806.8962	25.064734	856.404	766.9012	-71.957085	101.87736	7.415343	-322.32236	-71.957085	101.87736	7.415343	-322.32236	806.8962	25.064734	856.404	766.9012	221.36842	1000.0	15999	15.145532	4.6725936	38.504707	-14.11803	15.145638	4.6846275	38.35555	-14.879525	-4.4105477	1.4734179	19.31812	-15.960005	5.000785	4.0910754	397.8808104991913
5	717.56885	33.06686	791.58136	657.4468	-52.83777	84.4987	6.4626107	-246.2795	-52.83777	84.4987	6.4626107	-246.2795	717.56885	33.06686	791.58136	657.4468	258.26666	1000.0	19999	15.196591	5.643788	37.66911	-18.075277	15.197059	5.6555843	39.599808	-19.576591	-4.279196	1.5435498	14.478954	-15.171708	4.3897676	4.5690937	500.3488435745239
6	742.8793	69.244286	843.03827	653.58014	-49.75944	86.36339	16.045042	-275.75443	-49.75944	86.36339	16.045042	-275.75443	742.8793	69.244286	843.03827	653.58014	327.75	1000.0	23999	16.012772	6.637916	37.78005	-19.3854	16.01344	6.6447773	36.863506	-20.403421	-4.24455	1.5162351	9.601536	-14.997521	3.894789	4.21822	607.7917716503143
7	736.8242	88.70288	795.6389	482.37198	-28.182383	52.690224	45.37732	-176.25157	-28.182383	52.690224	45.37732	-176.25157	736.8242	88.70288	795.6389	482.37198	175.875	1000.0	27999	16.78242	7.7864413	39.21025	-17.279182	16.78333	7.7906413	40.7202	-17.82537	-4.2299047	1.5076482	8.975542	-15.620301	3.3613145	4.4450965	715.3234460353851
8	681.258	48.678745	780.45215	633.16	-26.10693	52.48808	11.253527	-183.54459	-26.10693	52.48808	11.253527	-183.54459	681.258	48.678745	780.45215	633.16	188.4375	1000.0	31999	17.626184	9.007254	38.311615	-18.625156	17.625858	9.013728	40.296703	-17.9531	-4.173439	1.55008	10.005064	-14.1851425	3.0522983	4.6752744	824.0661361217499
9	615.5745	33.086147	657.5557	562.381	-19.90958	57.157116	43.763657	-161.8159	-19.90958	57.157116	43.763657	-161.8159	615.5745	33.086147	657.5557	562.381	224.35	1000.0	35999	18.56206	10.189287	41.88473	-18.840614	18.56242	10.194305	42.901154	-17.72156	-4.1013803	1.583042	12.011998	-14.586842	2.8554623	4.6824875	934.3630471229553
10	618.75037	45.28325	670.2465	509.84372	-51.45034	77.22877	49.2935	-192.72217	-51.45034	77.22877	49.2935	-192.72217	618.75037	45.28325	670.2465	509.84372	448.7	1000.0	39999	19.510609	11.192169	41.205666	-18.119658	19.510698	11.195877	41.34433	-19.424189	-4.097644	1.5924789	10.533108	-14.403503	1.9218261	4.740845	1046.8273520469666
11	606.5653	64.920944	688.0875	504.4421	-3.4421115	46.098667	95.06806	-131.0191	-3.4421115	46.098667	95.06806	-131.0191	606.5653	64.920944	688.0875	504.4421	242.78572	1000.0	43999	20.549515	12.047106	44.615704	-16.469913	20.550026	12.0505905	44.19836	-16.330608	-4.094023	1.5871347	16.209883	-14.099823	1.4972595	4.7122264	1160.1794397830963
