Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-135.30997	9.519556	-113.364784	-147.52467	-195.50725	69.793526	-110.78244	-301.7088	-195.50725	69.793526	-110.78244	-301.7088	-135.30997	9.519556	-113.364784	-147.52467	1000.0	1000.0	3999	4.2229	3.3097095	20.402216	-1.9990648	4.2235227	3.3067355	18.649931	-0.48951256	-3.190631	1.4411288	7.6711807	-13.794043	-4.2578464	0.8542937	113.42187070846558
2	-213.08752	42.618084	-157.63582	-295.50214	-269.36133	65.28054	-182.71443	-358.224	-269.36133	65.28054	-182.71443	-358.224	-213.08752	42.618084	-157.63582	-295.50214	1000.0	1000.0	7999	18.511274	7.449431	47.244724	-2.0513055	18.512331	7.442098	46.32629	-0.4641464	0.074595146	2.8217397	14.652835	-13.757304	-19.72139	2.8129485	258.4385275840759
3	619.6659	200.54822	912.85	317.5607	-115.78739	250.1892	309.97128	-328.98016	-115.78739	250.1892	309.97128	-328.98016	619.6659	200.54822	912.85	317.5607	1000.0	1000.0	11999	35.8099	5.9335904	63.931854	3.3082802	35.80982	5.929467	65.725945	8.381589	-0.63743705	2.741522	16.04541	-13.908678	-36.861	4.148518	405.68860483169556
4	455.5296	324.14178	1045.917	35.996983	63.702065	126.15902	250.77509	-54.078606	63.702065	126.15902	250.77509	-54.078606	455.5296	324.14178	1045.917	35.996983	1000.0	1000.0	15999	39.583622	7.104665	68.87999	14.63351	39.583534	7.102069	70.108665	13.9352	-2.306497	1.8657506	9.494325	-13.073637	-40.159107	3.4397612	554.8458828926086
5	181.91939	81.21661	284.08447	57.482254	-71.17278	55.84386	-14.165586	-158.82144	-71.17278	55.84386	-14.165586	-158.82144	181.91939	81.21661	284.08447	57.482254	1000.0	1000.0	19999	39.799084	9.851435	75.78247	15.071293	39.798824	9.850422	74.61917	16.655241	-2.4682474	1.8514	11.142596	-12.891355	-40.386185	2.8167534	704.1672658920288
6	2194.1738	73.23994	2336.2717	2108.0278	640.74255	571.2268	1346.8308	-18.20361	640.74255	571.2268	1346.8308	-18.20361	2194.1738	73.23994	2336.2717	2108.0278	1000.0	1000.0	23999	41.582653	13.098664	89.27869	19.082872	41.582485	13.098974	90.60358	20.636522	-2.4066224	1.9762671	12.036459	-12.681465	-42.202763	2.795391	847.4054751396179
7	2503.0552	57.890373	2628.9963	2429.6172	1879.822	327.09567	2295.7761	1386.0033	1879.822	327.09567	2295.7761	1386.0033	2503.0552	57.890373	2628.9963	2429.6172	1000.0	1000.0	27999	49.567715	18.905888	120.020676	22.454817	49.56763	18.90652	120.02083	22.01748	-1.9011211	2.3185735	14.258945	-13.043632	-50.184845	4.0085692	991.3445501327515
8	3030.4595	90.130196	3141.3037	2845.7617	2275.6885	600.1678	2836.6982	1291.6877	2275.6885	600.1678	2836.6982	1291.6877	3030.4595	90.130196	3141.3037	2845.7617	1000.0	1000.0	31999	63.368923	28.15893	158.86493	22.613773	63.36814	28.158726	155.7053	22.600372	-0.8954706	2.901636	16.710709	-16.513018	-64.07296	6.7645936	1135.2364737987518
9	3577.0503	165.5562	3787.9863	3291.044	2914.7778	238.96376	3146.3208	2538.2664	2914.7778	238.96376	3146.3208	2538.2664	3577.0503	165.5562	3787.9863	3291.044	1000.0	1000.0	35999	80.9048	37.91001	179.14677	24.13427	80.90459	37.90878	178.30615	24.024086	-0.22116	3.1755006	18.22583	-14.027065	-81.63767	9.716554	1278.4460742473602
10	3504.875	148.75708	3821.7314	3320.6682	3353.5664	157.56967	3579.5176	3160.989	3353.5664	157.56967	3579.5176	3160.989	3504.875	148.75708	3821.7314	3320.6682	1000.0	1000.0	39999	100.71042	46.931152	209.99794	24.814127	100.70909	46.930298	208.2152	24.715975	0.26689488	3.3830433	20.500614	-14.458316	-101.39519	11.775693	1423.1642882823944
11	3842.396	104.20649	3968.7922	3604.29	3630.2434	159.70657	3856.885	3413.9543	3630.2434	159.70657	3856.885	3413.9543	3842.396	104.20649	3968.7922	3604.29	1000.0	1000.0	43999	120.91323	54.974014	234.7708	24.913662	120.91256	54.97371	233.29358	25.3941	0.6864643	3.5778613	19.087204	-12.724009	-121.56053	13.523898	1567.4959087371826
12	4428.5303	96.03431	4629.174	4293.7573	3688.7908	77.154396	3763.1792	3573.96	3688.7908	77.154396	3763.1792	3573.96	4428.5303	96.03431	4629.174	4293.7573	1000.0	1000.0	47999	140.8903	62.231174	255.1877	25.630737	140.89043	62.22951	255.94861	25.871532	0.93338835	3.63673	20.918444	-15.513136	-141.45662	15.276205	1711.7584760189056
13	4339.9297	63.09465	4422.687	4223.0596	3131.9265	1473.7935	4242.942	617.48035	3131.9265	1473.7935	4242.942	617.48035	4339.9297	63.09465	4422.687	4223.0596	1000.0	1000.0	51999	158.33347	69.08208	272.87158	22.847519	158.33333	69.081184	274.71982	27.057503	1.1500237	3.6892362	24.040499	-12.836017	-158.8525	17.649128	1857.7634885311127
14	4733.329	96.30797	4963.7246	4619.798	4232.1235	258.65567	4548.053	3827.3997	4232.1235	258.65567	4548.053	3827.3997	4733.329	96.30797	4963.7246	4619.798	1000.0	1000.0	55999	174.6382	76.01669	297.72116	23.263742	174.6386	76.01507	297.5457	26.499268	1.3688798	3.7746859	24.574556	-14.044786	-175.15703	19.726305	2016.7997736930847
15	5464.3643	88.1114	5571.3413	5280.5273	4373.8433	191.65102	4600.2163	4155.415	4373.8433	191.65102	4600.2163	4155.415	5464.3643	88.1114	5571.3413	5280.5273	1000.0	1000.0	59999	192.62372	81.44012	313.9223	16.87222	192.6245	81.43813	314.71457	27.589813	1.5583762	3.7917178	29.14497	-16.09616	-193.12784	21.031328	2182.022763490677
16	5445.828	42.226917	5553.8105	5392.1226	4617.439	239.13208	4962.192	4317.8213	4617.439	239.13208	4962.192	4317.8213	5445.828	42.226917	5553.8105	5392.1226	1000.0	1000.0	63999	210.36842	86.13786	335.355	18.820345	210.369	86.13598	334.84818	25.136505	1.6490166	3.7649238	26.32354	-16.290648	-210.83458	21.266117	2342.0813999176025
17	6282.5723	84.04954	6436.7544	6149.9863	5200.3823	79.68686	5276.1597	5075.8823	5200.3823	79.68686	5276.1597	5075.8823	6282.5723	84.04954	6436.7544	6149.9863	1000.0	1000.0	67999	227.74957	91.21732	367.40866	22.444902	227.74936	91.21518	368.90845	26.3222	1.8536341	3.8084488	27.542774	-16.268595	-228.21657	22.154808	2518.871190071106
18	5883.139	50.242214	5953.3696	5788.4253	5188.367	47.1975	5268.4893	5152.1523	5188.367	47.1975	5268.4893	5152.1523	5883.139	50.242214	5953.3696	5788.4253	1000.0	1000.0	71999	245.4246	96.77489	386.44058	17.630714	245.42513	96.77223	392.35794	27.804005	2.20058	3.9428892	28.258337	-16.352036	-245.90976	25.418648	2730.422063589096
