Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-308.58795	73.23749	-210.74998	-441.4277	-358.5656	39.16177	-325.06857	-422.64874	-202.96768	17.212788	-180.89717	-237.92213	-294.7832	67.17813	-223.85869	-376.43332	-2798.351	122.01114	-2641.8628	-2977.4712	-1971.9672	314.37146	-1649.5944	-2671.2737	1000.0	1000.0	3999	-20.056208	16.806496	4.816993	-70.996956	-20.058306	16.711424	0.602983	-68.55633	-3.4659774	4.6394477	14.507145	-15.710688	-3.1739786	16.504522	112.02983927726746
2	172.37221	72.84428	285.3102	51.017902	-346.26654	33.671764	-290.50702	-375.68967	-267.0228	58.207546	-155.48718	-363.11917	-241.69202	50.42798	-174.70042	-297.70312	-2634.9512	153.65419	-2376.2224	-2761.7202	-1195.803	270.17145	-854.47644	-1710.2109	1000.0	1000.0	7999	-32.308296	25.584469	7.8782544	-88.542404	-32.310726	25.506748	0.17088215	-85.93169	-1.132397	3.8590891	15.151746	-15.681113	-5.3414717	25.861101	250.9563295841217
3	709.8286	12.117153	742.1262	700.90356	-138.63179	234.4692	167.98479	-371.31006	-232.55537	25.941088	-184.67287	-278.91797	-233.70177	69.815994	-137.56444	-325.9678	-2107.2278	741.4414	-1251.8701	-2884.839	-466.63104	52.267708	-369.70105	-558.09515	1000.0	1000.0	11999	-47.522675	36.004776	-0.93443584	-116.22488	-47.54104	35.97404	0.13094068	-112.562126	-1.3954213	3.4833884	16.667727	-15.400008	-8.363076	30.6521	393.119300365448
4	727.62897	22.826542	768.15955	690.58057	442.0484	55.240913	528.5381	374.83615	-66.63527	42.130257	-10.329137	-129.27066	-178.86853	21.414673	-151.28587	-209.90692	-668.5694	49.52056	-595.7511	-714.33093	-136.72403	82.84888	-21.087383	-258.54678	1000.0	1000.0	15999	-71.2204	52.793896	-3.5898328	-140.1237	-71.234215	52.772846	-1.9348562	-134.74796	-0.7319621	3.1496637	11.889673	-14.924696	-13.086728	34.831722	541.6665272712708
5	768.8165	24.919704	789.9512	715.43317	508.93924	32.939854	553.3736	465.40512	-3.3969593	27.324186	23.587997	-80.23683	-121.87041	17.729605	-104.75171	-145.99632	-474.7662	43.497196	-419.79297	-517.62036	-7.0682755	54.498478	46.093052	-160.47366	1000.0	1000.0	19999	-91.20775	66.93486	-13.471575	-149.91856	-91.21556	66.92101	-14.843083	-146.7328	0.16567168	3.1459558	12.897926	-16.12735	-16.925186	31.176464	689.0019164085388
6	602.3742	20.927011	634.4758	558.17444	594.3289	38.05088	638.4871	543.64154	-90.79386	27.478573	-45.16381	-131.20143	-89.46452	10.093883	-75.99334	-102.94756	-358.17114	63.884007	-312.49188	-468.38962	-185.82109	55.22342	-97.224335	-265.6755	1000.0	1000.0	23999	-106.01132	77.87486	-14.115392	-156.00987	-106.01348	77.86263	-15.077031	-151.30821	0.36789387	3.1331036	13.9339695	-16.684992	-19.731256	27.702868	841.838714838028
7	692.51044	18.825659	723.46313	663.298	526.04004	63.798653	611.4149	449.7028	-75.71245	23.296022	-46.507156	-113.39348	-70.34868	10.655728	-59.59529	-86.96446	-350.11966	63.27623	-268.1011	-440.5675	-152.61954	46.068905	-96.84152	-229.28305	1000.0	1000.0	27999	-114.70782	84.2548	-12.524285	-160.2423	-114.70873	84.245316	-11.575897	-157.19106	0.45600262	3.1065536	15.140124	-16.222729	-21.358585	23.698692	992.9153265953064
8	758.40186	11.0177765	778.9207	740.3241	497.0605	34.579536	555.9761	468.84866	-36.852093	8.062288	-27.249796	-54.790356	-25.442753	24.41326	1.2952843	-58.73031	-260.93002	28.6033	-215.82957	-289.02478	-74.641014	16.612461	-54.49959	-110.575	1000.0	1000.0	31999	-118.39237	87.00621	-12.211501	-164.25546	-118.39074	86.99659	-11.228447	-162.9437	0.45873153	3.111565	15.153168	-17.688309	-22.012835	21.194828	1141.4832513332367
9	751.98944	11.867179	769.9183	733.5527	573.1278	42.081898	634.49835	515.92535	-45.4789	25.058664	-12.270548	-74.96049	-65.06653	29.846846	-45.13604	-116.68021	-284.79147	144.83757	-185.27483	-534.6329	-93.13591	50.612194	-24.602686	-149.92097	1000.0	1000.0	35999	-120.36304	88.70492	-8.317901	-166.983	-120.35802	88.69425	-7.4530706	-167.55177	0.38650438	3.0828707	15.567725	-14.715559	-22.363447	19.72168	1290.700535774231
10	800.98804	4.7519484	807.3539	790.1738	581.58215	30.225576	629.15424	554.97015	-15.221329	5.4940763	-5.23786	-24.901989	-63.794327	16.114178	-44.071136	-88.580696	-242.10623	28.46896	-214.847	-289.93054	-30.98227	10.650397	-11.84236	-49.803978	1000.0	1000.0	39999	-121.29778	89.5066	-9.256853	-166.82806	-121.29375	89.49775	-7.7294197	-168.27309	0.17183846	3.0172231	15.078552	-15.405527	-22.487053	18.20814	1493.6572828292847
11	827.2626	11.501193	856.349	815.1514	580.68146	36.381634	629.4577	536.1851	4.137863	5.145089	12.291737	-8.019291	-55.03012	24.813423	-18.401657	-86.21358	-222.91324	72.31957	-126.187935	-327.86343	7.0096617	10.128581	24.583473	-16.038582	1000.0	1000.0	43999	-123.44781	91.03722	-10.86316	-167.96478	-123.4422	91.02865	-10.03662	-168.69356	0.063539684	2.9799206	14.207691	-14.480614	-22.839088	16.399376	1726.4215972423553
12	864.1948	3.7669387	870.82776	856.5523	525.6639	46.964115	586.4559	456.7991	-26.564047	2.3461998	-21.134089	-30.086496	-68.01757	27.74372	-28.874739	-107.22744	-337.63458	68.5865	-225.99391	-412.23584	-53.514565	4.891336	-42.268177	-60.172993	1000.0	1000.0	47999	-123.55757	91.15147	-8.955765	-167.4998	-123.55148	91.14349	-11.367991	-167.17598	-0.13551383	2.9305754	16.021313	-16.38237	-22.811142	15.169796	1956.0550179481506
13	796.7538	21.41856	827.6025	772.61475	615.9741	31.411945	643.5409	563.916	-30.007473	45.004707	30.173056	-84.62457	-28.356873	10.286759	-14.902525	-38.484814	-147.08331	28.740631	-101.8134	-178.90593	-61.57013	88.413284	49.058453	-169.24915	1000.0	1000.0	51999	-123.01897	90.74745	-8.055692	-169.32933	-123.01444	90.73944	-10.730722	-170.47214	-0.39148423	2.8941743	15.683253	-14.541267	-22.645481	13.94414	2114.7365052700043
14	778.80505	3.686151	783.0352	770.2965	594.1329	41.82791	656.07983	546.6563	-5.6114054	9.106397	11.096403	-21.071705	-12.450899	14.569513	11.107874	-28.81864	-84.24857	26.962498	-47.675827	-122.97016	-12.218621	18.52516	22.192806	-42.14341	1000.0	1000.0	55999	-121.42701	89.632805	-7.8936243	-171.3072	-121.42393	89.62481	-10.374176	-173.16919	-0.5075623	2.878867	15.2570095	-17.039145	-22.281021	12.624886	2273.5015795230865
15	698.46576	47.549416	765.5298	652.39856	576.71674	41.16999	638.70667	523.7988	-23.001173	18.70276	4.4859653	-57.955902	-7.8073063	15.22126	9.042249	-31.255323	-84.005974	27.023634	-48.641956	-120.39143	-48.63309	37.617287	8.9719305	-115.911804	1000.0	1000.0	59999	-119.04109	87.8049	-9.388172	-171.01663	-119.04151	87.79713	-10.585997	-171.573	-0.5631981	2.8588307	17.535856	-14.414453	-21.801426	11.416597	2431.5820229053497
16	761.74097	45.969513	795.4671	678.1952	559.9562	31.840574	598.3522	518.1213	-0.61374927	14.459233	29.512203	-19.484814	-21.873615	15.483055	-3.9505918	-45.475883	-114.75672	36.270073	-76.84568	-173.97044	-2.445628	29.31425	59.024406	-38.969627	1000.0	1000.0	63999	-115.24535	85.01979	-8.892338	-170.33348	-115.24761	85.01208	-10.184331	-171.46568	-0.57236445	2.8401542	15.850108	-15.250816	-21.026926	10.4033575	2592.1972312927246
17	675.3874	59.974022	782.66705	619.7562	565.4195	33.84725	616.4321	525.0662	-2.3880024	40.42107	43.318645	-74.265236	-19.19811	16.735605	-2.0030231	-45.80587	-98.84434	41.185596	-64.01719	-168.59065	-4.7939796	80.826164	86.63729	-148.53047	1000.0	1000.0	67999	-110.46309	81.61516	-10.403348	-167.72197	-110.46719	81.60738	-10.097039	-169.24396	-0.6592752	2.8306875	17.28033	-15.459734	-20.060196	9.615123	2743.9453184604645
18	671.29376	27.104582	748.7765	646.2979	565.97455	24.925781	605.85986	544.33014	-55.513752	14.745458	-34.921494	-83.67199	1.080442	9.64094	10.925109	-14.459193	-40.78213	19.14635	-18.723907	-69.13292	-112.12721	29.265427	-69.84299	-167.34398	1000.0	1000.0	71999	-105.43311	78.04236	-10.188934	-166.09218	-105.43866	78.034065	-9.733537	-167.19826	-0.7081585	2.8245728	13.799517	-15.580708	-19.068722	8.854366	2892.5852353572845
19	711.4965	10.8080845	732.3408	698.0165	573.0711	7.2912817	580.69824	564.74084	-72.31584	20.242329	-37.201225	-112.55295	16.89278	9.665149	27.848898	2.0948057	-9.714846	21.938543	23.498005	-35.59006	-144.77718	40.233833	-75.85747	-225.1059	1000.0	1000.0	75999	-100.03769	74.2992	-9.766741	-162.87231	-100.04663	74.29033	-9.945201	-164.16502	-0.7776122	2.8391702	15.766998	-15.040772	-18.049238	8.282274	3041.6647911071777
20	714.61035	22.721495	750.78467	683.1544	554.7678	5.2240796	562.9165	549.6419	-58.410572	19.014536	-37.14511	-87.73818	31.67487	11.843853	43.80246	12.2631	26.982952	26.501703	58.48712	-11.381377	-116.869896	37.976944	-74.29022	-175.47636	1000.0	1000.0	79999	-94.27248	70.35128	-7.8737354	-159.99478	-94.28233	70.34189	-9.745685	-162.94574	-0.84539646	2.8380208	13.992058	-17.202282	-16.930557	7.785247	3208.885664463043
21	693.7127	17.236418	720.356	666.4951	549.2481	18.048286	571.506	522.9954	-18.529804	14.029229	-3.2549026	-50.01191	30.192005	21.977503	48.743977	-6.243936	29.096249	45.5566	72.667496	-43.19545	-37.78086	28.996542	-6.509805	-102.94791	1000.0	1000.0	83999	-88.45925	66.4822	-7.9218884	-157.50287	-88.46904	66.47218	-8.361633	-157.68448	-0.8764556	2.84808	17.632448	-15.84714	-15.806838	7.4621286	3407.2011642456055
22	690.55927	17.867085	712.55426	657.6769	551.9389	18.920784	567.12115	519.9787	-48.382927	7.390932	-33.378334	-58.866703	17.376223	27.76798	63.044846	-10.228152	5.555986	57.959614	101.6885	-53.584908	-98.87271	15.467671	-66.75667	-117.733406	1000.0	1000.0	87999	-82.288795	62.60112	-5.8376274	-149.90988	-82.29808	62.592937	-6.0438776	-149.37596	-0.91724116	2.8594873	18.887913	-14.780039	-14.635241	7.1024513	3613.1321539878845
23	648.0874	21.743628	683.17096	607.4807	563.0885	11.453048	582.73016	554.28577	-34.909122	15.674382	-16.16627	-62.599075	23.62703	19.604362	46.778652	-5.329494	19.282337	42.47671	55.53891	-51.095337	-70.311905	31.471312	-32.359978	-125.19815	1000.0	1000.0	91999	-76.14188	59.054604	-4.5731125	-144.98598	-76.151695	59.046963	-4.07019	-143.1878	-1.0072309	2.8706663	19.400639	-16.871468	-13.441877	6.907759	3816.5592296123505
24	681.16565	11.727585	694.7732	654.2449	518.282	23.34374	541.0571	485.1372	-5.1557245	13.10126	24.00266	-21.38555	44.092278	13.740526	61.181953	22.849436	57.720406	36.417168	97.55894	0.28280684	-10.311449	26.20252	48.00532	-42.7711	1000.0	1000.0	95999	-70.093895	55.967503	-1.5612546	-141.40198	-70.10516	55.95972	-1.6427517	-138.3873	-1.0377458	2.884836	16.984324	-16.060226	-12.27382	6.7185802	4026.2108948230743
25	759.8608	13.659673	790.30945	739.9028	538.5058	15.62805	560.4624	518.15045	-40.08022	10.175156	-24.509964	-55.776363	59.121807	19.06518	89.94626	41.351902	84.080185	51.45944	164.82845	27.791243	-80.82863	20.42514	-49.019928	-112.08499	1000.0	1000.0	99999	-63.793655	52.99764	4.7535334	-136.5372	-63.804234	52.989178	2.6512427	-134.04918	-1.0735419	2.8986232	17.226572	-16.687843	-11.056644	6.4728	4221.0579607486725
26	764.7853	9.105021	780.61005	754.118	516.14124	23.22278	537.8055	476.9694	25.154606	12.842604	41.966793	1.5798405	92.48431	22.454885	124.89948	61.4223	150.34409	42.125725	216.46136	101.63948	50.1706	25.506495	82.54747	3.159681	1000.0	1000.0	103999	-57.3946	50.12726	8.924733	-133.89099	-57.40538	50.11963	4.7172785	-133.14682	-1.1496197	2.9201035	16.33678	-18.213314	-9.855922	6.2199717	4406.1505215168
27	802.52625	14.909676	816.7717	778.3039	535.9982	19.24821	555.8484	507.71893	-68.68701	6.3455133	-57.669727	-79.6702	114.39083	15.356789	133.69873	91.04302	189.79187	34.137592	236.3917	144.14774	-138.60403	14.2385	-115.339455	-162.70352	1000.0	1000.0	107999	-51.13411	47.26228	13.228717	-130.89316	-51.15209	47.253887	7.0173817	-127.94411	-1.2204499	2.928478	15.671577	-16.336456	-8.696217	5.9108276	4559.235727787018
28	792.82416	7.254415	804.43036	780.0447	548.8947	19.178112	573.80646	523.73193	-58.01609	8.993976	-43.671844	-70.23932	123.97487	15.154314	147.3561	107.67011	216.84978	28.922388	262.43372	185.04454	-116.84404	17.273098	-89.33133	-140.47864	1000.0	1000.0	111999	-45.03885	44.35697	15.443781	-129.90451	-45.06504	44.350056	9.326556	-127.49042	-1.3136182	2.9255812	16.216597	-16.409725	-7.5577335	5.450747	4709.3317284584045
29	831.38934	6.6295443	846.0047	820.80634	574.0962	10.337176	587.4574	558.61755	-21.849339	6.1220903	-9.024847	-28.490358	154.98138	25.913582	177.38718	111.31591	279.07574	45.852947	324.8009	202.83728	-43.698677	12.244181	-18.049694	-56.980717	1000.0	1000.0	115999	-38.865696	41.448727	17.890192	-126.1723	-38.88698	41.443172	13.025064	-121.90622	-1.2809925	2.9150784	13.072395	-15.887848	-6.455472	5.105086	4857.819757938385
