Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-127.85628	1.6328825	-124.79495	-130.71822	-311.72235	49.387077	-279.45938	-397.12195	-311.72235	49.387077	-279.45938	-397.12195	-127.85628	1.6328825	-124.79495	-130.71822	1000.0	1000.0	3999	3.285098	2.875685	16.922337	-9.792747	3.319174	2.8135214	16.730366	-0.95091623	-3.3679638	1.3075334	9.706162	-10.729196	1.5790534	0.9499971	129.7655804157257
2	-108.941246	32.097805	-83.52802	-199.0884	-290.63913	60.12608	-227.12788	-388.41492	-290.63913	60.12608	-227.12788	-388.41492	-108.941246	32.097805	-83.52802	-199.0884	1000.0	1000.0	7999	11.187819	4.723884	32.483257	-10.589786	11.198835	4.696735	33.364227	-0.9989135	-1.9996897	2.4480834	14.107767	-14.724102	4.6713114	2.2210355	298.1966915130615
3	80.24249	35.29606	148.59076	13.425301	-245.04327	124.63343	-104.980576	-445.8953	-245.04327	124.63343	-104.980576	-445.8953	80.24249	35.29606	148.59076	13.425301	1000.0	1000.0	11999	21.89767	6.789596	50.455288	-3.4749744	21.897898	6.7921014	50.499672	-0.9024676	-1.3867846	2.9034657	14.548458	-13.54721	8.849518	3.6656446	469.65804290771484
4	-461.649	33.789623	-413.05356	-525.02484	-188.42206	45.226604	-143.76968	-256.94495	-188.42206	45.226604	-143.76968	-256.94495	-461.649	33.789623	-413.05356	-525.02484	1000.0	1000.0	15999	32.088093	9.060075	65.14699	7.9914174	32.087814	9.060421	65.573524	8.552612	-1.3298137	3.0105555	18.81202	-14.326157	12.743127	4.680362	645.1324162483215
5	-329.74762	18.277544	-294.60486	-360.8896	-311.1526	20.447464	-287.57352	-341.60373	-311.1526	20.447464	-287.57352	-341.60373	-329.74762	18.277544	-294.60486	-360.8896	1000.0	1000.0	19999	41.644863	12.917465	81.05784	14.267504	41.64406	12.91952	81.41168	14.3316	-0.7235166	3.2383735	22.283064	-14.815414	16.338781	5.7176337	877.992018699646
6	15.193541	15.208569	38.678604	-6.277488	-316.27985	45.775345	-245.40613	-367.12665	-316.27985	45.775345	-245.40613	-367.12665	15.193541	15.208569	38.678604	-6.277488	1000.0	1000.0	23999	53.55784	16.80978	94.55796	15.601768	53.55712	16.812696	93.31245	16.934082	-0.19095403	3.2713857	21.239996	-15.597361	21.179922	6.722784	1111.1145145893097
7	-7.720941	22.709253	33.5475	-48.014744	-219.16588	51.12434	-166.00334	-302.3777	-219.16588	51.12434	-166.00334	-302.3777	-7.720941	22.709253	33.5475	-48.014744	1000.0	1000.0	27999	63.81923	19.287878	101.2864	17.885483	63.818363	19.288528	100.94789	17.674816	-0.13464239	3.228477	21.163525	-13.830612	24.550665	6.667372	1380.4776322841644
8	20.426603	19.334383	60.584698	-4.13458	-360.66565	59.766956	-279.01602	-423.5318	-360.66565	59.766956	-279.01602	-423.5318	20.426603	19.334383	60.584698	-4.13458	1000.0	1000.0	31999	71.98029	21.801443	108.63047	18.519495	71.97984	21.800928	109.34923	18.879585	-0.27514398	3.354844	22.887934	-13.89333	27.165583	6.8282237	1683.2585496902466
9	-354.87677	38.550014	-280.24182	-415.96735	-289.03958	75.392746	-197.09842	-406.9296	-289.03958	75.392746	-197.09842	-406.9296	-354.87677	38.550014	-280.24182	-415.96735	1000.0	1000.0	35999	78.48267	22.39889	112.87035	21.203869	78.482376	22.399334	111.36998	21.20952	-0.4565739	3.293858	22.477993	-14.137418	29.041023	6.3868613	2018.358241558075
10	-163.90373	42.157932	-69.411736	-198.71782	-238.12749	72.482574	-173.89175	-360.89105	-238.12749	72.482574	-173.89175	-360.89105	-163.90373	42.157932	-69.411736	-198.71782	1000.0	1000.0	39999	85.3265	22.595491	119.05861	22.34564	85.3261	22.595837	118.015854	22.958212	-0.19629832	3.1414518	22.83889	-14.854024	31.256332	5.5756335	2359.9503531455994
