Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	36.423275	82.522545	134.51799	-105.99307	-374.59964	36.179955	-313.99887	-403.79004	-139.35391	47.011253	-39.380547	-202.91449	-292.8	53.97713	-241.78957	-382.4121	-667.39966	59.71968	-599.2599	-762.2738	-102.93064	67.80533	0.89870274	-211.54231	1000.0	1000.0	3999	10.271858	6.5325847	37.60809	-5.6860867	10.272115	6.5322294	37.59041	-6.120815	-7.004956	2.8323627	12.821132	-18.452589	-12.543465	1.0854421	190.48013257980347
2	-998.53644	240.78905	-841.4458	-1680.2856	-360.9215	27.650309	-323.7078	-394.54532	-223.6423	37.666084	-190.28896	-331.63846	-240.80489	94.05662	-137.46672	-393.15897	-601.7264	98.769035	-532.012	-772.2507	-1222.1788	276.23584	-1052.5186	-2011.9241	1000.0	1000.0	7999	46.544964	18.22056	114.26614	0.031623363	46.54541	18.221355	116.371086	0.67009187	0.7290248	6.02978	38.65831	-19.154202	-50.836357	5.4836264	432.1609106063843
3	-74.5893	133.03477	49.095566	-357.37546	-806.9884	522.3575	-288.53403	-1438.6005	-197.98749	31.827148	-125.228065	-237.98322	-343.8581	79.762505	-240.70477	-453.66516	-1150.8464	569.1712	-529.2388	-1892.2656	-272.57678	149.32785	-114.765465	-556.9633	1000.0	1000.0	11999	135.9614	29.307579	215.73529	53.99184	135.96172	29.308249	223.62314	53.741272	7.411417	7.890559	64.24332	-20.102436	-142.32307	23.068062	673.453742980957
4	692.30334	83.105545	787.4938	534.538	-718.3767	125.25114	-583.91516	-903.02094	-48.59325	26.792639	3.3305087	-90.75521	-218.85275	112.897385	-40.604313	-351.07217	-937.22943	207.61497	-665.62964	-1163.1838	643.7101	84.617905	748.0709	511.06174	1000.0	1000.0	15999	158.3159	13.992422	211.19579	114.79245	158.3157	13.994659	210.18837	114.141945	-3.9901054	4.330668	33.681976	-19.197784	-159.8393	18.362078	912.6215183734894
5	674.8685	103.40855	775.6038	419.76996	-432.4108	71.65442	-358.97034	-551.21246	-27.054764	56.678535	113.22699	-88.7461	-164.38919	46.675995	-113.89931	-220.01788	-596.8	104.8664	-481.6902	-752.1322	647.8138	129.57133	823.27094	331.02383	1000.0	1000.0	19999	139.90906	13.499994	187.1795	97.023796	139.90916	13.5021	187.7356	96.508385	-6.4000874	2.8374753	17.863676	-18.160145	-141.14838	10.770452	1150.1961550712585
6	822.4665	22.590088	860.8117	780.7959	-239.74089	25.7371	-195.72147	-261.0414	37.946926	50.304665	167.76344	-10.159621	-151.59615	59.77689	-86.498184	-230.48451	-391.33704	54.74093	-337.3764	-481.80692	860.4134	56.996597	989.1142	803.4703	1000.0	1000.0	23999	125.16747	11.336403	166.89633	83.90569	125.16703	11.337794	167.60986	87.06678	-7.0634933	2.3759441	13.415409	-19.825392	-126.43881	8.285257	1387.9224679470062
7	780.1737	31.527246	832.17316	753.0396	-174.74185	55.58134	-79.35802	-216.52716	-58.318493	5.977713	-48.42926	-65.67183	-64.95778	89.24718	-1.0731276	-218.78963	-239.69963	123.4417	-93.44737	-435.31677	721.85516	37.0775	781.8861	692.865	1000.0	1000.0	27999	114.27334	10.251783	154.3644	75.83507	114.2735	10.251049	154.88472	75.13674	-7.27665	2.1819074	13.343731	-20.143768	-115.59475	7.27876	1622.9261198043823
8	929.8001	23.731146	966.2312	899.6836	-129.80786	41.81657	-80.04077	-196.00969	-60.8726	12.412398	-27.138115	-71.42019	-111.7695	58.86697	-53.814964	-209.21417	-241.57735	100.222015	-133.85573	-405.22388	868.9274	31.63701	933.94965	833.40466	1000.0	1000.0	31999	107.47623	9.812353	144.26375	70.863304	107.47629	9.814054	146.32137	70.33774	-7.29453	2.1147	13.557749	-18.902397	-108.82899	6.7251563	1862.1250369548798
9	880.0526	39.15149	937.59033	832.57587	-116.50772	44.942726	-69.26325	-165.73088	209.34969	342.5578	1027.257	-95.55043	-54.726925	22.97226	-28.666594	-88.758224	-171.23465	25.521132	-135.88951	-196.63011	1089.4023	320.08298	1859.8329	760.6537	1000.0	1000.0	35999	103.23613	9.573129	138.51086	63.756508	103.2363	9.573312	140.67418	63.58402	-7.3221655	2.062502	11.770729	-18.47665	-104.601425	6.4203935	2101.4854819774628
10	928.20886	33.26429	981.60724	876.9815	-42.822556	57.565258	35.567204	-126.95563	162.86636	248.11823	635.9818	-55.259644	-57.138916	38.81511	-9.9825325	-114.392006	-99.961464	55.4228	-52.69163	-194.43837	1091.0753	264.6887	1607.029	829.19415	1000.0	1000.0	39999	100.83835	9.253255	140.10045	60.021885	100.83831	9.25394	139.8541	60.402752	-7.3021574	2.0526438	16.32458	-20.383741	-102.20878	6.440661	2340.9346504211426
11	728.8888	51.092827	875.8313	698.3502	-38.488907	38.87559	4.812466	-98.52205	-55.838448	65.64832	123.900795	-110.10664	40.492172	46.577766	113.92903	-8.148788	2.0032644	62.455086	69.206635	-87.91526	673.0504	101.04308	873.0372	599.61694	1000.0	1000.0	43999	99.7783	9.143419	145.47772	57.61211	99.77851	9.142361	144.3533	58.226295	-7.2898164	2.0475965	17.450218	-19.103943	-101.14299	6.452367	2580.343415260315
12	653.2025	52.8076	785.2216	594.49054	-25.053171	64.1511	52.79216	-124.007355	185.40384	187.14972	423.8794	-82.473816	34.836765	78.454636	140.68173	-54.69697	9.783589	134.23965	193.47389	-178.70433	838.60626	177.28171	1088.4908	545.2422	1000.0	1000.0	47999	99.53656	9.238697	144.01901	57.137596	99.53637	9.239756	144.39801	59.01433	-7.2174473	2.0785942	13.205661	-20.257195	-100.89327	6.716886	2819.641296863556
